,California,forecast,interval_low,interval_high
2020-03-29,5863.0,373579.1287816989,,
2020-03-30,7155.0,373276.7680055181,,
2020-03-31,8233.0,372900.97054520034,,
2020-04-01,9410.0,373371.5003546773,,
2020-04-02,10790.0,373275.01669641084,,
2020-04-03,12016.0,373049.6566637836,,
2020-04-04,12837.0,373327.2949017074,,
2020-04-05,15034.0,373821.0948058584,,
2020-04-06,16024.0,372355.5059377338,,
2020-04-07,17351.0,373952.4158565282,,
2020-04-08,18897.0,373535.6196641333,,
2020-04-09,19710.0,373218.7128008049,,
2020-04-10,21081.0,374177.3325050859,,
2020-04-11,21717.0,373429.69229319174,,
2020-04-12,22800.0,374185.6507040159,,
2020-04-13,23934.0,373548.8142627888,,
2020-04-14,25389.0,373318.3045753047,,
2020-04-15,26686.0,372874.16743984894,,
2020-04-16,27677.0,372914.24237512576,,
2020-04-17,29157.0,373192.01164030615,,
2020-04-18,30511.0,372716.51649377827,,
2020-04-19,31431.0,373196.86533500795,,
2020-04-20,33686.0,373991.3874130966,,
2020-04-21,35480.0,372686.02253004804,,
2020-04-22,37352.0,373517.69000499457,,
2020-04-23,39561.0,373453.0941926066,,
2020-04-24,41355.0,372902.9866892292,,
2020-04-25,42368.0,373403.47209657315,,
2020-04-26,43559.0,374215.21116417355,,
2020-04-27,44972.0,373934.1043138574,,
2020-04-28,46164.0,373797.2452174054,,
2020-04-29,48747.0,374095.8962196096,,
2020-04-30,50130.0,372341.48831765045,,
2020-05-01,52026.0,373516.45042797073,,
2020-05-02,53347.0,372603.590041397,,
2020-05-03,54903.0,373100.7637693004,,
2020-05-04,55884.0,373089.2936117798,,
2020-05-05,58456.0,374038.3988313236,,
2020-05-06,60616.0,372631.93090782774,,
2020-05-07,62148.0,373482.89383444935,,
2020-05-08,63800.0,374209.8994218653,,
2020-05-09,66572.0,373714.94223311986,,
2020-05-10,67600.0,372409.7245564976,,
2020-05-11,69329.0,374419.6053514604,,
2020-05-12,70980.0,373332.4452449529,,
2020-05-13,72798.0,373327.10214787925,,
2020-05-14,74871.0,373328.23236246424,,
2020-05-15,76693.0,373029.23798568186,,
2020-05-16,78725.0,373342.13764403167,,
2020-05-17,80166.0,373092.9784861715,,
2020-05-18,81518.0,373802.5934541899,,
2020-05-19,83764.0,373944.139999428,,
2020-05-20,86018.0,373018.624439449,,
2020-05-21,88056.0,373209.5585359413,,
2020-05-22,90281.0,373399.74550055637,,
2020-05-23,92564.0,372973.2417143849,,
2020-05-24,94069.0,372901.44246529526,,
2020-05-25,96470.0,373872.14358591364,,
2020-05-26,99492.0,372950.14878506836,,
2020-05-27,101071.0,372583.67905518186,,
2020-05-28,103813.0,374482.7986503602,,
2020-05-29,106638.0,373013.25586802646,,
2020-05-30,109895.0,373018.5370424319,,
2020-05-31,111951.0,372737.98678713397,,
2020-06-01,114733.0,373994.370945461,,
2020-06-02,117215.0,373062.47355155373,,
2020-06-03,119374.0,373537.9466808626,,
2020-06-04,122194.0,374108.6346198853,,
2020-06-05,125783.0,373335.23573607596,,
2020-06-06,128606.0,372573.42825527035,,
2020-06-07,130657.0,373448.6659674795,,
2020-06-08,133816.0,374009.67238901777,,
2020-06-09,136681.0,372584.50758644304,,
2020-06-10,139715.0,373232.1608103805,,
2020-06-11,143439.0,373269.012054686,,
2020-06-12,146659.0,372563.700106703,,
2020-06-13,150034.0,373353.20682140323,,
2020-06-14,152349.0,373245.83303318743,,
2020-06-15,155726.0,374484.08385204297,,
2020-06-16,158961.0,373365.9116427644,,
2020-06-17,162798.0,373693.74603690597,,
2020-06-18,167133.0,373056.94886390964,,
2020-06-19,170862.0,372299.8395710517,,
2020-06-20,175243.0,372872.68164829595,,
2020-06-21,178657.0,372040.4433648516,,
2020-06-22,184765.0,373388.18353683606,,
2020-06-23,191477.0,370897.28931670217,,
2020-06-24,196024.0,371157.6964631342,,
2020-06-25,201112.0,374347.16217385593,,
2020-06-26,206844.0,373771.53496392973,,
2020-06-27,210692.0,373565.26338526834,,
2020-06-28,215487.0,376293.23179315624,,
2020-06-29,223646.0,374935.69548314007,,
2020-06-30,231418.0,370843.0645837125,,
2020-07-01,238681.0,371221.99391028046,,
2020-07-02,246550.0,371048.097055277,,
2020-07-03,250514.0,369852.63846498344,,
2020-07-04,252895.0,374939.2810076558,,
2020-07-05,264681.0,377579.53520284523,,
2020-07-06,271035.0,368466.97634976887,,
2020-07-07,284012.0,376877.37693112134,,
2020-07-08,292560.0,369104.9627795311,,
2020-07-09,302484.0,373025.1591048499,,
2020-07-10,310885.0,370940.8837292939,,
2020-07-11,318761.0,372250.04510979983,,
2020-07-12,324543.0,373948.73147087265,,
2020-07-13,333357.0,377279.0041603916,,
2020-07-14,346211.0,374789.8499876758,,
2020-07-15,354885.0,371058.5726906061,,
2020-07-16,364706.0,375730.75160404254,,
2020-07-17,373259.0,372421.19358850503,,
2020-07-18,380745.0,372403.9425365811,,
2020-07-19,,388456.476088639,386758.9579413894,390153.9942358886
2020-07-20,,396243.2493852329,393946.84014758194,398539.6586228839
2020-07-21,,404818.9749277113,401870.82860588207,407767.12124954053
2020-07-22,,414048.3240555871,410484.42469507904,417612.2234160952
2020-07-23,,423529.6718586825,419319.02954956435,427740.3141678006
2020-07-24,,432873.8664606604,427759.73049716244,437988.0024241584
2020-07-25,,441751.3151759148,435449.8844184734,448052.7459333562
