,New Mexico,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,16457.659303771135,,
2020-01-25,0.0,16458.66875165026,,
2020-01-26,0.0,16459.684567006872,,
2020-01-27,0.0,16460.228444677778,,
2020-01-28,0.0,16461.428129226002,,
2020-01-29,0.0,16462.362263884024,,
2020-01-30,0.0,16463.023982033843,,
2020-01-31,0.0,16463.47032670284,,
2020-02-01,0.0,16463.761538798037,,
2020-02-02,0.0,16463.947430914246,,
2020-02-03,0.0,16464.064443457246,,
2020-02-04,0.0,16464.137450831713,,
2020-02-05,0.0,16464.18275132947,,
2020-02-06,0.0,16464.21076368802,,
2020-02-07,0.0,16464.228048899306,,
2020-02-08,0.0,16464.23870088917,,
2020-02-09,0.0,16464.245259865827,,
2020-02-10,0.0,16464.249296556227,,
2020-02-11,0.0,16464.25178015741,,
2020-02-12,0.0,16464.253307922136,,
2020-02-13,0.0,16464.25424760386,,
2020-02-14,0.0,16464.25482553239,,
2020-02-15,0.0,16464.255180957778,,
2020-02-16,0.0,16464.2553995381,,
2020-02-17,0.0,16464.255533958898,,
2020-02-18,0.0,16464.255616623093,,
2020-02-19,0.0,16464.25566745843,,
2020-02-20,0.0,16464.25569872011,,
2020-02-21,0.0,16464.255717944736,,
2020-02-22,0.0,16464.255729767057,,
2020-02-23,0.0,16464.255737037274,,
2020-02-24,0.0,16464.25574150814,,
2020-02-25,0.0,16464.255744257523,,
2020-02-26,0.0,16464.255745948278,,
2020-02-27,0.0,16464.255746988012,,
2020-02-28,0.0,16464.255747627405,,
2020-02-29,0.0,16464.255748020605,,
2020-03-01,0.0,16464.255748262403,,
2020-03-02,0.0,16464.255748411102,,
2020-03-03,0.0,16464.255748502543,,
2020-03-04,0.0,16464.255748558775,,
2020-03-05,0.0,16464.255748593354,,
2020-03-06,0.0,16464.25574861462,,
2020-03-07,0.0,16464.255748627696,,
2020-03-08,0.0,16464.25574863574,,
2020-03-09,0.0,16464.255748640684,,
2020-03-10,0.0,16464.255748643725,,
2020-03-11,3.0,16464.255748645595,,
2020-03-12,5.0,16461.209871171643,,
2020-03-13,10.0,16462.89744896736,,
2020-03-14,13.0,16460.14114484115,,
2020-03-15,13.0,16462.76055476122,,
2020-03-16,21.0,16466.507918244613,,
2020-03-17,23.0,16457.663061018407,,
2020-03-18,28.0,16465.76069089431,,
2020-03-19,35.0,16462.70877262295,,
2020-03-20,42.0,16459.915259327892,,
2020-03-21,55.0,16462.0637801235,,
2020-03-22,57.0,16455.95499023528,,
2020-03-23,83.0,16468.882316795887,,
2020-03-24,100.0,16443.75713707652,,
2020-03-25,113.0,16456.9944176249,,
2020-03-26,113.0,16464.42080292624,,
2020-03-27,136.0,16474.459781370584,,
2020-03-28,208.0,16451.63001217674,,
2020-03-29,237.0,16405.528537077367,,
