,Arizona,forecast,interval_low,interval_high
2020-01-23,0.0,0.013149541802704334,-0.01947420835494995,0.09787526726722717
2020-01-24,0.0,0.04216424375772476,-0.01224827766418457,0.19494712352752686
2020-01-25,0.0,-0.05602824687957764,-0.25857752561569214,0.004377216100692749
2020-01-26,0.0,0.02166118659079075,-0.10011178255081177,0.20353180170059204
2020-01-27,0.0,-0.012824696488678455,-0.05434238910675049,0.0017223060131072998
2020-01-28,0.0,-0.034334294497966766,-0.18049222230911255,0.007971614599227905
2020-01-29,0.0,0.05153996869921684,-0.013009727001190186,0.2537528872489929
2020-01-30,0.0,-0.11976812779903412,-0.5784461498260498,-0.0023592710494995117
2020-01-31,0.0,0.002818888518959284,-0.0014150142669677734,0.007581919431686401
2020-02-01,0.0,1.190460443496704,-0.19416725635528564,6.170692443847656
2020-02-02,0.0,-0.029504531994462013,-0.17066216468811035,0.012685954570770264
2020-02-03,0.0,0.00192432408221066,-3.534555435180664e-05,0.007712036371231079
2020-02-04,0.0,-0.030530471354722977,-0.09499448537826538,0.00041231513023376465
2020-02-05,0.0,0.1360766440629959,-0.0004477500915527344,0.5270750522613525
2020-02-06,0.0,-0.024120444431900978,-0.07735693454742432,0.005632549524307251
2020-02-07,0.0,0.005059093236923218,-0.02102828025817871,0.027170181274414062
2020-02-08,0.0,0.1473175585269928,-0.04476809501647949,0.7269824147224426
2020-02-09,0.0,-0.2873633801937103,-1.3797283172607422,0.004889696836471558
2020-02-10,0.0,-0.014612185768783092,-0.024554729461669922,-0.003819406032562256
2020-02-11,0.0,0.014575195498764515,-0.00395578145980835,0.03628566861152649
2020-02-12,0.0,0.0012399733532220125,-0.07541847229003906,0.06753972172737122
2020-02-13,0.0,0.016176437959074974,-0.03957623243331909,0.07102712988853455
2020-02-14,0.0,-0.016458410769701004,-0.03096449375152588,0.011265486478805542
2020-02-15,0.0,0.042527418583631516,-0.011572122573852539,0.19940179586410522
2020-02-16,0.0,0.1325315237045288,-0.016790151596069336,0.6653723120689392
2020-02-17,0.0,0.0007814466953277588,-0.00585174560546875,0.007833540439605713
2020-02-18,0.0,-0.02072758600115776,-0.0839165449142456,0.0002582669258117676
2020-02-19,0.0,0.023449653759598732,0.0011721253395080566,0.05184367299079895
2020-02-20,0.0,-0.01149078644812107,-0.04167890548706055,0.027986139059066772
2020-02-21,0.0,0.039717335253953934,-0.01492619514465332,0.17594608664512634
2020-02-22,0.0,-0.00871329940855503,-0.0355759859085083,0.006857186555862427
2020-02-23,0.0,0.09870050102472305,-0.00683361291885376,0.4777040481567383
2020-02-24,0.0,0.09176374971866608,-0.011253774166107178,0.45664820075035095
2020-02-25,0.0,0.008135664276778698,-0.15718859434127808,0.12563881278038025
2020-02-26,0.0,-0.03835626691579819,-0.1747591495513916,0.007385134696960449
2020-02-27,0.0,0.0030297101475298405,-0.012391984462738037,0.012414544820785522
2020-02-28,0.0,0.013708263635635376,-0.0002541542053222656,0.05402776598930359
2020-02-29,0.0,-0.020952384918928146,-0.0906144380569458,0.006930261850357056
2020-03-01,0.0,1.2493884563446045,-0.008696258068084717,6.231698989868164
2020-03-02,0.0,-0.02640969678759575,-0.116848886013031,0.0035230517387390137
2020-03-03,0.0,0.1102852076292038,-0.04225778579711914,0.5864796042442322
2020-03-04,0.0,-0.25263646245002747,-1.2886090278625488,0.022485315799713135
2020-03-05,0.0,-0.06751058250665665,-0.3328403830528259,0.01543813943862915
2020-03-06,0.0,0.025376206263899803,-0.09814721345901489,0.2207316756248474
2020-03-07,0.0,-0.07503097504377365,-0.3340057134628296,0.03282305598258972
2020-03-08,0.0,0.02856229618191719,0.005485177040100098,0.05880159139633179
2020-03-09,0.0,-0.03387945890426636,-0.0773354172706604,-0.006620168685913086
2020-03-10,0.0,-0.47018876671791077,-1.6629910469055176,0.02230885624885559
2020-03-11,0.0,0.3743506371974945,0.023255854845046997,1.2000643014907837
2020-03-12,0.0,-0.035860441625118256,-0.04936474561691284,-0.022222697734832764
2020-03-13,0.0,0.025796497240662575,0.013083845376968384,0.035545945167541504
2020-03-14,0.0,-0.019136721268296242,-0.07055842876434326,0.009382933378219604
2020-03-15,0.0,0.006358671002089977,-0.027054786682128906,0.03296586871147156
2020-03-16,0.0,-0.002955704927444458,-0.01261359453201294,0.004115670919418335
2020-03-17,0.0,0.027666985988616943,-0.013126969337463379,0.09903824329376221
2020-03-18,0.0,-0.02035076543688774,-0.10204362869262695,0.022237956523895264
2020-03-19,0.0,-0.013108176179230213,-0.07634729146957397,0.04368045926094055
2020-03-20,0.0,0.5983155369758606,-0.0103837251663208,1.1964341402053833
2020-03-21,1.0,0.9878214001655579,0.968812108039856,1.0200324058532715
2020-03-22,1.0,1.000946044921875,0.9962998628616333,1.0055286884307861
2020-03-23,0.0,0.787774920463562,-0.0004156827926635742,3.0308027267456055
2020-03-24,3.0,2.5975263118743896,1.1190749406814575,2.9937474727630615
2020-03-25,1.0,1.0374406576156616,1.025438666343689,1.0547504425048828
2020-03-26,2.0,2.414292335510254,1.9524060487747192,4.140195846557617
2020-03-27,5.0,3.8513360023498535,1.9953045845031738,4.995390892028809
2020-03-28,2.0,2.00870943069458,1.9861292839050293,2.0333991050720215
2020-03-29,2.0,2.0025477409362793,1.9928627014160156,2.0091943740844727
2020-03-30,3.0,2.519951820373535,0.6008793115615845,3.0069141387939453
2020-03-31,5.0,3.75490140914917,0.4874162971973419,5.006711959838867
2020-04-01,7.0,8.1467924118042,3.7465317249298096,15.016542434692383
2020-04-02,3.0,5.287467002868652,2.9773759841918945,8.832658767700195
