,Utah,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-02-03,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-02-04,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-02-05,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-02-06,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-02-07,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-02-08,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-02-09,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-02-10,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-02-11,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-02-12,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-02-13,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-02-14,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-02-15,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-02-16,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-02-17,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-02-18,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-02-19,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-02-20,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-02-21,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-02-22,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-02-23,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-02-24,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-02-25,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-02-26,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-02-27,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-02-28,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-02-29,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-03-01,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-03-02,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-03-03,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-03-04,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-03-05,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-03-06,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-03-07,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-03-08,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-03-09,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-03-10,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-03-11,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-03-12,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-03-13,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-03-14,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-03-15,0.0,0.31313779950141907,0.0,0.5938877463340759
2020-03-16,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-03-17,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-03-18,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-03-19,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-03-20,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-03-21,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-03-22,1.0,0.31313779950141907,0.0,0.5938877463340759
2020-03-23,0.0,0.33523112535476685,0.08605256676673889,0.6713231205940247
2020-03-24,0.0,0.23744985461235046,0.10876506567001343,0.406363308429718
2020-03-25,0.0,0.16248658299446106,0.0,0.5662967562675476
2020-03-26,0.0,0.3888262212276459,0.147598534822464,0.5801074504852295
2020-03-27,0.0,0.3270620107650757,0.1437138020992279,0.5831074714660645
2020-03-28,0.0,0.34647002816200256,0.2755086123943329,0.43064579367637634
2020-03-29,1.0,0.4893791079521179,0.1010027527809143,0.7353290915489197
2020-03-30,2.0,0.489081472158432,0.25268256664276123,0.8090120553970337
2020-03-31,1.0,0.379235178232193,0.24959085881710052,0.5413137674331665
2020-04-01,0.0,0.3092772960662842,0.0702512264251709,0.7131780982017517
2020-04-02,2.0,0.551048994064331,0.32261356711387634,0.7148643136024475
2020-04-03,0.0,0.441732257604599,0.2616719901561737,0.7132437825202942
2020-04-04,1.0,0.4599960744380951,0.38057655096054077,0.5521025061607361
2020-04-05,0.0,0.8762944936752319,0.4936513602733612,1.0896689891815186
2020-04-06,5.0,0.9839800000190735,0.8389084339141846,1.197029709815979
2020-04-07,0.0,0.8207027316093445,0.7247808575630188,0.8943595290184021
2020-04-08,0.0,0.8175595998764038,0.6069813966751099,1.1508935689926147
2020-04-09,0.0,1.1158714294433594,0.9925023913383484,1.2679858207702637
2020-04-10,4.0,0.9711315035820007,0.7174285054206848,1.102653980255127
2020-04-11,1.0,0.8582602739334106,0.7854148745536804,0.9608160853385925
2020-04-12,0.0,1.5573190450668335,1.195513367652893,1.7934037446975708
2020-04-13,-5.0,1.487868309020996,1.3326311111450195,1.7342708110809326
