,Virgin Islands,forecast,interval_low,interval_high
2020-01-23,0.0,0.00021572709374595433,-5.155801773071289e-05,0.001018226146697998
2020-01-24,0.0,-0.00039611459942534566,-0.002011418342590332,0.0001666545867919922
2020-01-25,0.0,-0.0003508269728627056,-0.002011418342590332,0.00011238455772399902
2020-01-26,0.0,0.00027811527252197266,-0.00013518333435058594,0.001349806785583496
2020-01-27,0.0,8.832216553855687e-05,1.3113021850585938e-06,0.0002512633800506592
2020-01-28,0.0,8.832216553855687e-05,1.3113021850585938e-06,0.0002512633800506592
2020-01-29,0.0,3.175139499944635e-05,-3.159046173095703e-05,9.819865226745605e-05
2020-01-30,0.0,4.816651198780164e-05,1.3113021850585938e-06,9.819865226745605e-05
2020-01-31,0.0,-2.8628110158024356e-05,-0.00032407045364379883,0.0001666545867919922
2020-02-01,0.0,1.5687943232478574e-05,-0.00033158063888549805,0.00031834840774536133
2020-02-02,0.0,0.000593978154938668,6.636977195739746e-05,0.0014958083629608154
2020-02-03,0.0,0.0001428008108632639,8.046627044677734e-07,0.00027939677238464355
2020-02-04,0.0,0.00010547041893005371,8.046627044677734e-07,0.0001945793628692627
2020-02-05,0.0,8.921623521018773e-05,-0.0002161264419555664,0.0004690885543823242
2020-02-06,0.0,-6.498694710899144e-05,-0.0005435347557067871,0.00022268295288085938
2020-02-07,0.0,-0.0001262366713490337,-0.0004273653030395508,6.064772605895996e-05
2020-02-08,0.0,1.7368793123750947e-05,-0.00013941526412963867,0.00023034214973449707
2020-02-09,0.0,0.05839044600725174,-2.944469451904297e-05,0.29152292013168335
2020-02-10,0.0,-0.0004117727221455425,-0.0017929673194885254,6.064772605895996e-05
2020-02-11,0.0,0.000268721574684605,-1.0788440704345703e-05,0.0006589889526367188
2020-02-12,0.0,0.0003239035722799599,-2.199411392211914e-05,0.0007189512252807617
2020-02-13,0.0,-0.00011870265007019043,-0.0005249381065368652,0.00019174814224243164
2020-02-14,0.0,4.501342846197076e-05,-0.00023066997528076172,0.0005998909473419189
2020-02-15,0.0,-6.530284736072645e-05,-0.0008175373077392578,0.0005998909473419189
2020-02-16,0.0,0.00012345910363364965,-0.0004246234893798828,0.0008659660816192627
2020-02-17,0.0,0.00020722151384688914,-0.0001767873764038086,0.001088649034500122
2020-02-18,0.0,0.0018157601589336991,1.3113021850585938e-06,0.00786590576171875
2020-02-19,0.0,1.8954276583826868e-06,-5.3048133850097656e-05,6.0170888900756836e-05
2020-02-20,0.0,0.00010045766975963488,-5.155801773071289e-05,0.00025016069412231445
2020-02-21,0.0,-0.00010640024993335828,-0.0005628466606140137,0.0001666545867919922
2020-02-22,0.0,-4.011392593383789e-05,-0.0005628466606140137,0.00018841028213500977
2020-02-23,0.0,-7.677078247070312e-05,-0.0004246234893798828,0.00014522671699523926
2020-02-24,0.0,5.837082790094428e-05,-5.155801773071289e-05,0.0002512633800506592
2020-02-25,0.0,8.832216553855687e-05,1.3113021850585938e-06,0.0002512633800506592
2020-02-26,0.0,3.175139499944635e-05,-3.159046173095703e-05,9.819865226745605e-05
2020-02-27,0.0,4.816651198780164e-05,1.3113021850585938e-06,9.819865226745605e-05
2020-02-28,0.0,-2.8628110158024356e-05,-0.00032407045364379883,0.0001666545867919922
2020-02-29,0.0,4.2015315557364374e-05,-4.7206878662109375e-05,0.00011238455772399902
2020-03-01,0.0,0.0005479812389239669,6.636977195739746e-05,0.0012658238410949707
2020-03-02,0.0,0.00014435053162742406,8.046627044677734e-07,0.0003725886344909668
2020-03-03,0.0,0.0001614391803741455,8.046627044677734e-07,0.0003725886344909668
2020-03-04,0.0,2.5403500330867246e-05,-0.0002446770668029785,0.0001945793628692627
2020-03-05,0.0,0.00012689828872680664,-6.210803985595703e-05,0.0004690885543823242
2020-03-06,0.0,-0.00010494589514564723,-0.0003209114074707031,6.064772605895996e-05
2020-03-07,0.0,3.8671492802677676e-05,-0.00013941526412963867,0.0003368556499481201
2020-03-08,0.0,0.058411747217178345,-2.944469451904297e-05,0.291629433631897
2020-03-09,0.0,1.264810543943895e-05,-0.00021827220916748047,0.00022268295288085938
2020-03-10,0.0,-0.00039048196049407125,-0.0017929673194885254,6.064772605895996e-05
2020-03-11,0.0,6.712078902637586e-05,-0.00024950504302978516,0.0003547072410583496
2020-03-12,0.0,0.0003616035101003945,-2.199411392211914e-05,0.0009074509143829346
2020-03-13,0.0,6.630420830333605e-05,-0.00023066997528076172,0.0005998909473419189
2020-03-14,0.0,-4.401207115733996e-05,-0.0007110834121704102,0.0005998909473419189
2020-03-15,0.0,0.00014476179785560817,-0.0004246234893798828,0.0009724795818328857
2020-03-16,0.0,-0.0012463151942938566,-0.005959868431091309,0.00019174814224243164
2020-03-17,0.0,0.00022851229005027562,-7.033348083496094e-05,0.001088649034500122
2020-03-18,0.0,0.0005543828010559082,1.3113021850585938e-06,0.0015590190887451172
2020-03-19,0.0,-0.0003101527690887451,-0.001721501350402832,0.0001608133316040039
2020-03-20,0.0,-0.00015401243581436574,-0.0004546642303466797,6.0170888900756836e-05
2020-03-21,0.0,2.825260253302986e-06,-0.0004546642303466797,0.00021889805793762207
2020-03-22,0.0,-5.548000262933783e-05,-0.0004246234893798828,0.00014522671699523926
2020-03-23,0.0,5.577206684392877e-05,-8.940696716308594e-05,0.00035834312438964844
2020-03-24,0.0,1.188516580441501e-05,-8.940696716308594e-05,0.00013890862464904785
2020-03-25,0.0,2.5135279429377988e-05,-0.0001729130744934082,0.00013890862464904785
2020-03-26,0.0,1.6868114016688196e-06,-0.00029015541076660156,0.00013890862464904785
