,New Hampshire,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,23.136450949858915,,
2020-01-25,0.0,23.230432835044052,,
2020-01-26,0.0,23.30872697662413,,
2020-01-27,0.0,23.395668810281553,,
2020-01-28,0.0,23.4706852934125,,
2020-01-29,0.0,23.571518484249122,,
2020-01-30,0.0,23.709034141320164,,
2020-01-31,0.0,23.709034141320164,,
2020-02-01,0.0,23.709034141320164,,
2020-02-02,0.0,23.709034141320164,,
2020-02-03,0.0,23.709034141320164,,
2020-02-04,0.0,23.70903414132016,,
2020-02-05,0.0,23.70903414132016,,
2020-02-06,0.0,23.70903414132016,,
2020-02-07,0.0,23.70903414132016,,
2020-02-08,0.0,23.70903414132016,,
2020-02-09,0.0,23.70903414132016,,
2020-02-10,0.0,23.70903414132016,,
2020-02-11,0.0,23.70903414132016,,
2020-02-12,0.0,23.70903414132016,,
2020-02-13,0.0,23.70903414132016,,
2020-02-14,0.0,23.70903414132016,,
2020-02-15,0.0,23.70903414132016,,
2020-02-16,0.0,23.70903414132016,,
2020-02-17,0.0,23.70903414132016,,
2020-02-18,0.0,23.70903414132016,,
2020-02-19,0.0,23.70903414132016,,
2020-02-20,0.0,23.70903414132016,,
2020-02-21,0.0,23.70903414132016,,
2020-02-22,0.0,23.70903414132016,,
2020-02-23,0.0,23.70903414132016,,
2020-02-24,0.0,23.70903414132016,,
2020-02-25,0.0,23.70903414132016,,
2020-02-26,0.0,23.70903414132016,,
2020-02-27,0.0,23.70903414132016,,
2020-02-28,0.0,23.70903414132016,,
2020-02-29,0.0,23.70903414132016,,
2020-03-01,0.0,23.70903414132016,,
2020-03-02,1.0,23.70903414132016,,
2020-03-03,1.0,22.54501657755321,,
2020-03-04,0.0,22.79314493735349,,
2020-03-05,0.0,24.094539202132708,,
2020-03-06,0.0,24.009603796758167,,
2020-03-07,0.0,24.005643457960037,,
2020-03-08,2.0,24.083739150055397,,
2020-03-09,0.0,21.862902200100788,,
2020-03-10,0.0,24.44590540071415,,
2020-03-11,1.0,23.983787543344697,,
2020-03-12,1.0,22.87140248640469,,
2020-03-13,0.0,23.059977661781762,,
2020-03-14,1.0,24.577116495174906,,
2020-03-15,0.0,23.326815312578074,,
2020-03-16,10.0,24.253771817760317,,
2020-03-17,9.0,12.580940213398152,,
2020-03-18,11.0,16.359255806160668,,
2020-03-19,5.0,14.885794090216452,,
2020-03-20,11.0,23.72796678017739,,
2020-03-21,8.0,16.700141201786487,,
2020-03-22,12.0,23.22194531787033,,
2020-03-23,28.0,20.0982819387623,,
2020-03-24,0.0,2.4750065611737924,,
2020-03-25,7.0,38.93147541796983,,
2020-03-26,29.0,26.290352984816188,,
2020-03-27,21.0,2.4368914910673922,,
2020-03-28,29.0,15.978062862104611,,
2020-03-29,27.0,9.932951938332302,,
2020-03-30,100.0,14.764910403139595,,
2020-03-31,43.0,-73.02418511861347,,
2020-04-01,10.0,18.39429761920968,,
2020-04-02,112.0,56.796215580946836,,
2020-04-03,0.0,-66.30063795191855,,
2020-04-04,61.0,86.72472582087374,,
2020-04-05,81.0,6.08444361090784,,
2020-04-06,94.0,-1.3919182784114952,,
2020-04-07,0.0,-29.528296702890614,,
2020-04-08,32.0,97.54585677280768,,
2020-04-09,72.0,47.679737856342015,,
2020-04-10,0.0,-11.294652443139682,,
2020-04-11,66.0,92.73333582306985,,
2020-04-12,44.0,4.1680824434593085,,
2020-04-13,56.0,27.505716132480657,,
2020-04-14,-63.0,-4.1642245635141535,,
2020-04-15,217.0,152.8250864670012,,
2020-04-16,0.0,-203.51155184084658,,
2020-04-17,148.0,99.83233210986408,,
2020-04-18,55.0,-95.06740094806202,,
2020-04-19,48.0,47.51790963156665,,
2020-04-20,57.0,29.03958271740769,,
2020-04-21,43.0,38.179390375794256,,
2020-04-22,98.0,75.3282662928278,,
2020-04-23,82.0,-20.982814259394004,,
2020-04-24,50.0,23.071182553018637,,
2020-04-25,77.0,38.75528256396167,,
2020-04-26,67.0,4.78375307500243,,
2020-04-27,74.0,22.24164245269808,,
2020-04-28,72.0,17.866842500160455,,
2020-04-29,48.0,30.068076659117203,,
2020-04-30,88.0,48.869121287163594,,
2020-05-01,164.0,-5.298100059226897,,
2020-05-02,119.0,-82.44410660193938,,
2020-05-03,89.0,-10.6110813500472,,
2020-05-04,70.0,28.111748618283137,,
2020-05-05,48.0,48.06944241912323,,
2020-05-06,105.0,71.51484644034062,,
2020-05-07,102.0,14.159857865717532,,
2020-05-08,104.0,29.098498573702344,,
2020-05-09,64.0,9.665080758694724,,
2020-05-10,60.0,50.87382788178897,,
2020-05-11,89.0,43.11464445025935,,
2020-05-12,79.0,11.25662341978229,,
2020-05-13,60.0,36.27329206367161,,
2020-05-14,83.0,53.66357387399013,,
2020-05-15,71.0,15.83157750925505,,
2020-05-16,103.0,24.54399201276287,,
2020-05-17,40.0,-10.922363388393045,,
2020-05-18,56.0,74.48579248890849,,
2020-05-19,69.0,38.74511042959327,,
2020-05-20,147.0,23.527344502618746,,
2020-05-21,67.0,-65.21549145857715,,
2020-05-22,79.0,48.08554148283556,,
2020-05-23,75.0,21.737095358087785,,
2020-05-24,60.0,21.545935341120718,,
2020-05-25,48.0,43.99983071068367,,
2020-05-26,34.0,66.93011919677213,,
2020-05-27,55.0,78.60124116778816,,
2020-05-28,103.0,29.699295688867394,,
2020-05-29,103.0,-24.92346662519632,,
2020-05-30,0.0,-18.59588019904549,,
2020-05-31,159.0,102.9465516343273,,
2020-06-01,34.0,-103.3198721739309,,
2020-06-02,64.0,75.58737570703265,,
2020-06-03,46.0,31.31958534276312,,
2020-06-04,81.0,66.29895701376441,,
2020-06-05,77.0,1.174684533041038,,
2020-06-06,66.0,13.842807317034746,,
2020-06-07,24.0,39.62432031347778,,
2020-06-08,36.0,65.70624003633853,,
2020-06-09,0.0,46.69753586460328,,
2020-06-10,99.0,87.59513999971877,,
2020-06-11,31.0,-35.792029117423276,,
2020-06-12,42.0,55.71850657172485,,
2020-06-13,48.0,22.58704519971289,,
2020-06-14,19.0,13.133502641448665,,
2020-06-15,27.0,46.2020080216376,,
2020-06-16,19.0,38.46666772451479,,
2020-06-17,72.0,55.639859970721425,,
2020-06-18,14.0,-24.578795278513716,,
2020-06-19,36.0,56.51697382933641,,
2020-06-20,32.0,18.006211463653255,,
2020-06-21,26.0,22.68764018062624,,
2020-06-22,14.0,29.302002533131642,,
2020-06-23,13.0,47.94741427170153,,
