,Wisconsin,forecast,interval_low,interval_high
2020-05-30,18230.0,40312.82032240608,,
2020-05-31,18403.0,40442.249736425125,,
2020-06-01,18543.0,40651.345661563384,,
2020-06-02,18917.0,40728.68064844011,,
2020-06-03,19400.0,40584.1288593465,,
2020-06-04,19892.0,40516.872653775805,,
2020-06-05,20249.0,40482.719555858996,,
2020-06-06,20571.0,40507.37907477873,,
2020-06-07,20835.0,40441.79934939887,,
2020-06-08,21038.0,40479.87347907354,,
2020-06-09,21308.0,40590.61790945326,,
2020-06-10,21593.0,40633.976191168666,,
2020-06-11,21926.0,40651.697329194605,,
2020-06-12,22246.0,40551.195455340414,,
2020-06-13,22518.0,40458.40262321594,,
2020-06-14,22758.0,40399.74451767036,,
2020-06-15,22932.0,40417.25676569279,,
2020-06-16,23198.0,40541.03473227061,,
2020-06-17,23456.0,40575.114330846256,,
2020-06-18,23876.0,40651.655259396684,,
2020-06-19,24154.0,40502.83977545174,,
2020-06-20,24539.0,40539.26350626069,,
2020-06-21,24819.0,40349.83665504292,,
2020-06-22,25068.0,40421.985212357395,,
2020-06-23,25331.0,40478.21626126594,,
2020-06-24,25763.0,40593.58891436091,,
2020-06-25,26227.0,40538.552017267946,,
2020-06-26,26747.0,40539.13844199234,,
2020-06-27,27286.0,40442.315934159786,,
2020-06-28,27743.0,40368.041490045915,,
2020-06-29,28058.0,40396.893742425666,,
2020-06-30,28659.0,40555.346079525574,,
2020-07-01,29199.0,40436.58211195445,,
2020-07-02,29738.0,40585.74155877939,,
2020-07-03,30317.0,40601.80553687421,,
2020-07-04,31055.0,40551.05753630043,,
2020-07-05,31577.0,40322.14061278443,,
2020-07-06,32061.0,40446.48925732873,,
2020-07-07,32556.0,40494.0474001635,,
2020-07-08,33154.0,40579.624795621814,,
2020-07-09,33908.0,40558.8885434352,,
2020-07-10,34753.0,40490.605801953294,,
2020-07-11,35679.0,40403.353179434285,,
2020-07-12,36448.0,40297.36473142018,,
2020-07-13,36942.0,40406.821544266,,
2020-07-14,37906.0,40651.58454559899,,
2020-07-15,38727.0,40382.63010779353,,
2020-07-16,39627.0,40593.95388467251,,
2020-07-17,40507.0,40544.464792944185,,
2020-07-18,41485.0,40575.27460941381,,
2020-07-19,,42326.14128963436,,
2020-07-20,,43098.86835001181,,
2020-07-21,,43863.75530844027,,
2020-07-22,,44712.00162985308,,
2020-07-23,,45641.60479027898,,
2020-07-24,,46622.37090732046,,
2020-07-25,,47578.18987953263,,
