,Oregon,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,9.376663208007812,7.775470733642578,10.584389686584473
2020-02-04,0.0,8.260185241699219,7.33013916015625,9.377755165100098
2020-02-05,0.0,10.2861909866333,8.976266860961914,11.425535202026367
2020-02-06,0.0,9.362683296203613,7.6376872062683105,11.020267486572266
2020-02-07,0.0,11.694994926452637,10.192419052124023,12.826363563537598
2020-02-08,0.0,12.107215881347656,9.337202072143555,13.559793472290039
2020-02-09,0.0,12.194371223449707,10.241620063781738,13.290449142456055
2020-02-10,0.0,9.376663208007812,7.775470733642578,10.584389686584473
2020-02-11,0.0,8.260185241699219,7.33013916015625,9.377755165100098
2020-02-12,0.0,10.2861909866333,8.976266860961914,11.425535202026367
2020-02-13,0.0,9.362683296203613,7.6376872062683105,11.020267486572266
2020-02-14,0.0,11.694994926452637,10.192419052124023,12.826363563537598
2020-02-15,0.0,12.107215881347656,9.337202072143555,13.559793472290039
2020-02-16,0.0,12.194371223449707,10.241620063781738,13.290449142456055
2020-02-17,0.0,9.376663208007812,7.775470733642578,10.584389686584473
2020-02-18,0.0,8.260185241699219,7.33013916015625,9.377755165100098
2020-02-19,0.0,10.2861909866333,8.976266860961914,11.425535202026367
2020-02-20,0.0,9.362683296203613,7.6376872062683105,11.020267486572266
2020-02-21,0.0,11.694994926452637,10.192419052124023,12.826363563537598
2020-02-22,0.0,12.107215881347656,9.337202072143555,13.559793472290039
2020-02-23,0.0,12.194371223449707,10.241620063781738,13.290449142456055
2020-02-24,0.0,9.376663208007812,7.775470733642578,10.584389686584473
2020-02-25,0.0,8.260185241699219,7.33013916015625,9.377755165100098
2020-02-26,0.0,10.2861909866333,8.976266860961914,11.425535202026367
2020-02-27,0.0,9.362683296203613,7.6376872062683105,11.020267486572266
2020-02-28,0.0,11.694994926452637,10.192419052124023,12.826363563537598
2020-02-29,1.0,12.107215881347656,9.337202072143555,13.559793472290039
2020-03-01,0.0,12.194371223449707,10.241620063781738,13.290449142456055
2020-03-02,2.0,9.376663208007812,7.775470733642578,10.584389686584473
2020-03-03,0.0,8.260185241699219,7.33013916015625,9.377755165100098
2020-03-04,0.0,10.2861909866333,8.976266860961914,11.425535202026367
2020-03-05,0.0,9.362683296203613,7.6376872062683105,11.020267486572266
