,Nevada,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-20.319124221801758
2020-01-31,0.0,0.0,0.0,-12.634724617004395
2020-02-01,0.0,0.0,0.0,-12.634724617004395
2020-02-02,0.0,0.0,0.0,-12.634724617004395
2020-02-03,0.0,0.0,0.0,-12.634724617004395
2020-02-04,0.0,0.0,0.0,-12.634724617004395
2020-02-05,0.0,0.0,0.0,-12.634724617004395
2020-02-06,0.0,0.0,0.0,-12.634724617004395
2020-02-07,0.0,0.0,0.0,-12.634724617004395
2020-02-08,0.0,0.0,0.0,-12.634724617004395
2020-02-09,0.0,0.0,0.0,-12.634724617004395
2020-02-10,0.0,0.0,0.0,-12.634724617004395
2020-02-11,0.0,0.0,0.0,-12.634724617004395
2020-02-12,0.0,0.0,0.0,-12.634724617004395
2020-02-13,0.0,0.0,0.0,-12.634724617004395
2020-02-14,0.0,0.0,0.0,-12.634724617004395
2020-02-15,0.0,0.0,0.0,-12.634724617004395
2020-02-16,0.0,0.0,0.0,-12.634724617004395
2020-02-17,0.0,0.0,0.0,-12.634724617004395
2020-02-18,0.0,0.0,0.0,-12.634724617004395
2020-02-19,0.0,0.0,0.0,-12.634724617004395
2020-02-20,0.0,0.0,0.0,-12.634724617004395
2020-02-21,0.0,0.0,0.0,-12.634724617004395
2020-02-22,0.0,0.0,0.0,-12.634724617004395
2020-02-23,0.0,0.0,0.0,-12.634724617004395
2020-02-24,0.0,0.0,0.0,-12.634724617004395
2020-02-25,0.0,0.0,0.0,-12.634724617004395
2020-02-26,0.0,0.0,0.0,-12.634724617004395
2020-02-27,0.0,0.0,0.0,-12.634724617004395
2020-02-28,0.0,0.0,0.0,-12.634724617004395
2020-02-29,0.0,0.0,0.0,-12.634724617004395
2020-03-01,0.0,0.0,0.0,-12.634718894958496
2020-03-02,0.0,0.0,0.0,-12.634718894958496
2020-03-03,0.0,0.0,0.0,-12.634724617004395
2020-03-04,0.0,0.0,0.0,-12.634724617004395
2020-03-05,1.0,0.0,0.0,-12.634724617004395
2020-03-06,1.0,0.0,0.0,-12.634724617004395
2020-03-07,0.0,0.0,0.0,-12.557746887207031
2020-03-08,2.0,0.0,0.0,-12.427688598632812
2020-03-09,0.0,0.0,0.0,-12.33423137664795
2020-03-10,0.0,0.0,0.0,-12.108863830566406
2020-03-11,3.0,0.0,0.0,-11.947844505310059
2020-03-12,3.0,0.0,0.0,-11.825191497802734
2020-03-13,8.0,0.0,0.0,-11.500518798828125
2020-03-14,2.0,0.0,0.0,-11.305977821350098
2020-03-15,0.0,0.0,0.0,-10.629729270935059
2020-03-16,25.0,0.0,0.0,-9.809800148010254
2020-03-17,10.0,0.0,0.0,-9.730121612548828
2020-03-18,0.0,0.0,0.0,-7.344051361083984
2020-03-19,40.0,0.0,0.0,-4.896612167358398
2020-03-20,66.0,0.0,0.0,-3.895724296569824
2020-03-21,0.0,0.0,0.0,2.335294485092163
2020-03-22,29.0,0.0,0.0,5.898617744445801
2020-03-23,55.0,0.0,0.0,11.184358596801758
2020-03-24,33.0,3.6538536293166026,0.0,17.892614364624023
2020-03-25,45.0,8.50599558012826,0.0,20.426361083984375
2020-03-26,97.0,15.05776480266026,0.0,30.1147518157959
2020-03-27,116.0,21.89587708881923,5.63147497177124,37.619232177734375
2020-03-28,90.0,27.72676318032401,8.974944114685059,42.42207717895508
2020-03-29,294.0,35.57210786002023,16.73660659790039,61.280391693115234
2020-03-30,92.0,48.37084034511021,21.16639518737793,101.86772155761719
2020-03-31,102.0,61.16310582842146,27.876726150512695,113.50390625
2020-04-01,165.0,77.32197189331055,39.6912727355957,132.48240661621094
2020-04-02,184.0,96.70490101405552,47.70804977416992,157.57594299316406
2020-04-03,51.0,118.38228116716657,52.39582443237305,173.94122314453125
2020-04-04,228.0,139.45369284493583,75.15179443359375,180.6408233642578
2020-04-05,113.0,161.73503875732422,120.35834503173828,192.6725311279297
2020-04-06,98.0,171.0690176827567,135.4477081298828,201.48101806640625
2020-04-07,171.0,179.19592503138952,158.7736053466797,207.3014373779297
2020-04-08,135.0,185.4667009626116,162.07359313964844,209.01947021484375
2020-04-09,197.0,187.0958535330636,165.1486053466797,224.21286010742188
2020-04-10,266.0,185.14763968331474,162.1170196533203,217.63829040527344
2020-04-11,-20.0,189.1512189592634,166.62652587890625,229.02024841308594
2020-04-12,134.0,183.03513663155692,161.96566772460938,204.25973510742188
2020-04-13,154.0,186.1658216203962,167.79603576660156,208.14991760253906
2020-04-14,144.0,189.54943193708147,176.95217895507812,212.1050567626953
2020-04-15,77.0,191.323974609375,173.18527221679688,227.40777587890625
2020-04-16,3.0,192.08010864257812,165.92166137695312,223.7446746826172
2020-04-17,310.0,188.69959150041853,132.32200622558594,237.4367218017578
2020-04-18,102.0,177.56394958496094,120.36378479003906,212.66802978515625
2020-04-19,102.0,174.34247698102678,118.56619262695312,204.68682861328125
2020-04-20,102.0,170.38943590436662,119.4455795288086,214.87803649902344
2020-04-21,107.0,163.07860020228796,121.62110900878906,207.03274536132812
2020-04-22,144.0,155.72642953055245,130.51744079589844,199.5457305908203
2020-04-23,127.0,152.78412737165178,134.58436584472656,177.1708984375
2020-04-24,190.0,158.68050711495536,141.06002807617188,174.29258728027344
2020-04-25,141.0,162.72242082868303,138.72689819335938,185.6307373046875
