,New Hampshire,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-02-03,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-02-04,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-02-05,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-02-06,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-02-07,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-02-08,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-02-09,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-02-10,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-02-11,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-02-12,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-02-13,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-02-14,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-02-15,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-02-16,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-02-17,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-02-18,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-02-19,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-02-20,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-02-21,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-02-22,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-02-23,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-02-24,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-02-25,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-02-26,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-02-27,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-02-28,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-02-29,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-03-01,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-03-02,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-03-03,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-03-04,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-03-05,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-03-06,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-03-07,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-03-08,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-03-09,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-03-10,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-03-11,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-03-12,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-03-13,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-03-14,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-03-15,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-03-16,0.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-03-17,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-03-18,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-03-19,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-03-20,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-03-21,0.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-03-22,0.0,0.1624492108821869,0.0,0.4405556619167328
2020-03-23,1.0,0.1743076592683792,0.056989848613739014,0.2651207745075226
2020-03-24,0.0,0.14567773044109344,0.03956735506653786,0.2921006381511688
2020-03-25,0.0,0.06481289118528366,0.0,0.15274272859096527
2020-03-26,0.0,0.19285964965820312,0.09559622406959534,0.2908148765563965
2020-03-27,0.0,0.14722852408885956,0.004231203347444534,0.23525306582450867
2020-03-28,1.0,0.2366364300251007,0.11596754938364029,0.39836975932121277
2020-03-29,0.0,0.2501412034034729,0.013207189738750458,0.49151360988616943
2020-03-30,1.0,0.23320002853870392,0.13608160614967346,0.33635762333869934
2020-03-31,0.0,0.3224097490310669,0.2527316212654114,0.4478285014629364
2020-04-01,0.0,0.4470338821411133,0.40889132022857666,0.5401907563209534
2020-04-02,0.0,0.4988582730293274,0.45417821407318115,0.5817410349845886
2020-04-03,2.0,0.3626290559768677,0.27650344371795654,0.4939490854740143
2020-04-04,2.0,0.38485509157180786,0.3027147948741913,0.5079761743545532
2020-04-05,2.0,0.5267859697341919,0.3813056945800781,0.7284465432167053
2020-04-06,0.0,0.5137598514556885,0.4415910542011261,0.5863313674926758
2020-04-07,0.0,0.6826894879341125,0.5702983736991882,0.8334667682647705
2020-04-08,4.0,0.731921374797821,0.6463795304298401,0.7603698968887329
2020-04-09,8.0,0.738735556602478,0.6732851266860962,0.8363209366798401
2020-04-10,0.0,0.519941508769989,0.4743768572807312,0.6546972393989563
2020-04-11,1.0,0.5630865097045898,0.4688602089881897,0.6719260811805725
2020-04-12,1.0,1.9988834857940674,1.8750362396240234,2.0999550819396973
