,Pennsylvania,forecast,interval_low,interval_high
2020-03-08,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-09,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-10,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-11,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-12,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-13,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-14,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-15,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-16,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-17,0.0,1.9370943818773543,0.0,5.51144552230835
2020-03-18,1.0,1.9370943818773543,0.0,5.51144552230835
2020-03-19,0.0,1.9710963453565324,0.0,5.51144552230835
2020-03-20,0.0,1.9681045072419303,0.0,5.51144552230835
2020-03-21,1.0,1.954597192151206,0.0,5.51144552230835
2020-03-22,2.0,1.9986860411507743,0.0,5.51144552230835
2020-03-23,2.0,2.122599618775504,0.0,5.558412551879883
2020-03-24,2.0,2.2783002257347107,0.0,5.707714557647705
2020-03-25,7.0,2.4290886180741444,0.0,5.7726616859436035
2020-03-26,3.0,2.6558079166071757,0.0,5.80670690536499
2020-03-27,4.0,2.849565925342696,0.0,5.977092266082764
2020-03-28,12.0,3.2584174360547746,0.3748260736465454,6.327171325683594
2020-03-29,7.0,4.124192203794207,1.6412906646728516,6.721606731414795
2020-03-30,9.0,4.912718125752041,2.948258638381958,7.42365837097168
2020-03-31,13.0,5.809446947915213,3.315891742706299,8.46501636505127
2020-04-01,11.0,6.99128110068185,5.029821872711182,9.052003860473633
2020-04-02,16.0,7.850918361118862,5.306591510772705,9.751911163330078
2020-04-03,12.0,9.234892027718681,5.833191394805908,11.241344451904297
2020-04-04,34.0,10.908462115696498,8.73116397857666,12.923014640808105
2020-04-05,15.0,12.68778841836112,9.426755905151367,17.28653907775879
2020-04-06,28.0,13.878521374293737,10.579323768615723,17.304800033569336
2020-04-07,68.0,15.461319923400879,12.880828857421875,21.2385196685791
2020-04-08,71.0,18.446515219552175,13.427140235900879,33.356048583984375
2020-04-09,27.0,22.111448560442245,16.017356872558594,42.71891403198242
2020-04-10,73.0,23.772047315325057,16.91881561279297,36.59814453125
2020-04-11,85.0,27.805079868861608,21.4611759185791,50.513919830322266
