,Massachusetts,forecast,interval_low,interval_high
2020-01-23,0.0,0.05699751526117325,-0.18414682149887085,0.5212118029594421
2020-01-24,0.0,62.7413215637207,-0.023595154285430908,313.36419677734375
2020-01-25,0.0,0.08950663357973099,0.004048645496368408,0.2662224769592285
2020-01-26,0.0,-0.08862330764532089,-0.1942739486694336,-0.03310716152191162
2020-01-27,0.0,-0.06028412654995918,-0.1479284167289734,-0.014616608619689941
2020-01-28,0.0,0.14769180119037628,0.050876736640930176,0.2711898684501648
2020-01-29,0.0,0.7676388025283813,-0.09486061334609985,4.036543846130371
2020-01-30,0.0,-1.3332431316375732,-6.435752868652344,0.03583332896232605
2020-01-31,0.0,0.675544023513794,-0.047233760356903076,3.3746297359466553
2020-02-01,1.0,0.21030783653259277,-2.876293420791626,1.0459225177764893
2020-02-02,0.0,0.18775518238544464,-0.016216397285461426,0.531990647315979
2020-02-03,0.0,0.27746668457984924,-0.0034149885177612305,1.1885193586349487
2020-02-04,0.0,-0.03888736292719841,-0.1499956250190735,0.01382213830947876
2020-02-05,0.0,0.07212338596582413,-0.2996819019317627,0.7329903244972229
2020-02-06,0.0,0.2088504135608673,-0.023169338703155518,0.4253295063972473
2020-02-07,0.0,0.24632158875465393,-0.046274542808532715,1.2515182495117188
2020-02-08,0.0,-0.31403908133506775,-1.8949923515319824,0.3189725875854492
2020-02-09,0.0,0.09120520204305649,-0.22664719820022583,0.4730496108531952
2020-02-10,0.0,-0.1570720225572586,-0.2900291085243225,0.039476484060287476
2020-02-11,0.0,-0.09873102605342865,-0.8805423974990845,0.3743922710418701
2020-02-12,0.0,0.052093155682086945,-0.06836771965026855,0.18728750944137573
2020-02-13,0.0,-1.0918846130371094,-6.415974140167236,1.577219843864441
2020-02-14,0.0,0.07036995142698288,-0.22083884477615356,0.21090856194496155
2020-02-15,0.0,-0.1586345136165619,-0.504040002822876,0.1654597818851471
2020-02-16,0.0,0.13191263377666473,-0.11740255355834961,0.3622052073478699
2020-02-17,0.0,2.427673816680908,-0.5747255086898804,12.339521408081055
2020-02-18,0.0,-0.3031173646450043,-1.490559458732605,0.3398570418357849
2020-02-19,0.0,-0.036683402955532074,-0.19088011980056763,0.25912177562713623
2020-02-20,0.0,0.021410828456282616,-0.14047378301620483,0.1941092312335968
2020-02-21,0.0,-1.1238901615142822,-5.301009654998779,0.3714321255683899
2020-02-22,0.0,-0.08377303183078766,-0.48915189504623413,0.21645745635032654
2020-02-23,0.0,-2.306488513946533,-11.356767654418945,0.28380489349365234
2020-02-24,0.0,0.026343148201704025,-0.009329497814178467,0.05124744772911072
2020-02-25,0.0,1.0922276973724365,-0.19474506378173828,5.629978656768799
2020-02-26,0.0,0.0024339198134839535,-0.2471664547920227,0.37532830238342285
2020-02-27,0.0,-0.0763687938451767,-0.4442251920700073,0.2242729365825653
2020-02-28,0.0,2.536250352859497,-0.026223182678222656,12.240128517150879
2020-02-29,0.0,-0.4513692259788513,-2.265341281890869,0.11108577251434326
2020-03-01,0.0,-0.34791451692581177,-2.2831649780273438,0.4850246012210846
2020-03-02,0.0,0.09787500649690628,-0.07690656185150146,0.6102020740509033
2020-03-03,1.0,2.194765090942383,0.9211617708206177,6.941193103790283
2020-03-04,0.0,0.07626964151859283,-0.004565834999084473,0.19378191232681274
2020-03-05,0.0,-0.11194343864917755,-0.2684652805328369,0.027043819427490234
2020-03-06,4.0,3.0116937160491943,0.3669697344303131,4.18825626373291
2020-03-07,0.0,5.855284214019775,-0.22053897380828857,15.76792049407959
2020-03-08,16.0,15.98962116241455,15.809589385986328,16.276042938232422
2020-03-09,0.0,3.5766372680664062,0.02164357900619507,17.517009735107422
2020-03-10,19.0,16.90810203552246,8.567749977111816,19.147245407104492
2020-03-11,51.0,37.308433532714844,14.50831413269043,51.02495574951172
2020-03-12,15.0,15.39546012878418,15.050564765930176,15.655466079711914
2020-03-13,16.0,15.661493301391602,14.853593826293945,15.978108406066895
2020-03-14,15.0,13.369714736938477,6.908982276916504,15.270926475524902
2020-03-15,0.0,3.117936611175537,-0.0927324891090393,15.364776611328125
2020-03-16,49.0,35.81842803955078,11.99792766571045,48.90170669555664
2020-03-17,30.0,30.169164657592773,30.01237678527832,30.330995559692383
2020-03-18,35.0,35.08111572265625,34.917999267578125,35.477210998535156
2020-03-19,76.0,77.81840515136719,75.72049713134766,83.16657257080078
2020-03-20,85.0,85.07303619384766,84.95417785644531,85.24005126953125
2020-03-21,110.0,110.0232162475586,109.77378845214844,110.3031005859375
2020-03-22,117.0,113.66390228271484,101.35128784179688,116.95634460449219
2020-03-23,137.0,232.06167602539062,137.05447387695312,380.56622314453125
2020-03-24,382.0,435.0693359375,381.7596740722656,647.7105712890625
2020-03-25,679.0,678.7889404296875,678.62158203125,679.0263671875
2020-03-26,579.0,579.2989501953125,578.99658203125,579.619140625
2020-03-27,823.0,822.9655151367188,822.8616943359375,823.1356811523438
2020-03-28,1017.0,867.9490356445312,699.9146728515625,1016.865478515625
2020-03-29,698.0,733.8404541015625,698.0055541992188,876.9449462890625
2020-03-30,797.0,810.1807861328125,796.8856201171875,862.8283081054688
2020-03-31,868.0,867.9688720703125,867.919677734375,868.0177612304688
2020-04-01,1118.0,1118.137451171875,1118.00830078125,1118.2677001953125
2020-04-02,1228.0,1248.7255859375,1227.9072265625,1331.675537109375
2020-04-03,1436.0,1435.808349609375,1435.676513671875,1435.96826171875
2020-04-04,1334.0,1220.808837890625,767.9802856445312,1334.1756591796875
2020-04-05,764.0,881.4615478515625,764.05419921875,1350.4781494140625
