,Colorado,forecast,interval_low,interval_high
2020-01-23,0.0,0.14034941792488098,-0.062028586864471436,0.8407816886901855
2020-01-24,0.0,-0.0015813648933544755,-0.15553903579711914,0.13387155532836914
2020-01-25,0.0,8.854581832885742,-4.307585716247559,48.3387336730957
2020-01-26,0.0,-0.48485690355300903,-2.4924347400665283,0.04415398836135864
2020-01-27,0.0,-0.38124656677246094,-1.9786732196807861,0.0511629581451416
2020-01-28,0.0,-0.006843739654868841,-0.08977288007736206,0.02873760461807251
2020-01-29,0.0,-0.18713197112083435,-0.8784850835800171,0.0005115866661071777
2020-01-30,0.0,0.006756705231964588,-0.014200747013092041,0.02248367667198181
2020-01-31,0.0,0.01936010643839836,-0.031662583351135254,0.09369808435440063
2020-02-01,0.0,-0.47809991240501404,-2.264298915863037,-0.0012483000755310059
2020-02-02,0.0,-0.953520655632019,-4.728339195251465,0.030913203954696655
2020-02-03,0.0,-0.11259076744318008,-0.6316176652908325,0.13819602131843567
2020-02-04,0.0,-0.033832110464572906,-0.06194865703582764,0.02020549774169922
2020-02-05,0.0,1.2941396236419678,-0.030179381370544434,6.408229827880859
2020-02-06,0.0,0.3790855407714844,-0.05020564794540405,1.7656697034835815
2020-02-07,0.0,-0.12416557967662811,-2.7988710403442383,2.082202434539795
2020-02-08,0.0,-0.04463248327374458,-0.07581788301467896,-0.010618388652801514
2020-02-09,0.0,6.4785284996032715,0.029836297035217285,19.672130584716797
2020-02-10,0.0,-0.8278616070747375,-1.702122688293457,-0.06075328588485718
2020-02-11,0.0,0.18160991370677948,-0.059898555278778076,0.6930870413780212
2020-02-12,0.0,-0.0041772304102778435,-0.049613356590270996,0.08330303430557251
2020-02-13,0.0,-0.26823389530181885,-1.8154029846191406,0.3474222719669342
2020-02-14,0.0,-0.15926817059516907,-0.3143899440765381,0.017534732818603516
2020-02-15,0.0,0.15205533802509308,0.059452831745147705,0.3597637116909027
2020-02-16,0.0,-0.10389083623886108,-0.286274790763855,0.04430592060089111
2020-02-17,0.0,0.030637074261903763,-0.0942278504371643,0.09239152073860168
2020-02-18,0.0,-0.07593010365962982,-0.1610715389251709,0.05505627393722534
2020-02-19,0.0,-0.14381960034370422,-1.0206525325775146,0.20747646689414978
2020-02-20,0.0,-0.24836301803588867,-1.1401208639144897,0.095221608877182
2020-02-21,0.0,0.8450708389282227,-0.07933992147445679,4.006017684936523
2020-02-22,0.0,1.0325932502746582,-0.1254044771194458,2.4488067626953125
2020-02-23,0.0,-0.19441208243370056,-0.733076810836792,0.018704980611801147
2020-02-24,0.0,0.2880827784538269,-0.06257843971252441,1.4828360080718994
2020-02-25,0.0,0.014891594648361206,-0.04122030735015869,0.10049882531166077
2020-02-26,0.0,1.243472695350647,-0.23576509952545166,3.343419075012207
2020-02-27,0.0,-0.3018237054347992,-0.7584341764450073,-0.020141541957855225
2020-02-28,0.0,0.7907820343971252,-0.16198831796646118,3.051196336746216
2020-02-29,0.0,1.608435869216919,-0.03345519304275513,8.051774978637695
2020-03-01,0.0,0.29662469029426575,0.0015166699886322021,0.8803856372833252
2020-03-02,0.0,-0.6649725437164307,-2.941193103790283,-0.0328025221824646
2020-03-03,0.0,0.7946712374687195,-0.0036759376525878906,3.630629539489746
2020-03-04,0.0,1.073991060256958,-0.11406391859054565,5.63780403137207
2020-03-05,2.0,1.779244065284729,0.05063489079475403,2.5132250785827637
2020-03-06,6.0,4.333891868591309,-0.9203245639801025,5.932284832000732
2020-03-07,0.0,-0.017199480906128883,-0.09267270565032959,0.06445884704589844
2020-03-08,0.0,0.040802549570798874,0.007478594779968262,0.13394474983215332
2020-03-09,4.0,4.067055702209473,4.005683898925781,4.16397762298584
2020-03-10,5.0,7.1823015213012695,3.1200757026672363,17.687070846557617
2020-03-11,17.0,18.567514419555664,16.654525756835938,25.72771453857422
2020-03-12,15.0,17.59109115600586,15.023547172546387,27.372695922851562
2020-03-13,29.0,29.059274673461914,28.92462730407715,29.11983299255371
2020-03-14,25.0,25.681743621826172,24.969308853149414,28.308094024658203
2020-03-15,33.0,30.214019775390625,22.267484664916992,33.06524658203125
2020-03-16,25.0,25.020320892333984,24.917224884033203,25.3253116607666
2020-03-17,22.0,25.658184051513672,21.769039154052734,32.74934768676758
2020-03-18,33.0,33.09149169921875,33.006534576416016,33.24062728881836
2020-03-19,62.0,62.2795524597168,38.995399475097656,86.593994140625
2020-03-20,86.0,91.20042419433594,85.7183609008789,112.10822296142578
2020-03-21,111.0,111.8990249633789,110.96414184570312,115.2964096069336
2020-03-22,120.0,119.9767074584961,119.9105453491211,120.07701110839844
2020-03-23,128.0,143.99545288085938,127.60153198242188,208.41062927246094
2020-03-24,189.0,180.98533630371094,134.08888244628906,202.98272705078125
2020-03-25,175.0,206.3106231689453,174.9014434814453,331.3485412597656
2020-03-26,343.0,335.8364562988281,308.0948791503906,342.8425598144531
2020-03-27,308.0,308.1723937988281,308.0057373046875,308.3334655761719
2020-03-28,323.0,320.27362060546875,310.0381774902344,323.00579833984375
2020-03-29,247.0,247.0947265625,246.98580932617188,247.20809936523438
2020-03-30,319.0,332.1197204589844,318.934814453125,345.4022216796875
2020-03-31,339.0,338.9056091308594,338.84185791015625,338.95806884765625
2020-04-01,376.0,375.9830627441406,375.88067626953125,376.04608154296875
2020-04-02,386.0,399.12786865234375,386.0306091308594,451.2803955078125
2020-04-03,445.0,431.97418212890625,380.8294677734375,444.8454284667969
2020-04-04,392.0,392.0766296386719,392.0072937011719,392.1333923339844
2020-04-05,385.0,356.27447509765625,330.2684326171875,384.99432373046875
