,North Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.12090655439660558,0.12090655439660558,0.12090655439660558
2020-01-25,0.0,0.18314132789881593,0.18314132789881593,0.18314132789881593
2020-01-26,0.0,0.20281870532748728,0.20281870532748728,0.20281870532748728
2020-01-27,0.0,0.23431970713318973,0.23431970713318973,0.23431970713318973
2020-01-28,0.0,0.3239998689379361,0.3239998689379361,0.3239998689379361
2020-01-29,0.0,0.41586607968973555,0.41586607968973555,0.41586607968973555
2020-01-30,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-01-31,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-01,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-02,0.0,0.5582481774562317,0.5582481774562317,0.5582481774562317
2020-02-03,0.0,0.5582481774562318,0.5582481774562318,0.5582481774562318
2020-02-04,0.0,0.5582481774562318,0.5582481774562318,0.5582481774562318
2020-02-05,0.0,0.5582481774562317,0.5582481774562317,0.5582481774562317
2020-02-06,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-07,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-08,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-09,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-10,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-11,0.0,0.5582481774562315,0.5582481774562315,0.5582481774562315
2020-02-12,0.0,0.5582481774562315,0.5582481774562315,0.5582481774562315
2020-02-13,0.0,0.5582481774562315,0.5582481774562315,0.5582481774562315
2020-02-14,0.0,0.5582481774562315,0.5582481774562315,0.5582481774562315
2020-02-15,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-16,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-17,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-18,0.0,0.5582481774562317,0.5582481774562317,0.5582481774562317
2020-02-19,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-20,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-21,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-22,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-02-23,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-24,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-25,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-26,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-27,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-28,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-02-29,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-03-01,0.0,0.5582481774562313,0.5582481774562313,0.5582481774562313
2020-03-02,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-03,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-04,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-05,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-06,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-07,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-08,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-09,0.0,0.5582481774562315,0.5582481774562315,0.5582481774562315
2020-03-10,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-11,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-12,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-13,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-14,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-15,0.0,0.5582481774562317,0.5582481774562317,0.5582481774562317
2020-03-16,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-17,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-18,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-19,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-20,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-21,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-22,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-23,0.0,0.5582481774562317,0.5582481774562317,0.5582481774562317
2020-03-24,0.0,0.5582481774562316,0.5582481774562316,0.5582481774562316
2020-03-25,2.0,2.558248177456232,2.558248177456232,2.558248177456232
2020-03-26,1.0,0.0,0.0,0.0
2020-03-27,1.0,1.2650963702182874,1.2650963702182874,1.2650963702182874
2020-03-28,1.0,0.9045633807493715,0.9045633807493715,0.9045633807493715
2020-03-29,2.0,1.7801296974273662,1.7801296974273662,1.7801296974273662
2020-03-30,0.0,0.0,0.0,0.0
2020-03-31,5.0,6.54649251515623,6.54649251515623,6.54649251515623
2020-04-01,2.0,0.0,0.0,0.0
2020-04-02,7.0,7.7817984716370425,7.7817984716370425,7.7817984716370425
2020-04-03,6.0,1.8007108801998273,1.8007108801998273,1.8007108801998273
2020-04-04,7.0,4.650435111944956,4.650435111944956,4.650435111944956
2020-04-05,4.0,1.2755000445002191,1.2755000445002191,1.2755000445002191
2020-04-06,7.0,6.590076575789462,6.590076575789462,6.590076575789462
