,Rhode Island,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,51.85940933227539,5.6037068367004395,120.81501770019531
2020-02-03,0.0,27.09991455078125,0.0,87.69416809082031
2020-02-04,0.0,74.9483871459961,10.523709297180176,164.03512573242188
2020-02-05,0.0,77.62853240966797,13.185165405273438,177.49440002441406
2020-02-06,0.0,101.8359375,23.593557357788086,219.57044982910156
2020-02-07,0.0,123.1569595336914,32.94856262207031,264.1934814453125
2020-02-08,0.0,185.3906707763672,73.19556427001953,352.23028564453125
2020-02-09,0.0,51.85940933227539,5.6037068367004395,120.81501770019531
2020-02-10,0.0,27.09991455078125,0.0,87.69416809082031
2020-02-11,0.0,74.9483871459961,10.523709297180176,164.03512573242188
2020-02-12,0.0,77.62853240966797,13.185165405273438,177.49440002441406
2020-02-13,0.0,101.8359375,23.593557357788086,219.57044982910156
2020-02-14,0.0,123.1569595336914,32.94856262207031,264.1934814453125
2020-02-15,0.0,185.3906707763672,73.19556427001953,352.23028564453125
2020-02-16,0.0,51.85940933227539,5.6037068367004395,120.81501770019531
2020-02-17,0.0,27.09991455078125,0.0,87.69416809082031
2020-02-18,0.0,74.9483871459961,10.523709297180176,164.03512573242188
2020-02-19,0.0,77.62853240966797,13.185165405273438,177.49440002441406
2020-02-20,0.0,101.8359375,23.593557357788086,219.57044982910156
2020-02-21,0.0,123.1569595336914,32.94856262207031,264.1934814453125
2020-02-22,0.0,185.3906707763672,73.19556427001953,352.23028564453125
2020-02-23,0.0,51.85940933227539,5.6037068367004395,120.81501770019531
2020-02-24,0.0,27.09991455078125,0.0,87.69416809082031
2020-02-25,0.0,74.9483871459961,10.523709297180176,164.03512573242188
2020-02-26,0.0,77.62853240966797,13.185165405273438,177.49440002441406
2020-02-27,0.0,101.8359375,23.593557357788086,219.57044982910156
2020-02-28,0.0,123.1569595336914,32.94856262207031,264.1934814453125
2020-02-29,0.0,185.3906707763672,73.19556427001953,352.23028564453125
2020-03-01,1.0,51.85940933227539,5.6037068367004395,120.81501770019531
2020-03-02,2.0,27.09991455078125,0.0,87.69416809082031
2020-03-03,2.0,74.9483871459961,10.523709297180176,164.03512573242188
2020-03-04,2.0,77.62853240966797,13.185165405273438,177.49440002441406
2020-03-05,2.0,101.8359375,23.593557357788086,219.57044982910156
2020-03-06,2.0,123.1569595336914,32.94856262207031,264.1934814453125
2020-03-07,3.0,185.3906707763672,73.19556427001953,352.23028564453125
2020-03-08,3.0,52.322200775146484,6.140674114227295,121.18112182617188
2020-03-09,3.0,27.89250373840332,0.0,88.29014587402344
2020-03-10,3.0,75.81652069091797,11.515518188476562,164.74307250976562
2020-03-11,5.0,78.49309539794922,14.167759895324707,178.1465606689453
2020-03-12,3.0,102.86121368408203,24.77821922302246,220.3380889892578
2020-03-13,12.0,124.27328491210938,34.244117736816406,264.9892883300781
2020-03-14,20.0,186.3978271484375,74.43795776367188,352.9198303222656
2020-03-15,20.0,56.271427154541016,11.087961196899414,123.79441833496094
2020-03-16,21.0,33.160770416259766,0.0,91.39154052734375
2020-03-17,23.0,80.61721801757812,17.819847106933594,167.63870239257812
2020-03-18,33.0,84.54789733886719,21.80063819885254,181.60537719726562
2020-03-19,44.0,109.486083984375,33.357666015625,223.9762420654297
2020-03-20,54.0,131.7582550048828,43.90190887451172,268.86358642578125
2020-03-21,66.0,193.909912109375,84.68498229980469,356.73321533203125
2020-03-22,83.0,71.5995101928711,29.602176666259766,134.8809814453125
2020-03-23,106.0,55.3763542175293,23.252044677734375,106.16386413574219
2020-03-24,124.0,102.0921859741211,44.2672004699707,182.76718139648438
2020-03-25,132.0,109.40829467773438,51.73294448852539,197.8427276611328
2020-03-26,165.0,137.425048828125,67.74443054199219,241.8357696533203
2020-03-27,203.0,162.90614318847656,82.26014709472656,287.6734924316406
2020-03-28,239.0,223.96888732910156,123.9336166381836,374.316650390625
2020-03-29,294.0,154.93118286132812,132.03195190429688,192.6544952392578
2020-03-30,408.0,172.2164764404297,160.06179809570312,180.4759063720703
2020-03-31,488.0,214.39111328125,185.65719604492188,257.9841003417969
2020-04-01,566.0,242.06719970703125,214.42230224609375,280.31011962890625
2020-04-02,645.0,285.35302734375,253.30421447753906,331.5984191894531
2020-04-03,711.0,328.2837829589844,289.5194396972656,382.43597412109375
2020-04-04,806.0,385.9195861816406,339.03338623046875,464.17535400390625
2020-04-05,922.0,434.6976623535156,391.7386474609375,471.45904541015625
2020-04-06,1082.0,558.1588134765625,435.7645263671875,631.7518310546875
2020-04-07,1229.0,589.7601928710938,518.0062255859375,650.7194213867188
2020-04-08,1450.0,679.3601684570312,562.9159545898438,743.436279296875
2020-04-09,1727.0,771.932373046875,639.4390258789062,854.5249633789062
2020-04-10,1727.0,869.5149536132812,706.8780517578125,958.1075439453125
2020-04-11,2349.0,916.40478515625,772.0252075195312,1031.9793701171875
2020-04-12,2665.0,1324.0753173828125,1061.669189453125,1516.373046875
2020-04-13,2665.0,1670.6297607421875,1240.0721435546875,1906.4832763671875
2020-04-14,3251.0,1676.9915771484375,1313.038330078125,1957.9588623046875
2020-04-15,3251.0,1945.8714599609375,1450.8851318359375,2229.503662109375
2020-04-16,3529.0,2146.094970703125,1585.387451171875,2496.22314453125
