,West Virginia,forecast,interval_low,interval_high
2020-03-01,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-02,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-03,0.0,0.19698786096913473,0.1494622528553009,0.23687933385372162
2020-03-04,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-05,0.0,0.19698786522660935,0.1494622528553009,0.23687933385372162
2020-03-06,0.0,0.19698786096913473,0.1494622528553009,0.23687931895256042
2020-03-07,0.0,0.19698786096913473,0.1494622528553009,0.23687931895256042
2020-03-08,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-09,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-10,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-11,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-12,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-13,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-14,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-15,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-16,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-17,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-18,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-19,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-20,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-21,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-22,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-23,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-24,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-25,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-26,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-27,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-28,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-29,0.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-30,1.0,0.19698786309787206,0.1494622528553009,0.23687933385372162
2020-03-31,0.0,0.2058474293776921,0.1494622528553009,0.2551692724227905
2020-04-01,0.0,0.23404534373964583,0.1494622528553009,0.3149624466896057
2020-04-02,1.0,0.2642362798963274,0.21003994345664978,0.34390324354171753
2020-04-03,0.0,0.28240519549165455,0.21003994345664978,0.41208070516586304
2020-04-04,0.0,0.31716975356851307,0.21003994345664978,0.46344825625419617
2020-04-05,1.0,0.36119248398712706,0.23687933385372162,0.47710105776786804
2020-04-06,1.0,0.3933474378926413,0.32480043172836304,0.5260059237480164
2020-04-07,0.0,0.4159509667328426,0.3406842350959778,0.5229533910751343
2020-04-08,0.0,0.46944892406463623,0.3437499701976776,0.5920456051826477
2020-04-09,1.0,0.5059101837021964,0.44024303555488586,0.6076210141181946
2020-04-10,0.0,0.49247242723192486,0.42830997705459595,0.5563199520111084
2020-04-11,0.0,0.5026510783604213,0.4035182297229767,0.5916082859039307
2020-04-12,1.0,0.532037649835859,0.4940492510795593,0.5868918299674988
2020-04-13,2.0,0.5200555835451398,0.46733444929122925,0.5507594347000122
2020-04-14,1.0,0.5139362812042236,0.42490237951278687,0.5819924473762512
2020-04-15,1.0,0.5725444895880563,0.47859692573547363,0.7594704627990723
2020-04-16,2.0,0.6483728034155709,0.5060828328132629,0.906345009803772
2020-04-17,4.0,0.6835122193608966,0.48755592107772827,0.9931659698486328
2020-04-18,0.0,0.7765857917921883,0.44779837131500244,1.299575686454773
2020-04-19,2.0,0.9402211904525757,0.4940492510795593,1.4628219604492188
2020-04-20,6.0,1.0873783401080541,0.6673300862312317,1.5531052350997925
2020-04-21,2.0,1.1571974839482988,0.7502537369728088,1.6970490217208862
2020-04-22,1.0,1.3391675863947188,0.8107557892799377,1.8839446306228638
2020-04-23,4.0,1.5426246864455087,0.94087153673172,2.080697774887085
2020-04-24,1.0,1.6163724149976457,1.302652359008789,2.0147294998168945
2020-04-25,0.0,1.6288022654397147,1.176584243774414,1.9654383659362793
2020-04-26,2.0,1.715610044343131,1.2365995645523071,2.040200710296631
2020-04-27,0.0,1.7219895124435425,1.5918140411376953,1.8084959983825684
2020-04-28,4.0,1.6134258678981237,1.3614857196807861,1.9536305665969849
2020-04-29,0.0,1.520252261843,1.1534578800201416,1.796865701675415
2020-04-30,3.0,1.4918360539845057,1.0315308570861816,1.7531869411468506
