,Maryland,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.9939984083175659,0.0,2.681119441986084
2020-02-03,0.0,1.475907564163208,0.0,2.8110337257385254
2020-02-04,0.0,2.7461323738098145,1.448251724243164,5.087057590484619
2020-02-05,0.0,1.4941303730010986,0.5425003170967102,2.140465021133423
2020-02-06,0.0,2.7075512409210205,1.5858627557754517,3.6055963039398193
2020-02-07,0.0,2.927294969558716,1.6433056592941284,4.500821590423584
2020-02-08,0.0,3.9608006477355957,2.7425484657287598,5.236695289611816
2020-02-09,0.0,0.9939984083175659,0.0,2.681119441986084
2020-02-10,0.0,1.475907564163208,0.0,2.8110337257385254
2020-02-11,0.0,2.7461323738098145,1.448251724243164,5.087057590484619
2020-02-12,0.0,1.4941303730010986,0.5425003170967102,2.140465021133423
2020-02-13,0.0,2.7075512409210205,1.5858627557754517,3.6055963039398193
2020-02-14,0.0,2.927294969558716,1.6433056592941284,4.500821590423584
2020-02-15,0.0,3.9608006477355957,2.7425484657287598,5.236695289611816
2020-02-16,0.0,0.9939984083175659,0.0,2.681119441986084
2020-02-17,0.0,1.475907564163208,0.0,2.8110337257385254
2020-02-18,0.0,2.7461323738098145,1.448251724243164,5.087057590484619
2020-02-19,0.0,1.4941303730010986,0.5425003170967102,2.140465021133423
2020-02-20,0.0,2.7075512409210205,1.5858627557754517,3.6055963039398193
2020-02-21,0.0,2.927294969558716,1.6433056592941284,4.500821590423584
2020-02-22,0.0,3.9608006477355957,2.7425484657287598,5.236695289611816
2020-02-23,0.0,0.9939984083175659,0.0,2.681119441986084
2020-02-24,0.0,1.475907564163208,0.0,2.8110337257385254
2020-02-25,0.0,2.7461323738098145,1.448251724243164,5.087057590484619
2020-02-26,0.0,1.4941303730010986,0.5425003170967102,2.140465021133423
2020-02-27,0.0,2.7075512409210205,1.5858627557754517,3.6055963039398193
2020-02-28,0.0,2.927294969558716,1.6433056592941284,4.500821590423584
2020-02-29,0.0,3.9608006477355957,2.7425484657287598,5.236695289611816
2020-03-01,0.0,0.9939984083175659,0.0,2.681119441986084
2020-03-02,0.0,1.475907564163208,0.0,2.8110337257385254
2020-03-03,0.0,2.7461323738098145,1.448251724243164,5.087057590484619
2020-03-04,0.0,1.4941303730010986,0.5425003170967102,2.140465021133423
2020-03-05,0.0,2.7075512409210205,1.5858627557754517,3.6055963039398193
