,Arkansas,forecast,interval_low,interval_high
2020-01-23,0.0,-0.0036357999779284,-0.017873764038085938,0.0038284659385681152
2020-01-24,0.0,0.007813841104507446,-0.0005130171775817871,0.019684195518493652
2020-01-25,0.0,-0.05590491741895676,-0.16060608625411987,1.0699033737182617e-05
2020-01-26,0.0,0.023805176839232445,-0.0015997886657714844,0.11991199851036072
2020-01-27,0.0,-0.023164069280028343,-0.11214697360992432,-0.00020360946655273438
2020-01-28,0.0,0.0015221595531329513,0.0007150769233703613,0.002988100051879883
2020-01-29,0.0,-0.16728776693344116,-0.5226454734802246,-0.0005334615707397461
2020-01-30,0.0,0.0055305240675807,-0.002943575382232666,0.030642807483673096
2020-01-31,0.0,5.437135769170709e-05,-0.0011203885078430176,0.001027822494506836
2020-02-01,0.0,0.005537522025406361,-0.0005798935890197754,0.021917611360549927
2020-02-02,0.0,0.10995273292064667,-0.000482022762298584,0.5490702986717224
2020-02-03,0.0,-0.0006544351344928145,-0.0008854269981384277,-0.0003713369369506836
2020-02-04,0.0,0.00071339012356475,-0.0028811097145080566,0.006166428327560425
2020-02-05,0.0,-0.0006404042360372841,-0.004338681697845459,0.0037689208984375
2020-02-06,0.0,0.0010344624752178788,-0.0020294189453125,0.005749523639678955
2020-02-07,0.0,-0.013444500975310802,-0.054286837577819824,0.0015356242656707764
2020-02-08,0.0,0.0068139852955937386,-0.002882540225982666,0.036441028118133545
2020-02-09,0.0,0.015963803976774216,0.0006858408451080322,0.07195901870727539
2020-02-10,0.0,-0.021581459790468216,-0.1380656361579895,0.03724783658981323
2020-02-11,0.0,0.002849882934242487,0.00025710463523864746,0.007144659757614136
2020-02-12,0.0,-0.038207221776247025,-0.12381231784820557,-0.0012422800064086914
2020-02-13,0.0,0.0016008317470550537,-0.007111072540283203,0.007983386516571045
2020-02-14,0.0,-0.005546915344893932,-0.015829384326934814,0.0009765028953552246
2020-02-15,0.0,-0.01140620093792677,-0.055766940116882324,0.0014643073081970215
2020-02-16,0.0,-0.00204085698351264,-0.018936514854431152,0.0048179030418396
2020-02-17,0.0,0.0002588689385447651,-0.004537761211395264,0.00859898328781128
2020-02-18,0.0,0.011659616604447365,-0.0029464364051818848,0.05903095006942749
2020-02-19,0.0,0.019483834505081177,-0.005527138710021973,0.11269626021385193
2020-02-20,0.0,0.008348864503204823,0.004177570343017578,0.011648118495941162
2020-02-21,0.0,-0.008800363168120384,-0.021186888217926025,-0.002108931541442871
2020-02-22,0.0,0.0008026063442230225,-0.016174912452697754,0.017557889223098755
2020-02-23,0.0,-0.00192166562192142,-0.005835831165313721,0.00022935867309570312
2020-02-24,0.0,0.010717665776610374,0.0010698437690734863,0.0441303551197052
2020-02-25,0.0,-1.4883279618516099e-05,-0.0030222535133361816,0.002794921398162842
2020-02-26,0.0,-0.1600468009710312,-0.4389902353286743,-0.00024622678756713867
2020-02-27,0.0,-0.024146849289536476,-0.1077723503112793,9.34302806854248e-05
2020-02-28,0.0,0.08505257219076157,0.0035265982151031494,0.3413134813308716
2020-02-29,0.0,-0.02688906155526638,-0.1159290075302124,0.0021103620529174805
2020-03-01,0.0,0.0012562930351123214,-0.0033902525901794434,0.00979626178741455
2020-03-02,0.0,-0.016145432367920876,-0.08042395114898682,0.0006884336471557617
2020-03-03,0.0,-0.000841975212097168,-0.0019539594650268555,0.00046816468238830566
2020-03-04,0.0,0.0012465000618249178,-0.0034325122833251953,0.0043839216232299805
2020-03-05,0.0,0.010896241292357445,-0.00036770105361938477,0.05068206787109375
2020-03-06,0.0,-0.017160898074507713,-0.07644909620285034,0.0009246766567230225
2020-03-07,0.0,-0.002286761999130249,-0.01942521333694458,0.002980440855026245
2020-03-08,0.0,0.0014649629592895508,-0.002548694610595703,0.006994038820266724
2020-03-09,0.0,0.011362463235855103,-0.02388310432434082,0.07784155011177063
2020-03-10,0.0,-0.01897483505308628,-0.06580626964569092,0.02853676676750183
2020-03-11,0.0,0.009624707512557507,-0.0004191398620605469,0.024245023727416992
2020-03-12,0.0,0.012042629532516003,-0.00125962495803833,0.03822597861289978
2020-03-13,0.0,-0.004794663283973932,-0.008619487285614014,0.0010026395320892334
2020-03-14,0.0,0.003837412688881159,0.0011629164218902588,0.0061483681201934814
2020-03-15,0.0,-0.004257154650986195,-0.012963354587554932,9.02414321899414e-05
2020-03-16,0.0,0.00024189948453567922,-0.0025424957275390625,0.005792528390884399
2020-03-17,0.0,0.0065597714856266975,-0.0007097125053405762,0.027459263801574707
2020-03-18,0.0,0.02231907844543457,-0.009571433067321777,0.10268411040306091
2020-03-19,0.0,-0.001854974078014493,-0.01627182960510254,0.014689981937408447
2020-03-20,0.0,0.01194748841226101,-0.0042591094970703125,0.04903942346572876
2020-03-21,0.0,-0.0010472893482074142,-0.004674851894378662,0.0022245049476623535
2020-03-22,0.0,0.0069696009159088135,-0.0006091594696044922,0.03385743498802185
2020-03-23,0.0,0.0017360210185870528,0.000391542911529541,0.0025741159915924072
2020-03-24,2.0,1.5904921293258667,-0.009675085544586182,1.9951459169387817
2020-03-25,0.0,-0.061225078999996185,-0.2172200083732605,-0.00021201372146606445
2020-03-26,0.0,0.004849719814956188,0.0034890472888946533,0.0062340497970581055
2020-03-27,1.0,1.175502061843872,0.9928336143493652,1.5119738578796387
2020-03-28,2.0,1.9982019662857056,1.9944332838058472,1.9996016025543213
2020-03-29,1.0,1.389725923538208,1.001180648803711,1.9923256635665894
2020-03-30,1.0,0.8219392895698547,0.10941654443740845,1.0004727840423584
