,Alaska,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.008196450703000667,0.008196450703000667,0.008196450703000667
2020-01-26,0.0,0.012814217492317405,0.012814217492317405,0.012814217492317405
2020-01-27,0.0,0.01945069654539565,0.01945069654539565,0.01945069654539565
2020-01-28,0.0,0.028179514961450533,0.028179514961450533,0.028179514961450533
2020-01-29,0.0,0.029943708321700714,0.029943708321700714,0.029943708321700714
2020-01-30,0.0,0.03479816563658778,0.03479816563658778,0.03479816563658778
2020-01-31,0.0,0.04738304661358554,0.04738304661358554,0.04738304661358554
2020-02-01,0.0,0.059967927590583,0.059967927590583,0.059967927590583
2020-02-02,0.0,0.07255280856758002,0.07255280856758002,0.07255280856758002
2020-02-03,0.0,0.08513768954457648,0.08513768954457648,0.08513768954457648
2020-02-04,0.0,0.09772257052157221,0.09772257052157221,0.09772257052157221
2020-02-05,0.0,0.11030745149856712,0.11030745149856712,0.11030745149856712
2020-02-06,0.0,0.12289233247556106,0.12289233247556106,0.12289233247556106
2020-02-07,0.0,0.13547721345255387,0.13547721345255387,0.13547721345255387
2020-02-08,0.0,0.14806209442954538,0.14806209442954538,0.14806209442954538
2020-02-09,0.0,0.16064697540653555,0.16064697540653555,0.16064697540653555
2020-02-10,0.0,0.17323185638352426,0.17323185638352426,0.17323185638352426
2020-02-11,0.0,0.18581673736051127,0.18581673736051127,0.18581673736051127
2020-02-12,0.0,0.19840161833749648,0.19840161833749648,0.19840161833749648
2020-02-13,0.0,0.21098649931447971,0.21098649931447971,0.21098649931447971
2020-02-14,0.0,0.22357138029146084,0.22357138029146084,0.22357138029146084
2020-02-15,0.0,0.23615626126843972,0.23615626126843972,0.23615626126843972
2020-02-16,0.0,0.24874114224541613,0.24874114224541613,0.24874114224541613
2020-02-17,0.0,0.26132602322238996,0.26132602322238996,0.26132602322238996
2020-02-18,0.0,0.27391090419936126,0.27391090419936126,0.27391090419936126
2020-02-19,0.0,0.2864957851763298,0.2864957851763298,0.2864957851763298
2020-02-20,0.0,0.2990806661532955,0.2990806661532955,0.2990806661532955
2020-02-21,0.0,0.31166554713025796,0.31166554713025796,0.31166554713025796
2020-02-22,0.0,0.32425042810721716,0.32425042810721716,0.32425042810721716
2020-02-23,0.0,0.33683530908417286,0.33683530908417286,0.33683530908417286
2020-02-24,0.0,0.3494201900611248,0.3494201900611248,0.3494201900611248
2020-02-25,0.0,0.3620050710380729,0.3620050710380729,0.3620050710380729
2020-02-26,0.0,0.3745899520150172,0.3745899520150172,0.3745899520150172
2020-02-27,0.0,0.38717483299195765,0.38717483299195765,0.38717483299195765
2020-02-28,0.0,0.3997597139688936,0.3997597139688936,0.3997597139688936
2020-02-29,0.0,0.4123445949458254,0.4123445949458254,0.4123445949458254
2020-03-01,0.0,0.42492947592275326,0.42492947592275326,0.42492947592275326
2020-03-02,0.0,0.4375143568996767,0.4375143568996767,0.4375143568996767
2020-03-03,0.0,0.45009923787659584,0.45009923787659584,0.45009923787659584
2020-03-04,0.0,0.46268411885351024,0.46268411885351024,0.46268411885351024
2020-03-05,0.0,0.47526899983042004,0.47526899983042004,0.47526899983042004
2020-03-06,0.0,0.48785388080732484,0.48785388080732484,0.48785388080732484
2020-03-07,0.0,0.5004387617842242,0.5004387617842242,0.5004387617842242
2020-03-08,0.0,0.5130236427611182,0.5130236427611182,0.5130236427611182
2020-03-09,0.0,0.5256085237380068,0.5256085237380068,0.5256085237380068
2020-03-10,0.0,0.5381934047148899,0.5381934047148899,0.5381934047148899
2020-03-11,0.0,0.5507782856917672,0.5507782856917672,0.5507782856917672
2020-03-12,0.0,0.563363166668639,0.563363166668639,0.563363166668639
2020-03-13,1.0,1.5759480476455048,1.5759480476455048,1.5759480476455048
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,1.7476058749811614,1.7476058749811614,1.7476058749811614
2020-03-16,0.0,0.7834295472228773,0.7834295472228773,0.7834295472228773
2020-03-17,2.0,2.690398585604947,2.690398585604947,2.690398585604947
2020-03-18,2.0,0.0,0.0,0.0
2020-03-19,3.0,3.0536138161581006,3.0536138161581006,3.0536138161581006
2020-03-20,3.0,1.9756647287728377,1.9756647287728377,1.9756647287728377
2020-03-21,2.0,1.995902131916831,1.995902131916831,1.995902131916831
2020-03-22,5.0,6.264468954441638,6.264468954441638,6.264468954441638
2020-03-23,12.0,7.93681060954858,7.93681060954858,7.93681060954858
2020-03-24,4.0,0.0,0.0,0.0
2020-03-25,7.0,16.67126445642151,16.67126445642151,16.67126445642151
2020-03-26,15.0,12.788198016482893,12.788198016482893,12.788198016482893
2020-03-27,2.0,0.0,0.0,0.0
2020-03-28,27.0,41.998440644557306,41.998440644557306,41.998440644557306
2020-03-29,17.0,0.0,0.0,0.0
2020-03-30,12.0,21.201698643227388,21.201698643227388,21.201698643227388
2020-03-31,5.0,10.424045358483841,10.424045358483841,10.424045358483841
2020-04-01,13.0,28.25934618508876,28.25934618508876,28.25934618508876
2020-04-02,11.0,0.0,0.0,0.0
2020-04-03,14.0,15.613081977925223,15.613081977925223,15.613081977925223
2020-04-04,14.0,15.66759540108599,15.66759540108599,15.66759540108599
2020-04-05,14.0,17.376398653413684,17.376398653413684,17.376398653413684
2020-04-06,5.0,4.555984409071744,4.555984409071744,4.555984409071744
2020-04-07,23.0,36.434100526317124,36.434100526317124,36.434100526317124
2020-04-08,13.0,0.0,0.0,0.0
2020-04-09,9.0,20.041839592918205,20.041839592918205,20.041839592918205
