,Louisiana,forecast,interval_low,interval_high
2020-01-23,0.0,3.920743465423584,0.0955703854560852,12.687373161315918
2020-01-24,0.0,-0.19814571738243103,-0.3469507694244385,-0.04543846845626831
2020-01-25,0.0,1.0114957094192505,-0.06409710645675659,4.521402835845947
2020-01-26,0.0,-0.07104035466909409,-0.12252146005630493,-0.011337220668792725
2020-01-27,0.0,2.2939646244049072,-0.10614156723022461,11.118330955505371
2020-01-28,0.0,0.26787319779396057,-0.8057301044464111,2.1385679244995117
2020-01-29,0.0,3.1129932403564453,-0.011157333850860596,10.751376152038574
2020-01-30,0.0,1.7890275716781616,-0.40496891736984253,9.201117515563965
2020-01-31,0.0,-1.533738374710083,-7.920261383056641,0.26039350032806396
2020-02-01,0.0,-0.02475603297352791,-0.1627058982849121,0.09153476357460022
2020-02-02,0.0,97.8967514038086,-5.97672700881958,495.36126708984375
2020-02-03,0.0,-0.02893310785293579,-0.21066880226135254,0.19152331352233887
2020-02-04,0.0,0.4988316595554352,-0.01557004451751709,1.4116606712341309
2020-02-05,0.0,-0.23927712440490723,-0.3856356143951416,-0.10693299770355225
2020-02-06,0.0,1.380852222442627,0.11514034867286682,5.873769760131836
2020-02-07,0.0,-4.679037570953369,-14.028481483459473,-0.41735517978668213
2020-02-08,0.0,-0.0904385969042778,-0.5833975076675415,0.124004065990448
2020-02-09,0.0,24.36211585998535,0.025034993886947632,67.10551452636719
2020-02-10,0.0,-2.846482276916504,-8.918012619018555,0.11715266108512878
2020-02-11,0.0,0.029697667807340622,-0.4869839549064636,0.6062049865722656
2020-02-12,0.0,0.6844722032546997,-1.058689832687378,4.638397693634033
2020-02-13,0.0,0.5442171096801758,-0.14885014295578003,1.0481758117675781
2020-02-14,0.0,1.1136653423309326,-0.7420930862426758,6.473353385925293
2020-02-15,0.0,0.6408035159111023,-0.632658839225769,2.5492231845855713
2020-02-16,0.0,-0.1997801959514618,-0.6561322212219238,0.2137300968170166
2020-02-17,0.0,2.208287000656128,-0.09429097175598145,10.853063583374023
2020-02-18,0.0,-1.1414629220962524,-6.628617286682129,0.787775456905365
2020-02-19,0.0,-0.3739081025123596,-0.8153620958328247,0.5028339624404907
2020-02-20,0.0,-6.737809181213379,-36.269264221191406,1.0111840963363647
2020-02-21,0.0,-0.32250285148620605,-0.8779997825622559,0.1581680178642273
2020-02-22,0.0,0.4541630148887634,-0.3582056164741516,1.909287452697754
2020-02-23,0.0,-0.06251898407936096,-0.4911670684814453,0.2188187837600708
2020-02-24,0.0,2.3519797325134277,-0.275571346282959,11.47689151763916
2020-02-25,0.0,-0.5687931776046753,-1.0353206396102905,0.5097041726112366
2020-02-26,0.0,-1.2029197216033936,-6.317342281341553,0.6570729613304138
2020-02-27,0.0,1.2699873447418213,-0.4550418257713318,6.56900691986084
2020-02-28,0.0,0.06873756647109985,-0.18000322580337524,0.23699483275413513
2020-02-29,0.0,0.14704033732414246,-0.09876453876495361,0.6638935208320618
2020-03-01,0.0,0.019637495279312134,-0.0799403190612793,0.21108302474021912
2020-03-02,0.0,195.6692352294922,0.24219787120819092,977.1526489257812
2020-03-03,0.0,-0.43262529373168945,-0.8775849342346191,0.012143164873123169
2020-03-04,0.0,2.1360580921173096,-1.01217782497406,11.171051979064941
2020-03-05,0.0,0.3438277244567871,-3.5437307357788086,4.976694107055664
2020-03-06,0.0,-6.9275803565979,-15.318537712097168,-0.08137953281402588
2020-03-07,0.0,0.1359761506319046,-0.04548227787017822,0.4990752041339874
2020-03-08,0.0,-3.854297637939453,-18.44062042236328,0.013693124055862427
2020-03-09,0.0,0.6394046545028687,0.06351351737976074,1.379739761352539
2020-03-10,0.0,-0.011542504653334618,-0.1336270570755005,0.16137072443962097
2020-03-11,5.0,3.619515895843506,-10.288729667663574,13.067919731140137
2020-03-12,14.0,14.163981437683105,13.440089225769043,14.550954818725586
2020-03-13,10.0,10.44365119934082,8.663257598876953,13.772333145141602
2020-03-14,48.0,41.489402770996094,13.640278816223145,48.87053298950195
2020-03-15,10.0,9.785249710083008,9.375781059265137,10.007966041564941
2020-03-16,28.0,39.91889190673828,27.391138076782227,88.82273864746094
2020-03-17,81.0,80.57161712646484,77.97117614746094,82.09496307373047
2020-03-18,61.0,66.27787017822266,61.14427185058594,85.55807495117188
2020-03-19,135.0,133.29025268554688,125.16080474853516,135.79449462890625
2020-03-20,145.0,144.82835388183594,144.2382049560547,145.2934112548828
2020-03-21,226.0,225.46670532226562,225.09915161132812,225.82496643066406
2020-03-22,74.0,74.21443176269531,73.79871368408203,74.96421813964844
2020-03-23,335.0,292.56231689453125,228.74249267578125,334.8205871582031
2020-03-24,216.0,254.94564819335938,215.77098083496094,408.81842041015625
2020-03-25,407.0,407.2662658691406,406.7713623046875,407.6585998535156
2020-03-26,509.0,508.28338623046875,507.7687072753906,508.94989013671875
2020-03-27,440.0,441.00439453125,440.6630859375,441.7157287597656
2020-03-28,571.0,570.2734985351562,569.7655639648438,570.671630859375
2020-03-29,225.0,410.5338439941406,225.22044372558594,567.2601318359375
2020-03-30,485.0,485.0980529785156,484.99798583984375,485.3040771484375
2020-03-31,1212.0,916.6917114257812,471.4783020019531,1211.8741455078125
2020-04-01,1187.0,1490.5601806640625,1187.09326171875,2703.247314453125
2020-04-02,2725.0,2723.936767578125,2722.806884765625,2724.5703125
2020-04-03,1148.0,1357.1868896484375,1148.8861083984375,2188.67529296875
2020-04-04,2199.0,2198.070068359375,2196.7861328125,2199.1943359375
2020-04-05,514.0,812.4923706054688,514.5820922851562,2003.43896484375
