,New Jersey,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,28.806480407714844,28.806480407714844,28.806480407714844
2020-01-31,0.0,30.28439998626709,28.806480407714844,31.762319564819336
2020-02-01,0.0,29.406727472941082,27.651382446289062,31.762319564819336
2020-02-02,0.0,29.216885566711426,27.651382446289062,31.762319564819336
2020-02-03,0.0,28.46391716003418,25.452043533325195,31.762319564819336
2020-02-04,0.0,28.110426902770996,25.452043533325195,31.762319564819336
2020-02-05,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-06,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-07,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-08,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-09,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-10,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-11,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-12,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-13,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-14,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-15,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-16,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-17,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-18,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-19,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-20,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-21,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-22,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-23,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-24,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-25,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-26,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-27,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-28,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-02-29,0.0,28.800512858799525,25.452043533325195,32.9410285949707
2020-03-01,0.0,28.800513676234655,25.452043533325195,32.9410285949707
2020-03-02,0.0,28.800513676234655,25.452043533325195,32.9410285949707
2020-03-03,0.0,28.800512858799525,25.452043533325195,32.9410285949707
