,Texas,forecast,interval_low,interval_high
2020-03-30,3147.0,317814.25594577816,,
2020-03-31,3809.0,317818.1910110328,,
2020-04-01,4355.0,317661.37749153207,,
2020-04-02,5069.0,317903.76021384593,,
2020-04-03,5734.0,317795.461650921,,
2020-04-04,6567.0,317652.08550329704,,
2020-04-05,7209.0,317729.27826257906,,
2020-04-06,8043.0,317884.8168993036,,
2020-04-07,8925.0,317781.92571557255,,
2020-04-08,9777.0,317784.50995232834,,
2020-04-09,11208.0,317911.11554131657,,
2020-04-10,12105.0,317562.67207849096,,
2020-04-11,13023.0,317873.99808638974,,
2020-04-12,13677.0,317893.03305906657,,
2020-04-13,14275.0,317811.8369716679,,
2020-04-14,15006.0,318182.45774465404,,
2020-04-15,15907.0,318160.7313384261,,
2020-04-16,16876.0,317939.8365213217,,
2020-04-17,17849.0,317862.94511304947,,
2020-04-18,18704.0,317677.24606486975,,
2020-04-19,19260.0,317697.5812869063,,
2020-04-20,19751.0,317921.96487613255,,
2020-04-21,20664.0,318001.7800251675,,
2020-04-22,21321.0,317857.5777183669,,
2020-04-23,22650.0,318110.4334282642,,
2020-04-24,23642.0,317602.0411095931,,
2020-04-25,24153.0,317556.92924852023,,
2020-04-26,24967.0,317959.35081649845,,
2020-04-27,25412.0,317591.0262568629,,
2020-04-28,26357.0,318064.91665621754,,
2020-04-29,27369.0,318126.8973710593,,
2020-04-30,28727.0,317718.1670356772,,
2020-05-01,29692.0,317589.7370645325,,
2020-05-02,30917.0,317663.8614812856,,
2020-05-03,31998.0,317468.63186663983,,
2020-05-04,32783.0,317717.4152226356,,
2020-05-05,33912.0,318136.21853470313,,
2020-05-06,34928.0,317835.21625132015,,
2020-05-07,36036.0,317901.56474825786,,
2020-05-08,37246.0,318013.2004152093,,
2020-05-09,38394.0,317669.98739647056,,
2020-05-10,39258.0,317747.12872041686,,
2020-05-11,40555.0,317959.17067024036,,
2020-05-12,41668.0,317644.93476618396,,
2020-05-13,43020.0,317905.5991410512,,
2020-05-14,44480.0,317888.1987580326,,
2020-05-15,45721.0,317579.38385701715,,
2020-05-16,47452.0,317799.0034865406,,
2020-05-17,48396.0,317578.3324944751,,
2020-05-18,49177.0,317994.51018879167,,
2020-05-19,50552.0,318171.02034013066,,
2020-05-20,51859.0,317637.0337343587,,
2020-05-21,53053.0,318128.24110265035,,
2020-05-22,53539.0,318163.6148815045,,
2020-05-23,54776.0,317826.22133850906,,
2020-05-24,55861.0,317521.9710764091,,
2020-05-25,56409.0,318013.07446428965,,
2020-05-26,57230.0,318425.4597501432,,
2020-05-27,58542.0,317607.43324721063,,
2020-05-28,60395.0,317421.69467865507,,
2020-05-29,60901.0,317749.2527810154,,
2020-05-30,62894.0,318113.58188797295,,
2020-05-31,64652.0,316857.5115074594,,
2020-06-01,65593.0,317338.3368408409,,
2020-06-02,67310.0,318625.2029340204,,
2020-06-03,68877.0,317317.3059706781,,
2020-06-04,70555.0,317517.7617536025,,
2020-06-05,72548.0,318357.5791188541,,
2020-06-06,74470.0,317512.53968384827,,
2020-06-07,75408.0,317558.0175687262,,
2020-06-08,76463.0,318287.4407045234,,
2020-06-09,78208.0,317911.20491400507,,
2020-06-10,80777.0,317782.6498302132,,
2020-06-11,82658.0,317977.8165042005,,
2020-06-12,84927.0,317995.7593277722,,
2020-06-13,86915.0,317030.1407009292,,
2020-06-14,88523.0,317250.5860871291,,
2020-06-15,90211.0,318273.7731921963,,
2020-06-16,93569.0,318145.34166224295,,
2020-06-17,97699.0,317267.6050005181,,
2020-06-18,101259.0,317394.6389760917,,
2020-06-19,105394.0,317502.6492698478,,
2020-06-20,109581.0,316387.7361783608,,
2020-06-21,112944.0,316849.22081959294,,
2020-06-22,117790.0,318533.2792411791,,
2020-06-23,122932.0,317597.5185278669,,
2020-06-24,128132.0,317597.35877754533,,
2020-06-25,134558.0,318196.8984272775,,
2020-06-26,140173.0,316775.2684344115,,
2020-06-27,145894.0,317412.6162623545,,
2020-06-28,150722.0,318006.6641134454,,
2020-06-29,156706.0,318122.17602953553,,
2020-06-30,163060.0,318162.6559073119,,
2020-07-01,172368.0,318365.92963689496,,
2020-07-02,179137.0,316967.1598773726,,
2020-07-03,186799.0,317948.3354042816,,
2020-07-04,193958.0,316974.2117931863,,
2020-07-05,197421.0,316940.60481401737,,
2020-07-06,205642.0,320788.1385251517,,
2020-07-07,216026.0,317943.08653871244,,
2020-07-08,224929.0,316940.5371930244,,
2020-07-09,236541.0,319592.24999129697,,
2020-07-10,245920.0,314687.39070747985,,
2020-07-11,254415.0,315463.8988910345,,
2020-07-12,262762.0,319135.08545859007,,
2020-07-13,269778.0,318453.14160186355,,
2020-07-14,279577.0,320101.548141194,,
2020-07-15,290892.0,319232.8897614888,,
2020-07-16,305854.0,317559.4630716034,,
2020-07-17,317768.0,316082.58504796773,,
2020-07-18,327106.0,316578.85019850335,,
2020-07-19,,335861.67560149153,334566.0506972895,337157.30050569354
2020-07-20,,344397.6041232021,342034.9600563051,346760.2481900991
2020-07-21,,355823.95141013834,352342.81886821333,359305.08395206335
2020-07-22,,370128.4357650993,365536.2511278591,374720.6204023395
2020-07-23,,384126.4332707274,378711.36893766245,389541.49760379235
2020-07-24,,397088.2282926568,390831.43864115485,403345.0179441587
2020-07-25,,408082.45144994505,400702.8685183979,415462.0343814922
