,Missouri,forecast,interval_low,interval_high
2020-01-23,0.0,2.9842989444732666,-0.17900902032852173,15.00910472869873
2020-01-24,0.0,0.06659461557865143,-0.020190119743347168,0.26425260305404663
2020-01-25,0.0,-0.29171428084373474,-1.0250740051269531,-0.02770775556564331
2020-01-26,0.0,-0.3912469744682312,-2.0560555458068848,0.0528835654258728
2020-01-27,0.0,1.057607650756836,-0.002814352512359619,3.5662176609039307
2020-01-28,0.0,0.6032203435897827,-0.07177489995956421,1.9984484910964966
2020-01-29,0.0,0.5111314654350281,-0.005595982074737549,2.522665023803711
2020-01-30,0.0,0.1161523312330246,-0.02829432487487793,0.41603267192840576
2020-01-31,0.0,-0.8569877743721008,-4.2288665771484375,0.006298542022705078
2020-02-01,0.0,-0.036453522741794586,-0.17919570207595825,0.0159456729888916
2020-02-02,0.0,-0.4451800286769867,-2.0611672401428223,-0.004787623882293701
2020-02-03,0.0,0.018056828528642654,-0.05208712816238403,0.11670053005218506
2020-02-04,0.0,1.367872953414917,-0.06062209606170654,6.935770511627197
2020-02-05,0.0,-0.005421572830528021,-0.09919387102127075,0.05514949560165405
2020-02-06,0.0,0.12666015326976776,-0.024612724781036377,0.5242270231246948
2020-02-07,0.0,-0.2334786355495453,-0.67071533203125,0.05579027533531189
2020-02-08,0.0,0.07380183041095734,0.011720061302185059,0.24780941009521484
2020-02-09,0.0,-0.06234448030591011,-2.7145326137542725,2.8932626247406006
2020-02-10,0.0,0.2206697016954422,-0.028317391872406006,0.7453408241271973
2020-02-11,0.0,0.21756215393543243,-0.12661612033843994,0.6941813230514526
2020-02-12,0.0,0.34336501359939575,-0.29169225692749023,1.8905903100967407
2020-02-13,0.0,1.5960361957550049,0.011568039655685425,5.573463439941406
2020-02-14,0.0,-0.052494220435619354,-0.18125325441360474,0.06125432252883911
2020-02-15,0.0,-0.16310158371925354,-1.4884421825408936,0.6450527906417847
2020-02-16,0.0,2.0033750534057617,-0.02093827724456787,5.352802276611328
2020-02-17,0.0,-0.05025642365217209,-0.253393292427063,0.135367751121521
2020-02-18,0.0,0.06411769241094589,-0.06668847799301147,0.2591577470302582
2020-02-19,0.0,-0.2953639626502991,-0.771895170211792,0.00873062014579773
2020-02-20,0.0,0.07729052007198334,-0.0028458237648010254,0.1919240951538086
2020-02-21,0.0,0.0473080649971962,-0.2031461000442505,0.3959354758262634
2020-02-22,0.0,-0.10520945489406586,-0.28193485736846924,-0.01268702745437622
2020-02-23,0.0,0.24671868979930878,0.07831934094429016,0.6959195733070374
2020-02-24,0.0,0.47478190064430237,-0.13452041149139404,2.425764560699463
2020-02-25,0.0,-0.68285071849823,-3.20226788520813,-0.0307314395904541
2020-02-26,0.0,0.01571032404899597,-0.016006648540496826,0.05916067957878113
2020-02-27,0.0,0.009792310185730457,-0.04376095533370972,0.1355736255645752
2020-02-28,0.0,-0.7352800965309143,-4.435993671417236,1.1342633962631226
2020-02-29,0.0,-0.9155343770980835,-3.1836435794830322,-0.022118687629699707
2020-03-01,0.0,0.03774724155664444,0.004093080759048462,0.09891009330749512
2020-03-02,0.0,0.0010905027156695724,-0.09088236093521118,0.08742904663085938
2020-03-03,0.0,0.006371194031089544,-0.044991254806518555,0.08781436085700989
2020-03-04,0.0,0.0791834220290184,-0.037281334400177,0.23331597447395325
2020-03-05,0.0,-0.14897127449512482,-0.5231519937515259,-0.016882479190826416
2020-03-06,0.0,-0.02523781731724739,-0.1725754737854004,0.04034608602523804
2020-03-07,0.0,-0.45833954215049744,-3.2373006343841553,0.6137199401855469
2020-03-08,1.0,0.8049715161323547,0.5086642503738403,0.9283407330513
2020-03-09,0.0,-1.0050584077835083,-4.86557674407959,0.09116294980049133
2020-03-10,0.0,0.007815003395080566,-0.2140883207321167,0.10077208280563354
2020-03-11,0.0,0.015064865350723267,-0.1012650728225708,0.2285691201686859
2020-03-12,0.0,0.038803160190582275,-0.1359155774116516,0.21248045563697815
2020-03-13,3.0,2.9638097286224365,2.8403091430664062,3.027113437652588
2020-03-14,0.0,0.44866743683815,-0.496417760848999,2.6936655044555664
2020-03-15,1.0,-0.9138391613960266,-4.4523539543151855,1.077209711074829
2020-03-16,3.0,8.98351764678955,3.110731840133667,19.237470626831055
2020-03-17,6.0,5.984344005584717,5.828448295593262,6.057478904724121
2020-03-18,7.0,8.859642028808594,6.362524509429932,17.199018478393555
2020-03-19,21.0,21.209199905395508,20.99744415283203,21.741514205932617
2020-03-20,37.0,31.279582977294922,9.839224815368652,36.924015045166016
2020-03-21,10.0,10.176604270935059,9.998961448669434,10.550074577331543
2020-03-22,33.0,32.90300750732422,32.795982360839844,32.984127044677734
2020-03-23,103.0,92.49946594238281,50.43221664428711,103.28153991699219
2020-03-24,66.0,79.41444396972656,65.9831771850586,105.5207748413086
2020-03-25,91.0,107.60328674316406,90.81246185302734,173.84246826171875
2020-03-26,195.0,176.04103088378906,101.1331558227539,194.9273223876953
2020-03-27,167.0,157.74107360839844,120.06654357910156,167.32420349121094
2020-03-28,120.0,127.752197265625,119.88970947265625,158.58985900878906
2020-03-29,70.0,90.31049346923828,69.89054107666016,126.56834411621094
2020-03-30,355.0,354.94085693359375,354.6590270996094,355.0409240722656
2020-03-31,261.0,266.5848388671875,260.9923400878906,288.7406311035156
2020-04-01,253.0,252.87313842773438,252.679931640625,252.9766387939453
2020-04-02,200.0,200.03387451171875,199.9888916015625,200.1519012451172
2020-04-03,121.0,176.34642028808594,121.21551513671875,319.21795654296875
2020-04-04,348.0,312.1632080078125,169.63194274902344,347.997314453125
