,Connecticut,forecast,interval_low,interval_high
2020-03-09,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-03-10,1.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-03-11,3.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-03-12,5.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-03-13,11.0,792.9807739257812,467.5843505859375,1104.28125
2020-03-14,23.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-03-15,24.0,250.44200134277344,95.2320327758789,406.2865905761719
2020-03-16,41.0,328.2898864746094,157.52066040039062,513.509033203125
2020-03-17,68.0,330.9944763183594,152.5106658935547,515.5518188476562
2020-03-18,96.0,561.7178955078125,344.7347106933594,780.9140014648438
2020-03-19,159.0,658.0843505859375,339.00244140625,973.8468627929688
2020-03-20,194.0,793.1163940429688,467.7454833984375,1104.39501953125
2020-03-21,194.0,856.04736328125,413.1759033203125,1347.6361083984375
2020-03-22,327.0,275.6493835449219,128.14395141601562,426.3764953613281
2020-03-23,415.0,355.1876220703125,193.23365783691406,534.4281005859375
2020-03-24,618.0,364.4461364746094,198.01425170898438,541.0094604492188
2020-03-25,875.0,595.0045776367188,387.2882385253906,807.8775634765625
2020-03-26,1012.0,691.130859375,386.46923828125,997.2352905273438
2020-03-27,1291.0,830.6079711914062,518.7529296875,1132.7642822265625
2020-03-28,1524.0,893.6101684570312,470.8394775390625,1371.3399658203125
2020-03-29,1993.0,584.7081298828125,540.2503051757812,667.233642578125
2020-03-30,2571.0,691.1957397460938,629.0941162109375,791.3467407226562
2020-03-31,3128.0,768.9755859375,695.8729248046875,839.8593139648438
2020-04-01,3557.0,984.9623413085938,904.984619140625,1116.5059814453125
2020-04-02,3824.0,1112.82958984375,1013.1788940429688,1288.177978515625
2020-04-03,4914.0,1284.4500732421875,1163.0308837890625,1464.657958984375
2020-04-04,5276.0,1391.794921875,1238.084716796875,1678.6619873046875
2020-04-05,5675.0,2416.508056640625,2135.01513671875,2962.552978515625
2020-04-06,6906.0,2684.6025390625,2366.486572265625,3298.981201171875
2020-04-07,7781.0,3105.462158203125,2628.945068359375,3977.7119140625
2020-04-08,7781.0,3246.155517578125,2945.356689453125,3845.554443359375
2020-04-09,9784.0,3586.431640625,3072.5927734375,4556.93310546875
2020-04-10,10538.0,3905.0703125,3442.79150390625,4777.89013671875
2020-04-11,11510.0,4295.56884765625,3579.999267578125,5659.1572265625
2020-04-12,12035.0,7012.0859375,6213.46875,8359.419921875
2020-04-13,13381.0,7610.80322265625,6713.7080078125,9072.76953125
2020-04-14,13989.0,8528.9111328125,7373.07763671875,10411.9150390625
2020-04-15,14755.0,8667.4638671875,7733.7236328125,10219.2021484375
2020-04-16,15884.0,9436.859375,8000.22900390625,11714.1376953125
2020-04-17,16809.0,9998.1142578125,8657.7373046875,12111.0224609375
2020-04-18,17550.0,10902.271484375,8856.3994140625,13994.857421875
2020-04-19,17962.0,13886.6513671875,13171.48046875,15043.095703125
2020-04-20,19815.0,14733.1435546875,13917.3349609375,15945.8984375
2020-04-21,20360.0,15870.33203125,14966.791015625,17227.20703125
2020-04-22,22469.0,16310.9951171875,15389.1689453125,17714.619140625
2020-04-23,23100.0,17237.267578125,15999.7509765625,18954.740234375
2020-04-24,23936.0,18068.109375,16852.109375,19724.681640625
2020-04-25,24583.0,19031.9375,17230.4140625,21232.603515625
2020-04-26,25269.0,20875.826171875,20687.880859375,21196.677734375
2020-04-27,25997.0,21727.609375,21498.7578125,22074.818359375
2020-04-28,26312.0,22759.412109375,22649.998046875,22943.3671875
2020-04-29,26767.0,23468.677734375,23107.2109375,24006.259765625
2020-04-30,27700.0,24403.244140625,24095.46484375,24706.56640625
2020-05-01,28764.0,25296.154296875,24872.044921875,25704.755859375
2020-05-02,29287.0,26138.626953125,25512.052734375,26473.931640625
2020-05-03,29287.0,28028.068359375,27576.37890625,28472.89453125
2020-05-04,29973.0,28772.0546875,28364.228515625,29120.681640625
2020-05-05,30621.0,29506.369140625,28781.87890625,30075.326171875
