,New York,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,1.0,0.14760651638891353,0.14760651638891353,0.14760651638891353
2020-03-03,1.0,0.0,0.0,0.0
2020-03-04,9.0,7.84174084169825,7.84174084169825,7.84174084169825
2020-03-05,12.0,2.774901320369656,2.774901320369656,2.774901320369656
2020-03-06,8.0,1.5625984184241926,1.5625984184241926,1.5625984184241926
2020-03-07,45.0,46.45979092783946,46.45979092783946,46.45979092783946
2020-03-08,30.0,0.0,0.0,0.0
2020-03-09,36.0,40.946948850053126,40.946948850053126,40.946948850053126
2020-03-10,8.0,2.7030808605206076,2.7030808605206076,2.7030808605206076
2020-03-11,70.0,98.98757966035048,98.98757966035048,98.98757966035048
2020-03-12,107.0,57.662682339908706,57.662682339908706,57.662682339908706
2020-03-13,94.0,43.36497985522771,43.36497985522771,43.36497985522771
2020-03-14,192.0,197.82243208444697,197.82243208444697,197.82243208444697
2020-03-15,2.0,0.0,0.0,0.0
2020-03-16,352.0,526.0601338823017,526.0601338823017,526.0601338823017
2020-03-17,611.0,303.47456509880726,303.47456509880726,303.47456509880726
2020-03-18,1460.0,1123.991093747542,1123.991093747542,1123.991093747542
2020-03-19,2666.0,1709.0190918718986,1709.0190918718986,1709.0190918718986
2020-03-20,2699.0,1149.9845679648515,1149.9845679648515,1149.9845679648515
2020-03-21,3324.0,2859.0950408609892,2859.0950408609892,2859.0950408609892
2020-03-22,4073.0,3274.181483878215,3274.181483878215,3274.181483878215
2020-03-23,5084.0,4286.054281161927,4286.054281161927,4286.054281161927
2020-03-24,4797.0,3851.0589051388442,3851.0589051388442,3851.0589051388442
2020-03-25,5160.0,5565.12234748934,5565.12234748934,5565.12234748934
2020-03-26,7036.0,7331.402505817611,7331.402505817611,7331.402505817611
2020-03-27,6999.0,5624.922422776416,5624.922422776416,5624.922422776416
2020-03-28,7534.0,7764.309208462695,7764.309208462695,7764.309208462695
2020-03-29,7238.0,7210.774197690508,7210.774197690508,7210.774197690508
2020-03-30,7015.0,7900.197095765224,7900.197095765224,7900.197095765224
2020-03-31,9170.0,10221.808757807368,10221.808757807368,10221.808757807368
2020-04-01,8115.0,6724.0723400325505,6724.0723400325505,6724.0723400325505
2020-04-02,8558.0,10059.357530987016,10059.357530987016,10059.357530987016
2020-04-03,10481.0,10833.778882555425,10833.778882555425,10833.778882555425
2020-04-04,10846.0,9400.276195237711,9400.276195237711,9400.276195237711
2020-04-05,9327.0,9019.388860791765,9019.388860791765,9019.388860791765
2020-04-06,8655.0,10255.365784689047,10255.365784689047,10255.365784689047
2020-04-07,8060.0,9866.767741948177,9866.767741948177,9866.767741948177
2020-04-08,11186.0,12789.670671909089,12789.670671909089,12789.670671909089
2020-04-09,10718.0,8509.474634336337,8509.474634336337,8509.474634336337
2020-04-10,10569.0,10956.493311569591,10956.493311569591,10956.493311569591
2020-04-11,8678.0,9104.654793039672,9104.654793039672,9104.654793039672
2020-04-12,8007.0,9859.782556665026,9859.782556665026,9859.782556665026
2020-04-13,6716.0,8191.388260895996,8191.388260895996,8191.388260895996
2020-04-14,7271.0,9121.436868293267,9121.436868293267,9121.436868293267
2020-04-15,11434.0,12120.977009273776,12120.977009273776,12120.977009273776
2020-04-16,9237.0,5151.517154497331,5151.517154497331,5151.517154497331
2020-04-17,6906.0,7828.786234523977,7828.786234523977,7828.786234523977
2020-04-18,6877.0,8759.57391998029,8759.57391998029,8759.57391998029
2020-04-19,5908.0,6126.857792936445,6126.857792936445,6126.857792936445
2020-04-20,5034.0,6228.702865029723,6228.702865029723,6228.702865029723
2020-04-21,5103.0,6282.5531739160515,6282.5531739160515,6282.5531739160515
2020-04-22,4703.0,5456.6931160943805,5456.6931160943805,5456.6931160943805
2020-04-23,5238.0,5530.671658051683,5530.671658051683,5530.671658051683
