,Massachusetts,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,3.917788505554199,3.917788505554199,3.917788505554199
2020-01-31,0.0,3.360318422317505,2.8028483390808105,3.917788505554199
2020-02-01,0.0,3.3107484181722007,2.8028483390808105,3.917788505554199
2020-02-02,0.0,3.3935213685035706,2.8028483390808105,3.917788505554199
2020-02-03,0.0,3.975932264328003,2.8028483390808105,6.305575847625732
2020-02-04,0.0,4.3231726090113325,2.8028483390808105,6.305575847625732
2020-02-05,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-06,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-07,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-08,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-09,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-10,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-11,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-12,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-13,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-14,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-15,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-16,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-17,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-18,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-19,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-20,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-21,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-22,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-23,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-24,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-25,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-26,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-27,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-28,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
2020-02-29,0.0,4.90906548500061,2.8028483390808105,8.42442798614502
2020-03-01,0.0,4.90906548500061,2.8028483390808105,8.42442798614502
2020-03-02,0.0,4.909066234316144,2.8028483390808105,8.42442798614502
