,Arkansas,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,31766.049744312513,,
2020-01-25,0.0,31768.107507958353,,
2020-01-26,0.0,31769.584759471152,,
2020-01-27,0.0,31769.986718269858,,
2020-01-28,0.0,31772.08859403614,,
2020-01-29,0.0,31775.336102081597,,
2020-01-30,0.0,31778.34717744136,,
2020-01-31,0.0,31778.34717744136,,
2020-02-01,0.0,31778.34717744136,,
2020-02-02,0.0,31778.34717744136,,
2020-02-03,0.0,31778.34717744136,,
2020-02-04,0.0,31778.34717744136,,
2020-02-05,0.0,31778.34717744136,,
2020-02-06,0.0,31778.34717744136,,
2020-02-07,0.0,31778.34717744136,,
2020-02-08,0.0,31778.34717744136,,
2020-02-09,0.0,31778.34717744136,,
2020-02-10,0.0,31778.34717744136,,
2020-02-11,0.0,31778.34717744136,,
2020-02-12,0.0,31778.34717744136,,
2020-02-13,0.0,31778.34717744136,,
2020-02-14,0.0,31778.34717744136,,
2020-02-15,0.0,31778.34717744136,,
2020-02-16,0.0,31778.34717744136,,
2020-02-17,0.0,31778.34717744136,,
2020-02-18,0.0,31778.34717744136,,
2020-02-19,0.0,31778.34717744136,,
2020-02-20,0.0,31778.34717744136,,
2020-02-21,0.0,31778.34717744136,,
2020-02-22,0.0,31778.34717744136,,
2020-02-23,0.0,31778.34717744136,,
2020-02-24,0.0,31778.34717744136,,
2020-02-25,0.0,31778.34717744136,,
2020-02-26,0.0,31778.34717744136,,
2020-02-27,0.0,31778.34717744136,,
2020-02-28,0.0,31778.34717744136,,
2020-02-29,0.0,31778.34717744136,,
2020-03-01,0.0,31778.34717744136,,
2020-03-02,0.0,31778.34717744136,,
2020-03-03,0.0,31778.34717744136,,
2020-03-04,0.0,31778.34717744136,,
2020-03-05,0.0,31778.34717744136,,
2020-03-06,0.0,31778.34717744136,,
2020-03-07,0.0,31778.34717744136,,
2020-03-08,0.0,31778.34717744136,,
2020-03-09,0.0,31778.34717744136,,
2020-03-10,0.0,31778.34717744136,,
2020-03-11,0.0,31778.34717744136,,
2020-03-12,0.0,31778.34717744136,,
2020-03-13,9.0,31778.34717744136,,
2020-03-14,12.0,31771.010529922096,,
2020-03-15,3.0,31778.49886533828,,
2020-03-16,3.0,31787.600042537983,,
2020-03-17,3.0,31774.662629975235,,
2020-03-18,4.0,31777.538058042603,,
2020-03-19,62.0,31781.583475506002,,
2020-03-20,100.0,31733.457968828006,,
2020-03-21,122.0,31762.52819768558,,
2020-03-22,165.0,31775.95719743213,,
2020-03-23,192.0,31744.89480923996,,
2020-03-24,219.0,31770.151805282603,,
2020-03-25,280.0,31784.200093279156,,
2020-03-26,335.0,31757.57583453915,,
2020-03-27,381.0,31767.779559337658,,
2020-03-28,409.0,31777.998690026143,,
2020-03-29,426.0,31784.465291943914,,
