,Vermont,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-02-03,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
2020-02-04,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-02-05,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-02-06,0.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-02-07,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-02-08,0.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-02-09,0.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-02-10,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
2020-02-11,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-02-12,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-02-13,0.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-02-14,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-02-15,0.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-02-16,0.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-02-17,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
2020-02-18,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-02-19,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-02-20,0.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-02-21,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-02-22,0.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-02-23,0.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-02-24,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
2020-02-25,0.0,0.7140868306159973,0.3301769495010376,0.9221298098564148
2020-02-26,0.0,0.7908854484558105,0.18344075977802277,1.1565799713134766
2020-02-27,0.0,0.684714138507843,0.41612881422042847,0.9119657278060913
2020-02-28,0.0,1.3538564443588257,1.0927023887634277,1.5987884998321533
2020-02-29,0.0,1.2255057096481323,0.9211398363113403,1.4892845153808594
2020-03-01,0.0,0.4335801601409912,0.2557471692562103,0.5716118812561035
2020-03-02,0.0,0.35837307572364807,0.34344208240509033,0.3714069724082947
