,Hawaii,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,20.124455085938028,,
2020-01-25,0.0,20.197843293679526,,
2020-01-26,0.0,20.257877849505206,,
2020-01-27,0.0,20.32755753675958,,
2020-01-28,0.0,20.31798126311493,,
2020-01-29,0.0,20.417434198609232,,
2020-01-30,0.0,20.48103490432248,,
2020-01-31,0.0,20.437469545901838,,
2020-02-01,0.0,20.461214983119845,,
2020-02-02,0.0,20.446166774237668,,
2020-02-03,0.0,20.454926494923356,,
2020-02-04,0.0,20.44954982555237,,
2020-02-05,0.0,20.45274864456718,,
2020-02-06,0.0,20.450808961747292,,
2020-02-07,0.0,20.451971844147373,,
2020-02-08,0.0,20.451269860130648,,
2020-02-09,0.0,20.451691873106938,,
2020-02-10,0.0,20.451437538318995,,
2020-02-11,0.0,20.45159058901564,,
2020-02-12,0.0,20.451498404765847,,
2020-02-13,0.0,20.451553898287006,,
2020-02-14,0.0,20.451520481100385,,
2020-02-15,0.0,20.45154060035891,,
2020-02-16,0.0,20.45152848585731,,
2020-02-17,0.0,20.451535779897117,,
2020-02-18,0.0,20.45153138802815,,
2020-02-19,0.0,20.451534032380845,,
2020-02-20,0.0,20.451532440186224,,
2020-02-21,0.0,20.45153339885559,,
2020-02-22,0.0,20.451532821632096,,
2020-02-23,0.0,20.4515331691824,,
2020-02-24,0.0,20.4515329599195,,
2020-02-25,0.0,20.45153308591826,,
2020-02-26,0.0,20.451533010053407,,
2020-02-27,0.0,20.451533055732217,,
2020-02-28,0.0,20.45153302822865,,
2020-02-29,0.0,20.45153304478876,,
2020-03-01,0.0,20.45153303481779,,
2020-03-02,0.0,20.45153304082139,,
2020-03-03,0.0,20.451533037206573,,
2020-03-04,0.0,20.45153303938308,,
2020-03-05,0.0,20.45153303807259,,
2020-03-06,0.0,20.451533038861648,,
2020-03-07,1.0,20.45153303838655,,
2020-03-08,0.0,19.591810760355717,,
2020-03-09,0.0,20.736302344531435,,
2020-03-10,2.0,20.578475329529272,,
2020-03-11,-1.0,18.89567664020582,,
2020-03-12,0.0,21.760647030023254,,
2020-03-13,0.0,20.734855066050955,,
2020-03-14,2.0,20.79653780022682,,
2020-03-15,2.0,18.241038941164657,,
2020-03-16,2.0,20.102671776010613,,
2020-03-17,2.0,19.499245203659644,,
2020-03-18,5.0,19.582609410707164,,
2020-03-19,10.0,17.24390700444088,,
2020-03-20,11.0,14.138548771961698,,
2020-03-21,0.0,15.547332457649581,,
2020-03-22,17.0,26.13524556699862,,
2020-03-23,3.0,9.140101818779225,,
2020-03-24,34.0,25.025153226363145,,
2020-03-25,1.0,-3.3082975621696846,,
2020-03-26,4.0,36.955660688949635,,
2020-03-27,11.0,21.01379838893931,,
2020-03-28,43.0,22.230424148918292,,
2020-03-29,0.0,-13.048815865857968,,
2020-03-30,26.0,44.05485273661188,,
2020-03-31,29.0,10.868428813045039,,
2020-04-01,20.0,6.619052978693624,,
2020-04-02,32.0,15.656261101306079,,
2020-04-03,63.0,20.138173614709224,,
2020-04-04,32.0,-14.248362954865541,,
2020-04-05,20.0,19.17232534605973,,
2020-04-06,16.0,38.3194003225193,,
2020-04-07,23.0,29.779620075982734,,
2020-04-08,0.0,18.039079263319444,,
2020-04-09,32.0,51.35419618549737,,
2020-04-10,0.0,13.383321313205794,,
2020-04-11,23.0,37.95335270753053,,
2020-04-12,34.0,9.739925941579973,,
2020-04-13,5.0,10.901257470378756,,
2020-04-14,7.0,27.83695988350552,,
2020-04-15,13.0,32.22819001814588,,
2020-04-16,6.0,20.395625938515153,,
2020-04-17,11.0,20.415236435416098,,
2020-04-18,33.0,30.974775548897846,,
2020-04-19,6.0,0.5059555373332145,,
2020-04-20,4.0,27.421648409431686,,
2020-04-21,2.0,29.258247888928665,,
2020-04-22,6.0,27.763606124969396,,
2020-04-23,4.0,17.008371958204325,,
2020-04-24,5.0,30.770623337460506,,
2020-04-25,4.0,23.663857879323857,,
2020-04-26,1.0,19.47574586096738,,
2020-04-27,1.0,23.38960387652225,,
2020-04-28,2.0,22.01613078310973,,
2020-04-29,4.0,21.67860222607947,,
2020-04-30,5.0,18.805047232486658,,
2020-05-01,1.0,19.66520581209338,,
2020-05-02,1.0,22.130586736213075,,
2020-05-03,0.0,21.332592268200568,,
2020-05-04,1.0,21.91776487797181,,
2020-05-05,4.0,20.774535995653274,,
2020-05-06,1.0,19.348812179894537,,
2020-05-07,3.0,21.5126685155543,,
2020-05-08,0.0,19.01003207323855,,
2020-05-09,2.0,22.191639856096582,,
