,Delaware,forecast,interval_low,interval_high
2020-03-26,11.0,243.0591483002222,,
2020-03-27,33.0,232.71192270606076,,
2020-03-28,51.0,186.63428342535423,,
2020-03-29,18.0,181.1828987519983,,
2020-03-30,32.0,266.7491842824146,,
2020-03-31,55.0,200.8338672789373,,
2020-04-01,49.0,180.7306050246981,,
2020-04-02,25.0,222.56386718502128,,
2020-04-03,57.0,260.59477551045984,,
2020-04-04,143.0,171.1527119481611,,
2020-04-05,80.0,53.06239905418522,,
2020-04-06,110.0,275.1283680571082,,
2020-04-07,145.0,157.61402601808737,,
2020-04-08,188.0,135.95310671946703,,
2020-04-09,93.0,123.06245778397403,,
2020-04-10,117.0,357.5327746202939,,
2020-04-11,153.0,206.0433522339403,,
2020-04-12,146.0,181.4850538728353,,
2020-04-13,133.0,232.07377831410224,,
2020-04-14,168.0,242.30726952501388,,
2020-04-15,88.0,149.59149831332272,,
2020-04-16,56.0,371.3608101419186,,
2020-04-17,247.0,330.3780460103677,,
2020-04-18,221.0,-81.44027638314174,,
2020-04-19,0.0,180.7562320996165,,
2020-04-20,207.0,589.2663527661541,,
2020-04-21,186.0,-70.46274377966904,,
2020-04-22,269.0,235.93401968820842,,
2020-04-23,108.0,66.36378039386426,,
2020-04-24,134.0,421.3428275465188,,
2020-04-25,134.0,233.23683202594844,,
2020-04-26,458.0,288.22480893382505,,
2020-04-27,128.0,-368.6144159916247,,
2020-04-28,413.0,646.6426478843428,,
2020-04-29,80.0,-277.2918017615262,,
2020-04-30,79.0,739.4578598496323,,
2020-05-01,184.0,403.7758913823258,,
2020-05-02,120.0,163.16132452645556,,
2020-05-03,170.0,332.7707256808511,,
2020-05-04,80.0,198.6793567639325,,
2020-05-05,83.0,301.777595524688,,
2020-05-06,407.0,314.81540064308126,,
2020-05-07,161.0,-383.5602754018969,,
2020-05-08,172.0,502.7563895165428,,
2020-05-09,166.0,210.31277627165696,,
2020-05-10,0.0,243.2384331703223,,
2020-05-11,288.0,611.7933377464813,,
2020-05-12,176.0,-163.77487989467102,,
2020-05-13,211.0,293.64293022878746,,
2020-05-14,271.0,168.74318807433292,,
2020-05-15,150.0,37.93401931898606,,
2020-05-16,174.0,415.91141977407335,,
2020-05-17,123.0,252.4634157657288,,
2020-05-18,199.0,329.3358770908832,,
2020-05-19,168.0,162.78451946073204,,
2020-05-20,157.0,252.39907967025616,,
2020-05-21,192.0,243.89413631618442,,
2020-05-22,143.0,163.49050729496048,,
2020-05-23,0.0,301.05665303266375,,
2020-05-24,280.0,533.4137701131383,,
2020-05-25,156.0,-200.63515666011017,,
2020-05-26,101.0,358.4086219831006,,
2020-05-27,30.0,324.8215805999919,,
2020-05-28,75.0,375.3118916346288,,
2020-05-29,65.0,235.89909567631688,,
2020-05-30,186.0,305.0855477132163,,
2020-05-31,76.0,-19.415613020824225,,
2020-06-01,107.0,355.5513971114987,,
2020-06-02,80.0,163.57333258737293,,
2020-06-03,27.0,282.98977877314115,,
2020-06-04,34.0,349.44457527739957,,
2020-06-05,27.0,277.19958051796215,,
2020-06-06,72.0,250.10654672963875,,
2020-06-07,97.0,174.86763010629647,,
2020-06-08,30.0,134.9114746363336,,
2020-06-09,48.0,315.8602190619786,,
2020-06-10,36.0,203.72203131473174,,
2020-06-11,50.0,258.39726116588986,,
2020-06-12,67.0,219.25692487922834,,
2020-06-13,56.0,185.8691250482317,,
2020-06-14,35.0,221.6736573875414,,
2020-06-15,76.0,261.9615781795945,,
2020-06-16,63.0,153.62677551773072,,
2020-06-17,41.0,235.65456154510696,,
2020-06-18,55.0,259.1246665288102,,
2020-06-19,112.0,205.84982617767184,,
2020-06-20,70.0,114.66657281061906,,
2020-06-21,94.0,267.2692573957148,,
2020-06-22,45.0,169.19869856515015,,
2020-06-23,27.0,301.2011706347782,,
2020-06-24,42.0,291.3157450469157,,
2020-06-25,91.0,232.40574213401743,,
2020-06-26,37.0,138.3424397855331,,
2020-06-27,74.0,298.3152498636448,,
2020-06-28,135.0,152.70851685503675,,
2020-06-29,150.0,91.97691602779878,,
2020-06-30,98.0,143.20240007301845,,
2020-07-01,36.0,273.71505582675485,,
2020-07-02,221.0,339.5991688083185,,
2020-07-03,192.0,-61.5083601991322,,
2020-07-04,73.0,195.07999337645532,,
2020-07-05,132.0,401.6667566751264,,
2020-07-06,165.0,144.86675289022423,,
2020-07-07,121.0,177.3801890193723,,
2020-07-08,48.0,311.8636483320805,,
2020-07-09,69.0,355.5617858809038,,
2020-07-10,121.0,243.50766554073383,,
2020-07-11,91.0,165.75937673034394,,
2020-07-12,61.0,261.7314569784147,,
2020-07-13,75.0,269.75822762764346,,
2020-07-14,90.0,209.9569870321292,,
2020-07-15,81.0,210.4740043301709,,
2020-07-16,64.0,236.00407728911392,,
2020-07-17,223.0,248.30255066181303,,
2020-07-18,92.0,-72.5898288373815,,
2020-07-19,,107.74960517769051,-7.321560045713326,222.82077040109436
2020-07-20,,109.09260678630108,-6.282225924533563,224.46743949713573
2020-07-21,,109.03520436525756,-8.407414488084868,226.47782321859998
2020-07-22,,134.6128683466831,14.706125320173172,254.51961137319302
2020-07-23,,126.19884692831513,3.145350988611824,249.25234286801845
2020-07-24,,96.97368838591825,-34.30510984767221,228.25248661950872
2020-07-25,,128.14902429974268,-8.206324284773132,264.5043728842585
