,Wisconsin,forecast,interval_low,interval_high
2020-02-16,0.0,-0.08826015144586563,-0.5892249345779419,0.3813919425010681
2020-02-17,0.0,-0.18870583176612854,-0.7404372692108154,0.11563488841056824
2020-02-18,0.0,0.31785568594932556,-0.3320281505584717,1.4103503227233887
2020-02-19,0.0,0.6391671895980835,-0.2914069890975952,2.39697265625
2020-02-20,0.0,0.5906738042831421,-0.32182198762893677,2.64980411529541
2020-02-21,0.0,3.3748512268066406,-1.9713571071624756,17.73520278930664
2020-02-22,0.0,-3.990805149078369,-8.820423126220703,-0.28930431604385376
2020-02-23,0.0,1.1642749309539795,0.07487496733665466,2.52683162689209
2020-02-24,0.0,-0.09613855183124542,-0.4589729309082031,0.1273464560508728
2020-02-25,0.0,0.5817505121231079,-0.50816810131073,3.005514144897461
2020-02-26,0.0,-0.49813923239707947,-2.547785997390747,0.47644373774528503
2020-02-27,0.0,-0.1127227321267128,-0.8342288732528687,1.2143927812576294
2020-02-28,0.0,0.04321075603365898,-0.43835151195526123,0.3653220534324646
2020-02-29,0.0,-6.051842212677002,-26.067644119262695,0.6651649475097656
2020-03-01,0.0,20.28624153137207,-0.12322831153869629,101.10247039794922
2020-03-02,0.0,-2.423269748687744,-12.230424880981445,0.11739951372146606
2020-03-03,0.0,0.031969815492630005,-0.12530434131622314,0.2824649512767792
2020-03-04,0.0,-0.10828161239624023,-1.622567892074585,0.5051723718643188
2020-03-05,0.0,-1.5733299255371094,-5.041493892669678,-0.1943514347076416
2020-03-06,0.0,1.3317372798919678,-0.3856567144393921,5.941765308380127
2020-03-07,0.0,0.2586665451526642,-0.7210359573364258,1.7482562065124512
2020-03-08,0.0,-0.0937826931476593,-0.7391586303710938,0.612435519695282
2020-03-09,0.0,-6.741294860839844,-13.590518951416016,0.45759016275405884
2020-03-10,3.0,2.611441135406494,-0.37097179889678955,3.775526762008667
2020-03-11,4.0,3.95051646232605,3.422606945037842,4.754534721374512
2020-03-12,8.0,14.139201164245605,1.253458023071289,47.473854064941406
2020-03-13,19.0,20.698684692382812,18.702775955200195,27.677213668823242
2020-03-14,27.0,26.626516342163086,20.059709548950195,30.903697967529297
2020-03-15,28.0,27.866409301757812,27.592622756958008,28.139917373657227
2020-03-16,48.0,47.85188293457031,46.24299621582031,48.52599334716797
2020-03-17,73.0,81.67378234863281,72.5932388305664,116.46398162841797
2020-03-18,111.0,104.20860290527344,76.02803802490234,111.70368194580078
2020-03-19,159.0,181.5773468017578,156.15025329589844,217.86952209472656
2020-03-20,219.0,246.53921508789062,218.5232696533203,300.37872314453125
2020-03-21,282.0,281.9385681152344,278.8177490234375,285.31378173828125
2020-03-22,381.0,392.4356994628906,379.9073486328125,439.1956481933594
2020-03-23,425.0,435.844970703125,424.2998352050781,477.85443115234375
2020-03-24,481.0,508.8164978027344,479.0073547363281,619.9550170898438
2020-03-25,621.0,615.365234375,475.11688232421875,742.2906494140625
2020-03-26,728.0,835.5078125,728.199462890625,1073.4014892578125
2020-03-27,926.0,980.8670043945312,924.48828125,1072.6109619140625
2020-03-28,1055.0,1054.888671875,1054.0775146484375,1055.532470703125
2020-03-29,1164.0,1196.91015625,1163.4842529296875,1328.970947265625
2020-03-30,1230.0,1230.006591796875,1229.5264892578125,1230.3524169921875
2020-03-31,1412.0,1376.3536376953125,1233.09130859375,1412.421630859375
2020-04-01,1556.0,1555.871337890625,1555.4761962890625,1556.5224609375
2020-04-02,1748.0,1748.500732421875,1747.73095703125,1749.2628173828125
2020-04-03,2012.0,2011.8411865234375,2010.683349609375,2012.8675537109375
2020-04-04,2030.0,2107.183837890625,2027.1839599609375,2419.607666015625
2020-04-05,2320.0,2259.644287109375,2015.0516357421875,2321.640380859375
2020-04-06,2449.0,2438.390380859375,2268.581298828125,2574.974853515625
2020-04-07,2578.0,2577.67529296875,2574.36669921875,2580.0615234375
2020-04-08,2710.0,2678.73779296875,2558.865478515625,2713.5654296875
2020-04-09,2886.0,2916.67236328125,2883.40478515625,3035.45703125
2020-04-10,3068.0,3092.04052734375,3065.487060546875,3190.376220703125
2020-04-11,3213.0,3253.306640625,3210.443603515625,3415.840576171875
2020-04-12,3341.0,3365.06640625,3323.5888671875,3479.040283203125
2020-04-13,3428.0,3428.55419921875,3425.608642578125,3432.600830078125
2020-04-14,3555.0,3610.72216796875,3553.219970703125,3729.960205078125
2020-04-15,3721.0,3719.9921875,3717.2451171875,3721.501220703125
2020-04-16,3875.0,3926.244873046875,3872.644775390625,4129.59326171875
2020-04-17,4053.0,4052.981689453125,4048.671142578125,4056.34716796875
2020-04-18,4199.0,4215.0146484375,4197.24365234375,4274.3095703125
2020-04-19,4346.0,4345.599609375,4344.55810546875,4346.29150390625
2020-04-20,4499.0,4516.6689453125,4496.84619140625,4592.18505859375
2020-04-21,4625.0,4756.380859375,4624.30712890625,5022.13916015625
2020-04-22,4845.0,4845.11962890625,4839.88134765625,4847.19970703125
2020-04-23,5052.0,5111.22265625,5048.5380859375,5351.0537109375
2020-04-24,5356.0,5356.41650390625,5355.85498046875,5357.61572265625
2020-04-25,5687.0,5686.9638671875,5683.40625,5689.16748046875
2020-04-26,5912.0,5905.88720703125,5686.22998046875,6108.39306640625
2020-04-27,6081.0,6185.60009765625,6081.1943359375,6601.83154296875
2020-04-28,6289.0,6426.1650390625,6286.47509765625,6655.9453125
2020-04-29,6520.0,6520.57666015625,6519.578125,6522.92822265625
2020-04-30,6854.0,6780.0791015625,6486.099609375,6854.021484375
2020-05-01,7314.0,7443.6865234375,7311.4482421875,7654.75537109375
2020-05-02,7660.0,7701.54931640625,7340.53369140625,8184.83154296875
2020-05-03,7964.0,7985.90234375,7963.87451171875,8072.83251953125
2020-05-04,8236.0,8271.263671875,7780.30810546875,8730.7548828125
2020-05-05,8566.0,8726.205078125,8563.2265625,9050.908203125
2020-05-06,8901.0,8941.330078125,8754.6767578125,9249.5234375
2020-05-07,9215.0,9214.9775390625,9212.048828125,9216.802734375
2020-05-08,9590.0,9512.2763671875,9074.4931640625,10092.6943359375
2020-05-09,9939.0,10043.822265625,9936.7705078125,10207.1513671875
2020-05-10,10219.0,10403.978515625,10217.7119140625,10732.05859375
2020-05-11,10418.0,10487.783203125,10417.375,10600.373046875
2020-05-12,10611.0,10634.2607421875,10438.8818359375,10894.5732421875
2020-05-13,10902.0,10898.296875,10884.103515625,10903.875
2020-05-14,11275.0,11275.1171875,11272.154296875,11279.064453125
2020-05-15,11685.0,11684.830078125,11681.8486328125,11687.65625
2020-05-16,12187.0,12008.8388671875,11658.8115234375,12188.2490234375
2020-05-17,12543.0,12338.4033203125,11965.75,12543.9365234375
2020-05-18,12687.0,12687.4404296875,12686.5595703125,12688.171875
2020-05-19,12885.0,12986.4716796875,12882.703125,13397.3046875
2020-05-20,13413.0,13384.328125,12857.546875,13822.2119140625
2020-05-21,13885.0,13992.451171875,13879.9814453125,14420.5849609375
2020-05-22,14396.0,14396.1015625,14393.0927734375,14399.0146484375
2020-05-23,14877.0,14803.318359375,14394.5458984375,15153.837890625
2020-05-24,15277.0,15188.291015625,14978.4384765625,15276.962890625
2020-05-25,15584.0,15648.240234375,15583.0849609375,15905.015625
2020-05-26,15863.0,15862.607421875,15860.9443359375,15865.275390625
2020-05-27,16462.0,16816.861328125,16460.017578125,17904.962890625
2020-05-28,16974.0,16973.763671875,16971.896484375,16975.931640625
2020-05-29,17707.0,17828.20703125,17705.11328125,18315.140625
2020-05-30,18230.0,18230.76953125,18229.365234375,18231.65234375
2020-05-31,18403.0,18371.48828125,18247.896484375,18402.765625
2020-06-01,18543.0,18620.9765625,18541.625,18933.6640625
2020-06-02,18917.0,19037.828125,18915.6953125,19521.76171875
2020-06-03,19400.0,19400.208984375,19396.853515625,19401.587890625
2020-06-04,19892.0,19891.677734375,19889.943359375,19895.56640625
2020-06-05,20249.0,20327.896484375,20247.685546875,20641.68359375
2020-06-06,20571.0,20571.015625,20569.115234375,20572.689453125
2020-06-07,20835.0,20807.30078125,20628.41015625,20904.4921875
2020-06-08,21038.0,21038.431640625,21037.59765625,21039.640625
2020-06-09,21308.0,21342.546875,21306.26171875,21481.3671875
2020-06-10,21593.0,21592.36328125,21590.244140625,21595.80859375
2020-06-11,21926.0,21955.03515625,21925.876953125,22064.318359375
2020-06-12,22246.0,22296.056640625,22241.095703125,22502.01953125
2020-06-13,22518.0,22549.771484375,22514.85546875,22680.84765625
2020-06-14,22758.0,22758.568359375,22755.939453125,22761.744140625
2020-06-15,22932.0,23018.98828125,22931.27734375,23257.36328125
