,Nevada,forecast,interval_low,interval_high
2020-03-23,55.0,1362.386380544785,,
2020-03-24,33.0,1344.8224087257001,,
2020-03-25,45.0,1419.079990700919,,
2020-03-26,97.0,1389.1900388054812,,
2020-03-27,116.0,1299.9229315657906,,
2020-03-28,90.0,1322.8009153342775,,
2020-03-29,294.0,1419.7961658786103,,
2020-03-30,92.0,1029.9405308621274,,
2020-03-31,102.0,1644.9842679808808,,
2020-04-01,165.0,1406.1057866440456,,
2020-04-02,184.0,1339.8110201250752,,
2020-04-03,51.0,1346.004434849919,,
2020-04-04,228.0,1650.8935546951002,,
2020-04-05,113.0,1176.7876976588695,,
2020-04-06,98.0,1527.1384669237818,,
2020-04-07,171.0,1462.4697798837185,,
2020-04-08,135.0,1321.1922508780694,,
2020-04-09,197.0,1437.55164360497,,
2020-04-10,266.0,1292.1582758003742,,
2020-04-11,-20.0,1285.7032807595697,,
2020-04-12,134.0,1812.5931435519253,,
2020-04-13,154.0,1254.3395380198397,,
2020-04-14,144.0,1383.8814999364356,,
2020-04-15,77.0,1400.4428744339766,,
2020-04-16,3.0,1557.138753527204,,
2020-04-17,310.0,1542.430031114918,,
2020-04-18,102.0,880.9861138416353,,
2020-04-19,102.0,1686.1475441503576,,
2020-04-20,102.0,1393.8912794902806,,
2020-04-21,107.0,1436.7602232786369,,
2020-04-22,144.0,1353.1074629094792,,
2020-04-23,127.0,1368.543832573178,,
2020-04-24,190.0,1450.55483765218,,
2020-04-25,141.0,1241.46731655464,,
2020-04-26,195.0,1463.4819901735802,,
2020-04-27,-34.0,1280.332531090342,,
2020-04-28,121.0,1789.1145511817888,,
2020-04-29,113.0,1217.3857183559305,,
2020-04-30,119.0,1428.8412619546618,,
2020-05-01,195.0,1379.6770627187868,,
2020-05-02,141.0,1268.6918380977418,,
2020-05-03,83.0,1426.7150765823683,,
2020-05-04,158.0,1449.8084305646667,,
2020-05-05,30.0,1323.2806866447045,,
2020-05-06,81.0,1585.6647166028768,,
2020-05-07,114.0,1378.841113792878,,
2020-05-08,65.0,1366.7980033942488,,
2020-05-09,251.0,1453.1008135024745,,
2020-05-10,-51.0,1085.3139335930118,,
2020-05-11,32.0,1839.7525045987795,,
2020-05-12,161.0,1300.8160687086886,,
2020-05-13,163.0,1227.1143286481727,,
2020-05-14,28.0,1313.8583347762808,,
2020-05-15,229.0,1617.6433196434614,,
