,Missouri,forecast,interval_low,interval_high
2020-01-23,0.0,-0.04836338758468628,-0.21653199195861816,-0.0004194974899291992
2020-01-24,0.0,0.24002385139465332,0.002442687749862671,1.167494773864746
2020-01-25,0.0,-0.0015644729137420654,-0.011153995990753174,0.006097018718719482
2020-01-26,0.0,0.12288758903741837,-0.0004971027374267578,0.6092082262039185
2020-01-27,0.0,-0.4527014195919037,-2.2937943935394287,0.04572299122810364
2020-01-28,0.0,-0.11347228288650513,-0.4514842629432678,0.0008835196495056152
2020-01-29,0.0,-0.0017305553192272782,-0.008141279220581055,0.005364656448364258
2020-01-30,0.0,0.003538495395332575,-0.0019206404685974121,0.012805581092834473
2020-01-31,0.0,-0.01388551015406847,-0.1250430941581726,0.0653676688671112
2020-02-01,0.0,-0.0017167211044579744,-0.007661223411560059,0.00014168024063110352
2020-02-02,0.0,0.017918938770890236,-0.0010520219802856445,0.09152776002883911
2020-02-03,0.0,-0.008896750397980213,-0.0422934889793396,0.0011264383792877197
2020-02-04,0.0,0.01281852088868618,-0.0013934969902038574,0.0512261688709259
2020-02-05,0.0,0.0011890411842614412,-0.0013629794120788574,0.0037430226802825928
2020-02-06,0.0,0.007532966323196888,-0.03461110591888428,0.07625225186347961
2020-02-07,0.0,0.02027437649667263,-0.00034618377685546875,0.07943800091743469
2020-02-08,0.0,-0.00306265358813107,-0.008369863033294678,0.0005654096603393555
2020-02-09,0.0,-0.002287703799083829,-0.027946770191192627,0.02940768003463745
2020-02-10,0.0,-0.009782969951629639,-0.020098209381103516,-0.0019315481185913086
2020-02-11,0.0,0.0025260746479034424,-0.006019175052642822,0.007074713706970215
2020-02-12,0.0,0.0021528066135942936,-0.005401015281677246,0.012489229440689087
2020-02-13,0.0,0.0063762664794921875,-0.011784374713897705,0.03732806444168091
2020-02-14,0.0,-0.005765587091445923,-0.023714780807495117,0.003219425678253174
2020-02-15,0.0,0.0035007179249078035,-0.0048354268074035645,0.007795453071594238
2020-02-16,0.0,-0.00825955905020237,-0.04028552770614624,0.0066525936126708984
2020-02-17,0.0,-0.0040257214568555355,-0.020833075046539307,0.0018598437309265137
2020-02-18,0.0,0.03561021760106087,-0.07597404718399048,0.16955381631851196
2020-02-19,0.0,0.005807804875075817,-0.020856261253356934,0.038506388664245605
2020-02-20,0.0,0.018415028229355812,-0.004532992839813232,0.09145966172218323
2020-02-21,0.0,-0.003991037607192993,-0.018913865089416504,0.004537075757980347
2020-02-22,0.0,-0.007120758295059204,-0.029866695404052734,0.0017509162425994873
2020-02-23,0.0,-0.12466299533843994,-0.6057487726211548,-7.295608520507812e-05
2020-02-24,0.0,0.07402478158473969,0.0015418529510498047,0.3333715796470642
2020-02-25,0.0,-0.01297228317707777,-0.060152649879455566,-0.00025349855422973633
2020-02-26,0.0,0.1235375851392746,-0.014213263988494873,0.6143167614936829
2020-02-27,0.0,-0.012652021832764149,-0.05982547998428345,0.019831150770187378
2020-02-28,0.0,-0.01306955236941576,-0.14654624462127686,0.06178933382034302
2020-02-29,0.0,0.020627517253160477,-0.010064899921417236,0.10659968852996826
2020-03-01,0.0,0.0008105695014819503,-0.055445313453674316,0.06245940923690796
2020-03-02,0.0,-0.009811115451157093,-0.04073816537857056,-0.0007301568984985352
2020-03-03,0.0,0.0745839923620224,-0.0004775524139404297,0.3368837833404541
2020-03-04,0.0,-0.0061757564544677734,-0.020056426525115967,0.0003426671028137207
2020-03-05,0.0,-0.021184343844652176,-0.1550537347793579,0.035895317792892456
2020-03-06,0.0,0.0006911099189892411,-0.007987141609191895,0.006181776523590088
2020-03-07,0.0,0.0026224076282233,-0.005369126796722412,0.008870631456375122
2020-03-08,0.0,-0.0011584579478949308,-0.007574200630187988,0.002247422933578491
2020-03-09,0.0,0.008786529302597046,0.0030348598957061768,0.012775897979736328
2020-03-10,0.0,-0.05718173831701279,-0.2162817120552063,-0.004844844341278076
2020-03-11,0.0,-0.006646978668868542,-0.0455470085144043,0.008924037218093872
2020-03-12,0.0,0.0013635695213451982,-0.03121858835220337,0.045897990465164185
2020-03-13,0.0,-0.0005765676614828408,-0.005891203880310059,0.007338792085647583
2020-03-14,0.0,-0.0007963835960254073,-0.0057716965675354,0.003716200590133667
2020-03-15,0.0,0.005516403820365667,0.0011266469955444336,0.009467333555221558
2020-03-16,0.0,-0.0033201277256011963,-0.013147234916687012,0.003734290599822998
2020-03-17,0.0,0.2607802748680115,-0.0024459362030029297,0.9200323224067688
2020-03-18,1.0,0.8867118954658508,0.4259500205516815,1.0161540508270264
2020-03-19,0.0,0.385980486869812,-0.004214167594909668,1.92336106300354
2020-03-20,2.0,1.1864110231399536,-0.036577820777893066,1.991670846939087
2020-03-21,0.0,0.09907901287078857,-0.00442957878112793,0.46549558639526367
2020-03-22,0.0,0.02453244850039482,0.0012039244174957275,0.1117391288280487
2020-03-23,1.0,0.993620753288269,0.9772348403930664,1.0003511905670166
2020-03-24,4.0,2.5204734802246094,0.9987395405769348,3.9962964057922363
2020-03-25,1.0,0.9975377917289734,0.9876912236213684,1.0032298564910889
2020-03-26,0.0,0.5512669086456299,-0.0005136728286743164,1.8391978740692139
2020-03-27,0.0,0.634454607963562,0.002599656581878662,3.1370956897735596
2020-03-28,4.0,3.5150864124298096,2.685657262802124,3.991778612136841
2020-03-29,3.0,2.9993233680725098,2.9935975074768066,3.002596139907837
2020-03-30,0.0,0.005365937948226929,0.0013577938079833984,0.0090731680393219
2020-03-31,3.0,2.9959616661071777,2.993586778640747,2.998724937438965
