,New Mexico,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-02-03,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-02-04,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-02-05,0.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-02-06,0.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-02-07,0.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-02-08,0.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-02-09,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-02-10,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-02-11,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-02-12,0.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-02-13,0.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-02-14,0.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-02-15,0.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-02-16,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-02-17,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-02-18,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-02-19,0.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-02-20,0.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-02-21,0.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-02-22,0.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-02-23,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-02-24,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-02-25,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-02-26,0.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-02-27,0.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-02-28,0.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-02-29,0.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-03-01,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-03-02,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-03-03,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-03-04,0.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-03-05,0.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-03-06,0.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-03-07,0.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-03-08,0.0,3.965430498123169,1.0853068828582764,7.843684196472168
2020-03-09,0.0,4.367527008056641,2.121164083480835,8.361190795898438
2020-03-10,0.0,5.766170024871826,2.114661455154419,10.386432647705078
2020-03-11,3.0,7.473093032836914,4.941410064697266,10.604645729064941
2020-03-12,2.0,8.102347373962402,6.288902282714844,11.589950561523438
2020-03-13,5.0,8.58446216583252,6.380202293395996,12.740235328674316
2020-03-14,3.0,9.54779052734375,7.290839195251465,13.957202911376953
2020-03-15,0.0,4.165712833404541,1.2927359342575073,8.113933563232422
2020-03-16,8.0,4.930969715118408,2.724226951599121,8.888249397277832
2020-03-17,2.0,6.153812885284424,2.5045835971832275,10.694436073303223
2020-03-18,5.0,7.826396942138672,5.278405666351318,10.947661399841309
2020-03-19,7.0,8.797104835510254,7.006630897521973,12.141254425048828
2020-03-20,7.0,9.133591651916504,6.988341331481934,13.22218132019043
2020-03-21,13.0,10.162240028381348,8.004963874816895,14.44765853881836
2020-03-22,2.0,9.020565032958984,5.698589324951172,11.821352005004883
2020-03-23,26.0,9.166614532470703,6.968050003051758,12.555309295654297
2020-03-24,17.0,10.820201873779297,6.664401054382324,14.3160400390625
2020-03-25,13.0,12.116381645202637,10.537393569946289,14.571516990661621
2020-03-26,0.0,13.345406532287598,10.945459365844727,15.748041152954102
2020-03-27,23.0,13.843581199645996,11.272610664367676,16.90047264099121
2020-03-28,72.0,14.902324676513672,12.01278305053711,18.042146682739258
2020-03-29,29.0,20.484651565551758,16.659698486328125,23.434717178344727
2020-03-30,0.0,20.391408920288086,17.546939849853516,22.88292694091797
2020-03-31,78.0,22.402250289916992,17.628103256225586,25.83363914489746
2020-04-01,12.0,23.32332420349121,22.180150985717773,24.299468994140625
2020-04-02,46.0,26.326936721801758,23.185651779174805,29.488161087036133
2020-04-03,117.0,26.163232803344727,22.787111282348633,28.536663055419922
2020-04-04,16.0,27.459455490112305,23.55021858215332,30.688955307006836
2020-04-05,118.0,46.13639450073242,41.98561096191406,52.982444763183594
2020-04-06,62.0,42.975521087646484,39.21791458129883,45.0216178894043
2020-04-07,108.0,46.9340705871582,41.58183670043945,53.70415115356445
2020-04-08,27.0,47.64256286621094,46.09850311279297,50.40583038330078
2020-04-09,44.0,50.667938232421875,46.50068283081055,57.28770446777344
2020-04-10,216.0,50.43972396850586,46.18693161010742,55.966915130615234
2020-04-11,10.0,51.53647994995117,46.546409606933594,58.342567443847656
2020-04-12,154.0,93.5536880493164,89.07179260253906,101.48927307128906
2020-04-13,17.0,85.41036987304688,80.86617279052734,89.00385284423828
2020-04-14,83.0,92.2044448852539,86.95851135253906,98.34690856933594
2020-04-15,139.0,93.350830078125,91.55208587646484,95.81231689453125
2020-04-16,0.0,91.93014526367188,87.60138702392578,96.4835205078125
