,District of Columbia,forecast,interval_low,interval_high
2020-01-23,0.0,-0.8837068676948547,-4.311380863189697,-0.017804980278015137
2020-01-24,0.0,-0.0985860675573349,-0.31764841079711914,-0.0128859281539917
2020-01-25,0.0,0.06786755472421646,0.023847311735153198,0.1051320731639862
2020-01-26,0.0,-0.013356137089431286,-0.018060028553009033,-0.007840633392333984
2020-01-27,0.0,-0.04763586446642876,-0.09016042947769165,0.012083470821380615
2020-01-28,0.0,0.014508557505905628,-0.061450958251953125,0.14469942450523376
2020-01-29,0.0,0.026682298630475998,-0.006510436534881592,0.08964169025421143
2020-01-30,0.0,0.04335419088602066,-0.004100322723388672,0.15134218335151672
2020-01-31,0.0,-0.0003303825797047466,-0.0395205020904541,0.045646339654922485
2020-02-01,0.0,-0.017979120835661888,-0.10117429494857788,0.010035008192062378
2020-02-02,0.0,-0.025244127959012985,-0.05665701627731323,-0.0018463134765625
2020-02-03,0.0,0.013226372189819813,-0.017671167850494385,0.05689612030982971
2020-02-04,0.0,-0.01305503211915493,-0.1906335949897766,0.04727420210838318
2020-02-05,0.0,-0.03764457628130913,-0.48587244749069214,0.22795963287353516
2020-02-06,0.0,-0.14113782346248627,-0.5835092067718506,-0.008520066738128662
2020-02-07,0.0,-0.0485556498169899,-0.7781931161880493,0.5098918080329895
2020-02-08,0.0,2.4893734455108643,-0.011547446250915527,6.250211238861084
2020-02-09,0.0,-0.9642419815063477,-2.9216952323913574,0.9209655523300171
2020-02-10,0.0,0.28067249059677124,-0.0022941231727600098,0.8098607063293457
2020-02-11,0.0,-0.6266213655471802,-3.122086763381958,0.061027199029922485
2020-02-12,0.0,-0.8429183959960938,-4.307845592498779,0.10454064607620239
2020-02-13,0.0,-0.47885996103286743,-1.0782989263534546,-0.014665722846984863
2020-02-14,0.0,0.00742765050381422,-0.0667911171913147,0.06983527541160583
2020-02-15,0.0,1.2580050230026245,-0.0003952980041503906,6.070652484893799
2020-02-16,0.0,-0.15263807773590088,-0.8377375602722168,0.026558011770248413
2020-02-17,0.0,-0.011133265681564808,-0.03495055437088013,0.008603662252426147
2020-02-18,0.0,0.816667914390564,-0.05021321773529053,2.0421526432037354
2020-02-19,0.0,0.08205554634332657,-0.14128130674362183,0.6265214681625366
2020-02-20,0.0,0.12392379343509674,-0.06577372550964355,0.3961475193500519
2020-02-21,0.0,-0.05953143164515495,-0.6496560573577881,0.15170779824256897
2020-02-22,0.0,-0.09878301620483398,-0.15588092803955078,-0.029518306255340576
2020-02-23,0.0,-0.029937589541077614,-0.06101524829864502,0.0019702911376953125
2020-02-24,0.0,0.05161949247121811,-0.0842711329460144,0.2940213084220886
2020-02-25,0.0,0.051873140037059784,-0.0009864568710327148,0.09094634652137756
2020-02-26,0.0,-0.19002673029899597,-0.5596131086349487,0.0030481815338134766
2020-02-27,0.0,0.03130437806248665,-0.005971252918243408,0.08472999930381775
2020-02-28,0.0,-0.048205576837062836,-0.11159157752990723,-0.02066826820373535
2020-02-29,0.0,-0.07286189496517181,-0.4129454493522644,0.027091175317764282
2020-03-01,0.0,-0.010329139418900013,-0.037581026554107666,0.002527952194213867
2020-03-02,0.0,-0.8848768472671509,-3.8244943618774414,0.004841595888137817
2020-03-03,0.0,0.005745911505073309,-0.024057507514953613,0.08286947011947632
2020-03-04,0.0,0.05163510888814926,0.01897779107093811,0.08914613723754883
2020-03-05,0.0,-0.19471469521522522,-0.8619152307510376,-0.006759285926818848
2020-03-06,0.0,-0.01310158334672451,-0.10459840297698975,0.03698408603668213
2020-03-07,0.0,-0.032613158226013184,-0.22699368000030518,0.04751184582710266
2020-03-08,0.0,0.05470610409975052,-0.03299081325531006,0.23390084505081177
2020-03-09,0.0,-0.3583208918571472,-1.7532265186309814,0.04294848442077637
2020-03-10,0.0,1.223821997642517,-0.01836496591567993,5.646112442016602
2020-03-11,0.0,-0.606779932975769,-3.623589515686035,0.6737734079360962
2020-03-12,0.0,-0.06801027059555054,-0.10627895593643188,-0.024826228618621826
2020-03-13,0.0,-0.012741779908537865,-0.11799293756484985,0.12861651182174683
2020-03-14,0.0,0.1166728287935257,0.0552939772605896,0.22309035062789917
2020-03-15,0.0,1.3572431802749634,-0.08552449941635132,6.930312633514404
2020-03-16,22.0,17.49481773376465,-0.25095486640930176,21.977670669555664
2020-03-17,0.0,4.840153694152832,-0.03336971998214722,10.256458282470703
2020-03-18,9.0,9.335810661315918,8.978979110717773,10.195186614990234
2020-03-19,9.0,13.013110160827637,8.937931060791016,28.88328742980957
2020-03-20,31.0,29.61322593688965,24.604333877563477,30.905542373657227
2020-03-21,27.0,22.820709228515625,5.826159477233887,27.125093460083008
2020-03-22,4.0,8.507111549377441,3.9445598125457764,26.54866600036621
2020-03-23,18.0,18.368982315063477,17.896997451782227,19.926166534423828
2020-03-24,21.0,21.06389617919922,20.986003875732422,21.164413452148438
2020-03-25,46.0,40.556495666503906,19.450759887695312,45.88471221923828
2020-03-26,44.0,45.761070251464844,43.947914123535156,52.648406982421875
2020-03-27,40.0,39.966644287109375,39.88093948364258,40.03215789794922
2020-03-28,33.0,33.11372756958008,33.03103256225586,33.19975280761719
2020-03-29,38.0,33.5363655090332,15.900589942932129,37.98430633544922
2020-03-30,59.0,53.85615921020508,33.24451446533203,59.03302001953125
2020-03-31,94.0,77.96141052246094,40.988155364990234,94.0130615234375
2020-04-01,91.0,93.86550903320312,90.9786605834961,105.33831024169922
2020-04-02,67.0,70.51517486572266,67.01850891113281,84.43133544921875
2020-04-03,104.0,121.37989807128906,103.9759750366211,149.86012268066406
