,Minnesota,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.0,0.0,101.36920928955078
2020-02-03,0.0,0.0,0.0,147.61129760742188
2020-02-04,0.0,3.0323421955108643,0.0,227.7760009765625
2020-02-05,0.0,31.641204833984375,0.0,310.3652648925781
2020-02-06,0.0,71.27076721191406,0.0,380.0158996582031
2020-02-07,0.0,103.83419036865234,0.0,462.48577880859375
2020-02-08,0.0,152.8147735595703,0.0,584.4622192382812
2020-02-09,0.0,0.0,0.0,101.36920928955078
2020-02-10,0.0,0.0,0.0,147.61129760742188
2020-02-11,0.0,3.0323421955108643,0.0,227.7760009765625
2020-02-12,0.0,31.641204833984375,0.0,310.3652648925781
2020-02-13,0.0,71.27076721191406,0.0,380.0158996582031
2020-02-14,0.0,103.83419036865234,0.0,462.48577880859375
2020-02-15,0.0,152.8147735595703,0.0,584.4622192382812
2020-02-16,0.0,0.0,0.0,101.36920928955078
2020-02-17,0.0,0.0,0.0,147.61129760742188
2020-02-18,0.0,3.0323421955108643,0.0,227.7760009765625
2020-02-19,0.0,31.641204833984375,0.0,310.3652648925781
2020-02-20,0.0,71.27076721191406,0.0,380.0158996582031
2020-02-21,0.0,103.83419036865234,0.0,462.48577880859375
2020-02-22,0.0,152.8147735595703,0.0,584.4622192382812
2020-02-23,0.0,0.0,0.0,101.36920928955078
2020-02-24,0.0,0.0,0.0,147.61129760742188
2020-02-25,0.0,3.0323421955108643,0.0,227.7760009765625
2020-02-26,0.0,31.641204833984375,0.0,310.3652648925781
2020-02-27,0.0,71.27076721191406,0.0,380.0158996582031
2020-02-28,0.0,103.83419036865234,0.0,462.48577880859375
2020-02-29,0.0,152.8147735595703,0.0,584.4622192382812
2020-03-01,0.0,0.0,0.0,101.36920928955078
2020-03-02,0.0,0.0,0.0,147.61129760742188
2020-03-03,0.0,3.0323421955108643,0.0,227.7760009765625
2020-03-04,0.0,31.641204833984375,0.0,310.3652648925781
2020-03-05,0.0,71.27076721191406,0.0,380.0158996582031
2020-03-06,1.0,103.83419036865234,0.0,462.48577880859375
2020-03-07,1.0,152.8147735595703,0.0,584.4622192382812
2020-03-08,1.0,0.0,0.0,101.36920928955078
2020-03-09,2.0,0.0,0.0,147.61129760742188
2020-03-10,2.0,3.0323421955108643,0.0,227.7760009765625
2020-03-11,5.0,31.641204833984375,0.0,310.3652648925781
2020-03-12,9.0,71.27076721191406,0.0,380.0158996582031
2020-03-13,14.0,103.83419036865234,0.0,462.48577880859375
2020-03-14,21.0,152.8147735595703,0.0,584.4622192382812
2020-03-15,21.0,0.0,0.0,102.41438293457031
2020-03-16,53.0,0.0,0.0,148.75906372070312
2020-03-17,59.0,4.235443115234375,0.0,228.75909423828125
2020-03-18,77.0,32.810394287109375,0.0,311.2940673828125
2020-03-19,89.0,72.76444244384766,0.0,381.2392272949219
2020-03-20,113.0,105.30452728271484,0.0,463.66033935546875
2020-03-21,134.0,154.3805694580078,0.0,585.6671752929688
2020-03-22,167.0,0.0,0.0,128.41757202148438
2020-03-23,234.0,22.993139266967773,0.0,177.54037475585938
2020-03-24,261.0,34.10763931274414,0.0,253.0516815185547
2020-03-25,286.0,61.945255279541016,0.0,334.24591064453125
2020-03-26,344.0,110.32608795166016,0.0,411.7312316894531
2020-03-27,396.0,142.09266662597656,0.0,492.72161865234375
2020-03-28,441.0,193.76173400878906,0.0,615.6795043945312
2020-03-29,503.0,169.2086944580078,79.75086212158203,272.8323669433594
2020-03-30,576.0,205.2414093017578,103.83212280273438,332.40887451171875
2020-03-31,629.0,220.2260284423828,82.5042724609375,402.79779052734375
2020-04-01,689.0,254.57421875,96.91275024414062,485.49151611328125
2020-04-02,742.0,325.3561096191406,179.2084197998047,580.3693237304688
2020-04-03,788.0,364.6165466308594,190.99765014648438,663.9144897460938
2020-04-04,865.0,428.8717346191406,228.03746032714844,789.376220703125
2020-04-05,935.0,589.52587890625,551.4034423828125,627.3746337890625
2020-04-06,986.0,649.5253295898438,602.623779296875,706.7584228515625
2020-04-07,1069.0,698.4136352539062,631.9951782226562,787.4921264648438
2020-04-08,1154.0,760.9421997070312,683.4185180664062,884.4804077148438
2020-04-09,1240.0,857.4721069335938,780.5305786132812,993.30322265625
2020-04-10,1336.0,928.5610961914062,835.860595703125,1095.128173828125
2020-04-11,1427.0,1021.2089233398438,908.52099609375,1223.7926025390625
2020-04-12,1621.0,1185.96142578125,1130.196044921875,1219.471435546875
2020-04-13,1621.0,1275.7984619140625,1233.564697265625,1305.3665771484375
2020-04-14,1695.0,1390.8231201171875,1347.22265625,1424.8135986328125
2020-04-15,1809.0,1504.64599609375,1474.3463134765625,1540.66162109375
2020-04-16,1809.0,1611.9019775390625,1577.9287109375,1632.9556884765625
2020-04-17,2070.0,1738.716796875,1714.93505859375,1760.9617919921875
2020-04-18,2209.0,1869.37255859375,1846.8907470703125,1881.7513427734375
2020-04-19,2356.0,1984.7261962890625,1816.35595703125,2097.5244140625
2020-04-20,2470.0,2117.480712890625,1954.1295166015625,2231.485595703125
2020-04-21,2567.0,2303.318115234375,2097.419189453125,2449.53759765625
2020-04-22,2722.0,2474.285400390625,2257.119873046875,2636.15087890625
2020-04-23,2942.0,2613.129638671875,2374.4970703125,2741.72216796875
