,Michigan,forecast,interval_low,interval_high
2020-01-23,0.0,-0.34763628244400024,-2.45497465133667,0.45742088556289673
2020-01-24,0.0,1.3651881217956543,-0.17652016878128052,6.715489387512207
2020-01-25,0.0,-0.035892337560653687,-0.20379501581192017,0.1829240620136261
2020-01-26,0.0,0.32401537895202637,-1.6577155590057373,3.6113593578338623
2020-01-27,0.0,-8.852767944335938,-42.58017349243164,0.10934704542160034
2020-01-28,0.0,0.4034431576728821,-0.18025439977645874,2.031107187271118
2020-01-29,0.0,0.5017359852790833,0.07152530550956726,2.133556365966797
2020-01-30,0.0,-5.862742900848389,-29.101459503173828,-0.006196081638336182
2020-01-31,0.0,-0.10124985873699188,-0.6651625633239746,0.11062583327293396
2020-02-01,0.0,3.1454102993011475,-0.6119282245635986,16.54329490661621
2020-02-02,0.0,0.11871794611215591,-0.03691244125366211,0.17980435490608215
2020-02-03,0.0,-0.0216832272708416,-0.10887736082077026,0.06748080253601074
2020-02-04,0.0,-3.310620069503784,-14.726112365722656,0.09310898184776306
2020-02-05,0.0,0.04360236972570419,-0.18212604522705078,0.2738513946533203
2020-02-06,0.0,-0.05597783997654915,-0.1922440528869629,0.10522672533988953
2020-02-07,0.0,0.7295808792114258,-0.926854133605957,5.074544906616211
2020-02-08,0.0,-0.08767613023519516,-0.4159274101257324,0.12091881036758423
2020-02-09,0.0,0.07388738542795181,-0.08675473928451538,0.2946736216545105
2020-02-10,0.0,-0.2489331066608429,-0.6593284606933594,0.028296828269958496
2020-02-11,0.0,-0.8687199354171753,-5.794155120849609,0.91656494140625
2020-02-12,0.0,-4.525116920471191,-25.507863998413086,2.599992036819458
2020-02-13,0.0,-0.1371016949415207,-0.8000599145889282,0.6400965452194214
2020-02-14,0.0,1.1622360944747925,-0.026336073875427246,3.1225943565368652
2020-02-15,0.0,-0.30206120014190674,-0.8813055753707886,-0.002421855926513672
2020-02-16,0.0,-2.348179817199707,-11.488490104675293,0.07084277272224426
2020-02-17,0.0,0.333052396774292,0.0316559374332428,1.0084426403045654
2020-02-18,0.0,-1.3590989112854004,-6.509941101074219,0.15656623244285583
2020-02-19,0.0,-0.22391852736473083,-1.2956821918487549,0.5111837983131409
2020-02-20,0.0,1.6250970363616943,-0.05123341083526611,4.063434600830078
2020-02-21,0.0,-2.39076566696167,-10.742376327514648,-0.04352414608001709
2020-02-22,0.0,2.805980682373047,-0.05079936981201172,12.822407722473145
2020-02-23,0.0,0.07637409120798111,-0.339310884475708,0.3490244746208191
2020-02-24,0.0,0.08890204131603241,-0.1260521411895752,0.7123249173164368
2020-02-25,0.0,-0.09070172160863876,-0.33348172903060913,0.4790259003639221
2020-02-26,0.0,0.3806707262992859,0.0618802011013031,1.1035211086273193
2020-02-27,0.0,-0.45226845145225525,-1.6448919773101807,-0.03318518400192261
2020-02-28,0.0,0.5757501125335693,-0.5167422294616699,3.2561821937561035
2020-02-29,0.0,0.22980380058288574,-0.060983359813690186,0.9733000993728638
2020-03-01,0.0,0.12269575893878937,-0.07190275192260742,0.48297250270843506
2020-03-02,0.0,0.02681567706167698,-0.15833067893981934,0.21646103262901306
2020-03-03,0.0,0.020409947261214256,-3.200737714767456,3.0745885372161865
2020-03-04,0.0,-2.1306843757629395,-10.669783592224121,0.06714686751365662
2020-03-05,0.0,0.0004082798841409385,-0.3281790018081665,0.1607086956501007
2020-03-06,0.0,17.997617721557617,0.07707744836807251,88.9136962890625
2020-03-07,0.0,-0.45357856154441833,-1.3899208307266235,0.058878302574157715
2020-03-08,0.0,-0.15955734252929688,-1.2103320360183716,0.23963427543640137
2020-03-09,0.0,2.7141144275665283,0.005095809698104858,12.828155517578125
2020-03-10,0.0,-10.325556755065918,-50.341304779052734,0.5692800283432007
2020-03-11,2.0,2.046138048171997,1.7242848873138428,2.328242778778076
2020-03-12,1.0,0.9688083529472351,-0.06608867645263672,1.3187696933746338
2020-03-13,21.0,16.26836395263672,7.355288505554199,21.160037994384766
2020-03-14,12.0,12.481207847595215,11.895342826843262,14.019208908081055
2020-03-15,9.0,14.250839233398438,8.80006217956543,35.384437561035156
2020-03-16,31.0,30.5187931060791,29.861398696899414,30.92848014831543
2020-03-17,14.0,36.27131652832031,13.993489265441895,69.732421875
2020-03-18,69.0,44.767513275146484,2.071286201477051,69.3655014038086
2020-03-19,155.0,132.32949829101562,66.36933898925781,154.61097717285156
2020-03-20,157.0,162.26480102539062,157.1303253173828,180.91656494140625
2020-03-21,154.0,153.80484008789062,153.11962890625,154.1544952392578
2020-03-22,506.0,406.334228515625,151.233642578125,506.1195068359375
2020-03-23,323.0,346.30487060546875,322.53167724609375,439.11083984375
2020-03-24,488.0,488.50128173828125,487.84375,489.34576416015625
2020-03-25,526.0,525.646484375,524.8300170898438,526.1852416992188
2020-03-26,564.0,618.5670776367188,563.1049194335938,837.4017944335938
2020-03-27,816.0,882.1104736328125,816.0478515625,1144.345703125
2020-03-28,1042.0,1014.3753051757812,917.4521484375,1041.8458251953125
2020-03-29,863.0,863.1884765625,862.88720703125,863.670166015625
2020-03-30,1050.0,1049.9580078125,1049.8453369140625,1050.1021728515625
2020-03-31,1148.0,1147.8861083984375,1147.6519775390625,1148.0943603515625
2020-04-01,1766.0,1737.146240234375,1507.7999267578125,1880.251220703125
2020-04-02,1513.0,1771.1585693359375,1513.358642578125,1972.94482421875
2020-04-03,1991.0,1990.1148681640625,1989.5960693359375,1990.3858642578125
2020-04-04,1514.0,1514.449462890625,1514.180419921875,1514.7674560546875
2020-04-05,1533.0,1453.00732421875,1133.923828125,1533.0150146484375
