,Maryland,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.06039209518431342,0.06039209518431342,0.06039209518431342
2020-01-25,0.0,0.09874630823391731,0.09874630823391731,0.09874630823391731
2020-01-26,0.0,0.1428682580584052,0.1428682580584052,0.1428682580584052
2020-01-27,0.0,0.1815823986698188,0.1815823986698188,0.1815823986698188
2020-01-28,0.0,0.2154325442381776,0.2154325442381776,0.2154325442381776
2020-01-29,0.0,0.2186664581723562,0.2186664581723562,0.2186664581723562
2020-01-30,0.0,0.2594158660475358,0.2594158660475358,0.2594158660475358
2020-01-31,0.0,0.3006609085274793,0.3006609085274793,0.3006609085274793
2020-02-01,0.0,0.30979544115588653,0.30979544115588653,0.30979544115588653
2020-02-02,0.0,0.2875010400332242,0.2875010400332242,0.2875010400332242
2020-02-03,0.0,0.26322190342111457,0.26322190342111457,0.26322190342111457
2020-02-04,0.0,0.2548662698152473,0.2548662698152473,0.2548662698152473
2020-02-05,0.0,0.26113106895006155,0.26113106895006155,0.26113106895006155
2020-02-06,0.0,0.2722436325283764,0.2722436325283764,0.2722436325283764
2020-02-07,0.0,0.278576933798434,0.278576933798434,0.278576933798434
2020-02-08,0.0,0.2769574474278279,0.2769574474278279,0.2769574474278279
2020-02-09,0.0,0.2713887995680447,0.2713887995680447,0.2713887995680447
2020-02-10,0.0,0.2674077721166001,0.2674077721166001,0.2674077721166001
2020-02-11,0.0,0.2672460045772275,0.2672460045772275,0.2672460045772275
2020-02-12,0.0,0.26959360695371,0.26959360695371,0.26959360695371
2020-02-13,0.0,0.27186095019161305,0.27186095019161305,0.27186095019161305
2020-02-14,0.0,0.2724295869616132,0.2724295869616132,0.2724295869616132
2020-02-15,0.0,0.2714915809638748,0.2714915809638748,0.2714915809638748
2020-02-16,0.0,0.27027606791236936,0.27027606791236936,0.27027606791236936
2020-02-17,0.0,0.26976297312778064,0.26976297312778064,0.26976297312778064
2020-02-18,0.0,0.2700640027600346,0.2700640027600346,0.2700640027600346
2020-02-19,0.0,0.2706657268611117,0.2706657268611117,0.2706657268611117
2020-02-20,0.0,0.27102440401500905,0.27102440401500905,0.27102440401500905
2020-02-21,0.0,0.2709680868649711,0.2709680868649711,0.2709680868649711
2020-02-22,0.0,0.2706880440338141,0.2706880440338141,0.2706880440338141
2020-02-23,0.0,0.2704682685084821,0.2704682685084821,0.2704682685084821
2020-02-24,0.0,0.2704455998227784,0.2704455998227784,0.2704455998227784
2020-02-25,0.0,0.2705646832249346,0.2705646832249346,0.2705646832249346
2020-02-26,0.0,0.27068796340585166,0.27068796340585166,0.27068796340585166
2020-02-27,0.0,0.2707247634797099,0.2707247634797099,0.2707247634797099
2020-02-28,0.0,0.27067985764926,0.27067985764926,0.27067985764926
2020-02-29,0.0,0.2706154105794756,0.2706154105794756,0.2706154105794756
2020-03-01,0.0,0.2705851224917521,0.2705851224917521,0.2705851224917521
2020-03-02,0.0,0.27059846923740255,0.27059846923740255,0.27059846923740255
2020-03-03,0.0,0.27062994484003644,0.27062994484003644,0.27062994484003644
2020-03-04,0.0,0.2706502060680706,0.2706502060680706,0.2706502060680706
2020-03-05,0.0,0.27064867587454616,0.27064867587454616,0.27064867587454616
2020-03-06,0.0,0.27063437793851597,0.27063437793851597,0.27063437793851597
2020-03-07,0.0,0.2706222900568578,0.2706222900568578,0.2706222900568578
2020-03-08,0.0,0.2706203486914486,0.2706203486914486,0.2706203486914486
2020-03-09,0.0,0.27062627025811375,0.27062627025811375,0.27062627025811375
2020-03-10,0.0,0.27063291632477654,0.27063291632477654,0.27063291632477654
2020-03-11,0.0,0.2706352183003809,0.2706352183003809,0.2706352183003809
2020-03-12,0.0,0.27063309014449655,0.27063309014449655,0.27063309014449655
2020-03-13,0.0,0.27062968033711293,0.27062968033711293,0.27062968033711293
2020-03-14,0.0,0.27062791998869606,0.27062791998869606,0.27062791998869606
2020-03-15,0.0,0.27062848250216087,0.27062848250216087,0.27062848250216087
2020-03-16,0.0,0.2706301171181269,0.2706301171181269,0.2706301171181269
2020-03-17,0.0,0.27063125240357105,0.27063125240357105,0.27063125240357105
2020-03-18,0.0,0.2706312489442187,0.2706312489442187,0.2706312489442187
2020-03-19,1.0,1.2706305230155166,1.2706305230155166,1.2706305230155166
2020-03-20,1.0,0.13190407086079914,0.13190407086079914,0.13190407086079914
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,1.0,1.8205074928488019,1.8205074928488019,1.8205074928488019
2020-03-23,0.0,0.0,0.0,0.0
2020-03-24,1.0,1.794531022785334,1.794531022785334,1.794531022785334
2020-03-25,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.9035999513847636,0.9035999513847636,0.9035999513847636
2020-03-27,1.0,2.100106557545811,2.100106557545811,2.100106557545811
2020-03-28,0.0,0.0,0.0,0.0
2020-03-29,5.0,5.77038578854096,5.77038578854096,5.77038578854096
2020-03-30,5.0,0.0,0.0,0.0
2020-03-31,3.0,0.0,0.0,0.0
2020-04-01,13.0,12.797193314085721,12.797193314085721,12.797193314085721
2020-04-02,5.0,0.0,0.0,0.0
2020-04-03,7.0,7.159578606524564,7.159578606524564,7.159578606524564
2020-04-04,11.0,9.779569984020252,9.779569984020252,9.779569984020252
2020-04-05,13.0,7.897438432570715,7.897438432570715,7.897438432570715
2020-04-06,24.0,18.423145954793224,18.423145954793224,18.423145954793224
2020-04-07,12.0,0.0,0.0,0.0
2020-04-08,21.0,23.263754088653428,23.263754088653428,23.263754088653428
