,Arkansas,forecast,interval_low,interval_high
2020-03-04,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-03-05,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-03-06,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-03-07,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-03-08,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-03-09,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-03-10,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-03-11,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-03-12,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-03-13,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-03-14,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-03-15,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-03-16,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-03-17,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-03-18,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-03-19,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-03-20,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-03-21,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-03-22,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-03-23,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-03-24,2.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-03-25,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-03-26,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-03-27,1.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-03-28,2.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-03-29,1.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-03-30,1.0,0.49294567108154297,0.38813167810440063,0.552931547164917
2020-03-31,1.0,0.38182076811790466,0.2854521870613098,0.530996561050415
2020-04-01,2.0,0.44843825697898865,0.37225592136383057,0.5907080173492432
2020-04-02,2.0,0.5061498880386353,0.45791611075401306,0.5891402363777161
2020-04-03,0.0,0.6413154602050781,0.6037843227386475,0.6766106486320496
2020-04-04,2.0,0.7561317086219788,0.668590784072876,0.826130747795105
2020-04-05,2.0,0.87871915102005,0.7885621786117554,0.9323047399520874
2020-04-06,0.0,1.5289945602416992,1.4927959442138672,1.5685033798217773
2020-04-07,2.0,1.4358974695205688,1.3491101264953613,1.4870257377624512
2020-04-08,0.0,1.410843849182129,1.3012492656707764,1.5437400341033936
2020-04-09,3.0,1.4920800924301147,1.3415553569793701,1.5830109119415283
2020-04-10,0.0,1.5895415544509888,1.512792706489563,1.6478787660598755
2020-04-11,4.0,1.7709718942642212,1.7368557453155518,1.8391802310943604
2020-04-12,2.0,1.8273261785507202,1.6703901290893555,2.0262930393218994
2020-04-13,2.0,1.6537631750106812,1.5001505613327026,1.787320852279663
2020-04-14,3.0,1.819236159324646,1.6586148738861084,1.9207937717437744
2020-04-15,1.0,1.6652969121932983,1.5886698961257935,1.782754898071289
2020-04-16,4.0,1.6604374647140503,1.5300140380859375,1.78291916847229
2020-04-17,0.0,1.6665953397750854,1.651054859161377,1.6837234497070312
2020-04-18,1.0,1.6202341318130493,1.5499236583709717,1.6685748100280762
2020-04-19,1.0,1.6027942895889282,1.5412907600402832,1.691256046295166
2020-04-20,2.0,2.603132486343384,2.44885516166687,2.782944917678833
2020-04-21,1.0,2.7719500064849854,2.6308140754699707,2.896327018737793
2020-04-22,0.0,2.589226484298706,2.5280416011810303,2.6944005489349365
