,North Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,0.00043264031410217285,-0.0005978941917419434,0.0013499855995178223
2020-01-24,0.0,-0.0004865586815867573,-0.0027710795402526855,0.0011337101459503174
2020-01-25,0.0,-0.00047242044820450246,-0.0017931461334228516,0.0019663870334625244
2020-01-26,0.0,0.004747724626213312,-0.00013524293899536133,0.022795796394348145
2020-01-27,0.0,0.00120669009629637,-5.6624412536621094e-05,0.0019169747829437256
2020-01-28,0.0,-0.0009619593620300293,-0.0019249320030212402,-0.00018411874771118164
2020-01-29,0.0,-0.003989303018897772,-0.011427164077758789,0.0003936290740966797
2020-01-30,0.0,0.13747362792491913,5.942583084106445e-05,0.6842505931854248
2020-01-31,0.0,0.15271992981433868,-0.00012791156768798828,0.7623599767684937
2020-02-01,0.0,0.004548865370452404,-0.00015050172805786133,0.019489914178848267
2020-02-02,0.0,-0.00029925108538009226,-0.0007186532020568848,-7.355213165283203e-05
2020-02-03,0.0,-0.005781811662018299,-0.019902408123016357,0.00031754374504089355
2020-02-04,0.0,-0.0001247882901225239,-0.0006400346755981445,0.0007156133651733398
2020-02-05,0.0,0.004989617969840765,-0.0003142356872558594,0.022547483444213867
2020-02-06,0.0,-0.004621982574462891,-0.022462427616119385,0.0006742477416992188
2020-02-07,0.0,0.0007878065225668252,-0.002876758575439453,0.005836039781570435
2020-02-08,0.0,0.0015590727562084794,-0.0005529522895812988,0.00447574257850647
2020-02-09,0.0,-0.007374608423560858,-0.03626960515975952,0.00028887391090393066
2020-02-10,0.0,-0.004062527325004339,-0.010349452495574951,8.934736251831055e-05
2020-02-11,0.0,0.0009390950435772538,-0.0017930865287780762,0.004430323839187622
2020-02-12,0.0,0.0005066454177722335,-0.006779015064239502,0.004506975412368774
2020-02-13,0.0,-0.0007264733430929482,-0.004780173301696777,0.001879662275314331
2020-02-14,0.0,0.0007305323961190879,-0.0010194182395935059,0.004612326622009277
2020-02-15,0.0,1.721382068353705e-05,-0.0006923079490661621,0.0006617903709411621
2020-02-16,0.0,-0.00037913917913101614,-0.0010875463485717773,0.0002834796905517578
2020-02-17,0.0,0.004742789082229137,-0.00019150972366333008,0.023662835359573364
2020-02-18,0.0,-0.00034247635630890727,-0.004487216472625732,0.0033965110778808594
2020-02-19,0.0,-0.0002959549310617149,-0.0033389925956726074,0.0019349455833435059
2020-02-20,0.0,0.003528892993927002,-0.010090529918670654,0.027937352657318115
2020-02-21,0.0,0.0009675085311755538,-0.000761568546295166,0.004735052585601807
2020-02-22,0.0,-0.004882836248725653,-0.015664517879486084,-0.00017511844635009766
2020-02-23,0.0,0.0022546052932739258,-0.0004411935806274414,0.00763249397277832
2020-02-24,0.0,0.0010201751720160246,-0.0025163888931274414,0.008684217929840088
2020-02-25,0.0,0.0021113217808306217,-0.0005884766578674316,0.006515055894851685
2020-02-26,0.0,-0.0017343759536743164,-0.003901243209838867,0.000585019588470459
2020-02-27,0.0,0.014450395479798317,-0.0009139776229858398,0.0696268081665039
2020-02-28,0.0,0.004658186342567205,3.075599670410156e-05,0.02013230323791504
2020-02-29,0.0,-0.00022548437118530273,-0.0006927251815795898,0.0005683302879333496
2020-03-01,0.0,-0.001636207103729248,-0.00840693712234497,0.00020250678062438965
2020-03-02,0.0,0.00015093684487510473,-0.0002384781837463379,0.0011111795902252197
2020-03-03,0.0,-0.00020804404630325735,-0.0004531741142272949,3.4689903259277344e-05
2020-03-04,0.0,-0.006041818764060736,-0.024354755878448486,9.28342342376709e-05
2020-03-05,0.0,-0.0006213724846020341,-0.0017924904823303223,0.00018531084060668945
2020-03-06,0.0,0.0014680683379992843,0.0002225339412689209,0.004322558641433716
2020-03-07,0.0,0.001719486666843295,-0.003225564956665039,0.01325121521949768
2020-03-08,0.0,-0.0004419446049723774,-0.0009656548500061035,-7.265806198120117e-05
2020-03-09,0.0,0.0004161774995736778,-0.0024039745330810547,0.003446340560913086
2020-03-10,0.0,0.0016270518535748124,-0.0005383491516113281,0.004518628120422363
2020-03-11,0.0,0.01044914685189724,0.0008849501609802246,0.04363921284675598
2020-03-12,0.0,0.006393021438270807,-0.0033190250396728516,0.03560703992843628
2020-03-13,0.0,0.0025156140327453613,-7.045269012451172e-05,0.010194718837738037
2020-03-14,0.0,0.00803558249026537,-0.0006365776062011719,0.04021689295768738
2020-03-15,0.0,0.0023476481437683105,-0.0010780692100524902,0.01253211498260498
2020-03-16,0.0,-0.0006705045816488564,-0.0012964606285095215,-0.00011277198791503906
2020-03-17,0.0,-0.0008574128150939941,-0.00392228364944458,0.0009936094284057617
2020-03-18,0.0,0.0010780573356896639,-0.001207888126373291,0.00357624888420105
2020-03-19,0.0,1.0281801223754883e-05,-0.0014289617538452148,0.0018992125988006592
2020-03-20,0.0,-0.008488059043884277,-0.040984511375427246,0.0015413761138916016
2020-03-21,0.0,-0.00016077161126304418,-0.0026015639305114746,0.000728607177734375
2020-03-22,0.0,0.00019915700249839574,-0.0014875531196594238,0.0022811591625213623
2020-03-23,0.0,0.001782196806743741,-0.004666268825531006,0.010518938302993774
2020-03-24,0.0,-0.002707183361053467,-0.024089455604553223,0.009023040533065796
2020-03-25,0.0,0.003508752677589655,3.8743019104003906e-07,0.012674480676651001
2020-03-26,0.0,-0.00038445592508651316,-0.0027611255645751953,0.0015558600425720215
2020-03-27,1.0,0.7976966500282288,-0.0005663633346557617,0.9995083212852478
2020-03-28,0.0,0.15480904281139374,0.00040459632873535156,0.7702629566192627
2020-03-29,0.0,0.07066259533166885,-0.00044929981231689453,0.3505015969276428
