,Ohio,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-03,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-04,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-05,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-06,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-07,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-08,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-09,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-10,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-11,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-12,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-13,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-14,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-15,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-16,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-17,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-18,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-19,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-20,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-21,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-22,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-23,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-24,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-25,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-26,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-27,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-28,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-29,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-03-01,0.0,6.516310214996338,0.0,32.95163345336914
2020-03-02,0.0,8.997965812683105,0.0,38.45964431762695
2020-03-03,0.0,9.803079605102539,0.0,45.16726303100586
2020-03-04,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-03-05,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-03-06,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-03-07,0.0,45.282135009765625,16.103164672851562,68.9834213256836
