,New Mexico,forecast,interval_low,interval_high
2020-01-23,0.0,0.010147064924240112,-0.0010474324226379395,0.04032018780708313
2020-01-24,0.0,-0.003275495721027255,-0.008798062801361084,0.00021961331367492676
2020-01-25,0.0,0.006224113516509533,-0.0003930330276489258,0.0168401300907135
2020-01-26,0.0,-0.0008138894918374717,-0.0019403696060180664,5.5789947509765625e-05
2020-01-27,0.0,0.00010843873315025121,-0.001130223274230957,0.0010444223880767822
2020-01-28,0.0,0.0031630457378923893,-0.0014048218727111816,0.013215690851211548
2020-01-29,0.0,-0.0019253731006756425,-0.009707808494567871,0.003924638032913208
2020-01-30,0.0,0.0019260287517681718,-0.0014421343803405762,0.009761720895767212
2020-01-31,0.0,-0.028961366042494774,-0.23909199237823486,0.09448885917663574
2020-02-01,0.0,0.00012974739365745336,-0.0012154579162597656,0.001235276460647583
2020-02-02,0.0,-0.0299821849912405,-0.2934699058532715,0.1443190574645996
2020-02-03,0.0,0.001472258591093123,0.0005728304386138916,0.0023950040340423584
2020-02-04,0.0,0.003789323614910245,-0.024443864822387695,0.04304015636444092
2020-02-05,0.0,-0.002036148216575384,-0.0046250224113464355,0.0007834136486053467
2020-02-06,0.0,0.017106633633375168,-0.0038565397262573242,0.0924055278301239
2020-02-07,0.0,0.0003826916217803955,-0.0003590583801269531,0.0011516809463500977
2020-02-08,0.0,-0.001742720603942871,-0.010727882385253906,0.0018362998962402344
2020-02-09,0.0,0.01398363709449768,-4.9233436584472656e-05,0.04114776849746704
2020-02-10,0.0,-0.003994643688201904,-0.015056610107421875,-0.00014585256576538086
2020-02-11,0.0,0.0007700860733166337,-0.0012282133102416992,0.003940701484680176
2020-02-12,0.0,0.006773489527404308,-0.0017763376235961914,0.024878889322280884
2020-02-13,0.0,0.012227063998579979,-0.0021982789039611816,0.06017190217971802
2020-02-14,0.0,-0.0009230017894878983,-0.01364368200302124,0.006415307521820068
2020-02-15,0.0,-0.010649609379470348,-0.062234342098236084,0.011795014142990112
2020-02-16,0.0,-0.0014916002983227372,-0.003090083599090576,0.0011654198169708252
2020-02-17,0.0,-0.004391765687614679,-0.010783612728118896,-0.0003014802932739258
2020-02-18,0.0,0.003316205693408847,-0.00021249055862426758,0.007931143045425415
2020-02-19,0.0,-0.008244514465332031,-0.013697147369384766,-0.0037050843238830566
2020-02-20,0.0,-0.018596017733216286,-0.08464580774307251,0.00014483928680419922
2020-02-21,0.0,0.07490573823451996,-0.055497944355010986,0.36390477418899536
2020-02-22,0.0,0.06363780051469803,-0.009018957614898682,0.19225150346755981
2020-02-23,0.0,0.054156769067049026,-0.009012222290039062,0.2763593792915344
2020-02-24,0.0,-0.00022355318651534617,-0.0007406473159790039,0.0006531476974487305
2020-02-25,0.0,0.01993110217154026,-0.0012949109077453613,0.09672844409942627
2020-02-26,0.0,0.0020063878037035465,5.671381950378418e-05,0.0049721598625183105
2020-02-27,0.0,-8.268356032203883e-05,-0.0012006163597106934,0.0008900761604309082
2020-02-28,0.0,-0.0015037298435345292,-0.04161202907562256,0.04556459188461304
2020-02-29,0.0,0.013952726498246193,-0.0003249645233154297,0.06769609451293945
2020-03-01,0.0,-0.0008470892789773643,-0.007725656032562256,0.0013129711151123047
2020-03-02,0.0,0.0789501816034317,-0.0016838312149047852,0.39374932646751404
2020-03-03,0.0,0.004818618297576904,-0.0003171563148498535,0.01618257164955139
2020-03-04,0.0,0.05029398202896118,-0.01890319585800171,0.2720129191875458
2020-03-05,0.0,0.013967519626021385,-0.0063568949699401855,0.08303871750831604
2020-03-06,0.0,0.0012489616638049483,-0.002401590347290039,0.004366129636764526
2020-03-07,0.0,0.007169806864112616,-0.0019321441650390625,0.023334771394729614
2020-03-08,0.0,-0.0022634982597082853,-0.05299997329711914,0.040837109088897705
2020-03-09,0.0,0.0002705097140278667,-0.0031822919845581055,0.0030011236667633057
2020-03-10,0.0,-0.0031053542625159025,-0.013159692287445068,0.0014837980270385742
2020-03-11,0.0,-0.0058103082701563835,-0.01938307285308838,-0.0001519918441772461
2020-03-12,0.0,0.0037904917262494564,-0.009053349494934082,0.012845933437347412
2020-03-13,0.0,0.0021209002006798983,-0.0016847848892211914,0.012845933437347412
2020-03-14,0.0,0.0022108792327344418,-0.00454789400100708,0.009792894124984741
2020-03-15,0.0,-6.799698167014867e-05,-0.0017826557159423828,0.0031493008136749268
2020-03-16,0.0,-0.02002863958477974,-0.07005804777145386,-4.410743713378906e-06
2020-03-17,0.0,0.020355213433504105,-0.009218096733093262,0.09621220827102661
2020-03-18,0.0,0.001537662697955966,-0.0016831159591674805,0.007466167211532593
2020-03-19,0.0,-0.03304177522659302,-0.11512559652328491,-0.001278221607208252
2020-03-20,0.0,-0.0009883403545245528,-0.017338275909423828,0.008997410535812378
2020-03-21,0.0,0.01278944592922926,-0.0020035505294799805,0.035471588373184204
2020-03-22,0.0,0.0008595764520578086,-0.0007087588310241699,0.003840833902359009
2020-03-23,0.0,0.008991658687591553,-0.04401916265487671,0.09083068370819092
2020-03-24,0.0,0.1713269203901291,-1.2218952178955078e-05,0.845678448677063
2020-03-25,1.0,0.9931824803352356,0.9800622463226318,0.9996607303619385
2020-03-26,0.0,0.044711291790008545,0.0007133185863494873,0.20294702053070068
2020-03-27,0.0,-0.022964973002672195,-0.10577607154846191,0.003501385450363159
2020-03-28,0.0,0.1747129261493683,-0.0006164908409118652,0.8675482273101807
2020-03-29,1.0,0.9980617761611938,0.9964800477027893,1.000673770904541
2020-03-30,0.0,0.0007973670726642013,-0.0006566047668457031,0.0016837716102600098
