,District of Columbia,forecast,interval_low,interval_high
2020-01-23,0.0,0.0003328144666738808,-0.0015213489532470703,0.003254115581512451
2020-01-24,0.0,0.0048889340832829475,-0.008172571659088135,0.022502273321151733
2020-01-25,0.0,-0.008758503012359142,-0.03874868154525757,4.538893699645996e-05
2020-01-26,0.0,-0.0001753151445882395,-0.0025550127029418945,0.0015121698379516602
2020-01-27,0.0,-0.0003177046892233193,-0.003915309906005859,0.0011850595474243164
2020-01-28,0.0,-0.012627745047211647,-0.05391043424606323,-0.00018233060836791992
2020-01-29,0.0,-0.0017086148727685213,-0.008442997932434082,0.005237311124801636
2020-01-30,0.0,0.19268982112407684,0.000997304916381836,0.5712617635726929
2020-01-31,0.0,0.0776119977235794,-0.01035374402999878,0.3808148503303528
2020-02-01,0.0,-0.00095242855604738,-0.0045945048332214355,0.0006639361381530762
2020-02-02,0.0,0.07752583175897598,-0.00012671947479248047,0.3263050615787506
2020-02-03,0.0,0.002756816102191806,-0.0039934515953063965,0.01790371537208557
2020-02-04,0.0,0.00037453771801665425,-0.0008431673049926758,0.0009866654872894287
2020-02-05,0.0,-0.0012615025043487549,-0.0052909255027771,0.0031588077545166016
2020-02-06,0.0,-0.00026817916659638286,-0.002665996551513672,0.0018239617347717285
2020-02-07,0.0,0.019316475838422775,-0.0027936697006225586,0.09931263327598572
2020-02-08,0.0,0.06631360948085785,-0.08107608556747437,0.40898025035858154
2020-02-09,0.0,0.0002421081007923931,-0.0012170672416687012,0.0016363561153411865
2020-02-10,0.0,0.007812321186065674,-0.004544496536254883,0.04535934329032898
2020-02-11,0.0,0.0006968379020690918,-0.002218306064605713,0.0035249292850494385
2020-02-12,0.0,0.0014937818050384521,-0.0007729530334472656,0.003085315227508545
2020-02-13,0.0,-0.02654285356402397,-0.14411765336990356,0.009685933589935303
2020-02-14,0.0,0.0016773759853094816,-0.0041124820709228516,0.01150783896446228
2020-02-15,0.0,0.012601226568222046,-0.00737684965133667,0.03507092595100403
2020-02-16,0.0,-0.0009918033611029387,-0.00480961799621582,0.0015074610710144043
2020-02-17,0.0,0.013267355971038342,-0.000683128833770752,0.066456139087677
2020-02-18,0.0,0.001203042222186923,-0.013418197631835938,0.011946171522140503
2020-02-19,0.0,-0.0008444786071777344,-0.004239201545715332,0.005735248327255249
2020-02-20,0.0,0.018662821501493454,-0.02361816167831421,0.11092451214790344
2020-02-21,0.0,-0.08075126260519028,-0.2110046148300171,-0.003920495510101318
2020-02-22,0.0,0.0022399486042559147,-0.045667409896850586,0.10495316982269287
2020-02-23,0.0,0.0033092915546149015,0.0007732510566711426,0.011267423629760742
2020-02-24,0.0,0.020362580195069313,-0.0012947916984558105,0.051319122314453125
2020-02-25,0.0,-0.0034289180766791105,-0.013066351413726807,1.3977289199829102e-05
2020-02-26,0.0,-0.0011078298557549715,-0.009321928024291992,0.0019776523113250732
2020-02-27,0.0,0.001134806894697249,-0.000670313835144043,0.003079444169998169
2020-02-28,0.0,7.474422454833984e-05,-0.000944972038269043,0.0016737878322601318
2020-02-29,0.0,-0.014577483758330345,-0.06669622659683228,-7.790327072143555e-05
2020-03-01,0.0,0.13090167939662933,-0.0007198452949523926,0.6538058519363403
2020-03-02,0.0,0.058953363448381424,-0.0038100481033325195,0.29848840832710266
2020-03-03,0.0,-0.0013999224174767733,-0.0028492212295532227,-0.0001010894775390625
2020-03-04,0.0,0.002300214720889926,-0.0018867254257202148,0.0060569047927856445
2020-03-05,0.0,-0.015340983867645264,-0.07753264904022217,0.010419070720672607
2020-03-06,0.0,0.002351748989894986,-0.0007052421569824219,0.005695313215255737
2020-03-07,0.0,0.09566738456487656,-0.0014998912811279297,0.4803308844566345
2020-03-08,0.0,0.20353016257286072,-0.002195596694946289,1.0163607597351074
2020-03-09,0.0,-0.015853840857744217,-0.06148636341094971,0.0009160935878753662
2020-03-10,0.0,0.0061751483008265495,-0.00048667192459106445,0.01914238929748535
2020-03-11,0.0,-0.00024683476658537984,-0.013424575328826904,0.012354731559753418
2020-03-12,0.0,-0.01756765879690647,-0.0726805329322815,0.0030736923217773438
2020-03-13,0.0,0.005542558617889881,-5.793571472167969e-05,0.01789933443069458
2020-03-14,0.0,0.03640366718173027,-0.001555323600769043,0.18211668729782104
2020-03-15,0.0,0.12717851996421814,-0.002522766590118408,0.642000138759613
2020-03-16,0.0,0.005328255705535412,-0.0014017224311828613,0.013314813375473022
2020-03-17,0.0,-0.009966838173568249,-0.019824206829071045,0.003150373697280884
2020-03-18,0.0,0.0024192333221435547,-0.01767587661743164,0.020751744508743286
2020-03-19,0.0,0.19841793179512024,-0.0029091835021972656,0.9876484274864197
2020-03-20,1.0,-0.17289212346076965,-1.1574571132659912,0.9915738105773926
2020-03-21,-1.0,-0.9960685968399048,-0.9990038871765137,-0.9920347929000854
2020-03-22,2.0,1.9925552606582642,1.982486605644226,1.9996520280838013
2020-03-23,0.0,0.09634284675121307,0.0001544356346130371,0.4605839252471924
2020-03-24,0.0,0.027712702751159668,-0.0018811225891113281,0.1404414176940918
2020-03-25,0.0,0.21237745881080627,0.002101391553878784,1.0342309474945068
2020-03-26,1.0,0.9912158846855164,0.98496413230896,0.9962549805641174
2020-03-27,0.0,0.00979186873883009,0.004469186067581177,0.017554521560668945
2020-03-28,1.0,0.9970666766166687,0.9913686513900757,0.9996168613433838
2020-03-29,1.0,1.6887743473052979,0.9980786442756653,3.0312936305999756
2020-03-30,4.0,3.999445676803589,3.9983317852020264,4.000238418579102
