,Texas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,49.834922790527344,0.0,137.20248413085938
2020-02-03,0.0,42.39794158935547,0.0,123.4898681640625
2020-02-04,0.0,30.64828872680664,0.0,166.8234405517578
2020-02-05,0.0,42.715248107910156,0.0,148.11866760253906
2020-02-06,0.0,43.869407653808594,0.0,215.1354522705078
2020-02-07,0.0,57.10005569458008,0.0,159.76324462890625
2020-02-08,0.0,43.610557556152344,0.0,162.40342712402344
2020-02-09,0.0,49.834922790527344,0.0,137.20248413085938
2020-02-10,0.0,42.39794158935547,0.0,123.4898681640625
2020-02-11,0.0,30.64828872680664,0.0,166.8234405517578
2020-02-12,0.0,42.715248107910156,0.0,148.11866760253906
2020-02-13,0.0,43.869407653808594,0.0,215.1354522705078
2020-02-14,0.0,57.10005569458008,0.0,159.76324462890625
2020-02-15,0.0,43.610557556152344,0.0,162.40342712402344
2020-02-16,0.0,49.834922790527344,0.0,137.20248413085938
2020-02-17,0.0,42.39794158935547,0.0,123.4898681640625
2020-02-18,0.0,30.64828872680664,0.0,166.8234405517578
2020-02-19,0.0,42.715248107910156,0.0,148.11866760253906
2020-02-20,0.0,43.869407653808594,0.0,215.1354522705078
2020-02-21,0.0,57.10005569458008,0.0,159.76324462890625
2020-02-22,0.0,43.610557556152344,0.0,162.40342712402344
2020-02-23,0.0,49.834922790527344,0.0,137.20248413085938
2020-02-24,0.0,42.39794158935547,0.0,123.4898681640625
2020-02-25,0.0,30.64828872680664,0.0,166.8234405517578
2020-02-26,0.0,42.715248107910156,0.0,148.11866760253906
2020-02-27,0.0,43.869407653808594,0.0,215.1354522705078
2020-02-28,0.0,57.10005569458008,0.0,159.76324462890625
2020-02-29,0.0,43.610557556152344,0.0,162.40342712402344
2020-03-01,0.0,49.834922790527344,0.0,137.20248413085938
2020-03-02,0.0,42.39794158935547,0.0,123.4898681640625
2020-03-03,0.0,30.64828872680664,0.0,166.8234405517578
2020-03-04,0.0,42.715248107910156,0.0,148.11866760253906
2020-03-05,3.0,43.869407653808594,0.0,215.1354522705078
2020-03-06,1.0,57.10005569458008,0.0,159.76324462890625
2020-03-07,4.0,43.610557556152344,0.0,162.40342712402344
2020-03-08,3.0,49.834922790527344,0.0,137.20248413085938
2020-03-09,2.0,42.39794158935547,0.0,123.4898681640625
2020-03-10,3.0,30.64828872680664,0.0,166.8234405517578
2020-03-11,5.0,42.715248107910156,0.0,148.11866760253906
2020-03-12,6.0,43.869407653808594,0.0,215.1354522705078
2020-03-13,17.0,57.10005569458008,0.0,159.76324462890625
2020-03-14,16.0,43.610557556152344,0.0,162.40342712402344
2020-03-15,3.0,52.54384231567383,0.0,139.19371032714844
2020-03-16,22.0,45.226173400878906,0.0,126.79952239990234
2020-03-17,25.0,33.585174560546875,0.0,168.99525451660156
2020-03-18,86.0,45.60115432739258,0.0,150.10516357421875
2020-03-19,110.0,47.487510681152344,0.0,218.09841918945312
2020-03-20,123.0,60.79524612426758,0.0,163.58775329589844
2020-03-21,153.0,47.557125091552734,0.0,166.12783813476562
2020-03-22,61.0,75.49929809570312,0.0,161.94728088378906
2020-03-23,115.0,68.42509460449219,0.0,158.76698303222656
2020-03-24,197.0,55.4158821105957,0.0,189.8970947265625
2020-03-25,274.0,67.63774871826172,0.0,163.52114868164062
2020-03-26,334.0,84.19630432128906,0.0,249.8877410888672
2020-03-27,374.0,109.6597900390625,0.0,214.27764892578125
2020-03-28,518.0,97.8895492553711,0.0,219.2564239501953
2020-03-29,337.0,192.48155212402344,39.44179153442383,253.16490173339844
2020-03-30,355.0,185.28762817382812,76.9062271118164,293.4315490722656
2020-03-31,662.0,169.92874145507812,90.10845184326172,273.7676696777344
2020-04-01,546.0,182.2544403076172,81.82392883300781,255.99008178710938
2020-04-02,714.0,235.9150848388672,142.07540893554688,378.1417541503906
2020-04-03,665.0,275.950927734375,180.40347290039062,389.56683349609375
2020-04-04,833.0,274.23773193359375,143.37294006347656,388.61163330078125
2020-04-05,642.0,463.97552490234375,372.9366760253906,537.8212280273438
2020-04-06,834.0,473.9330139160156,341.58489990234375,587.4164428710938
2020-04-07,882.0,486.3301696777344,359.7079772949219,586.6093139648438
2020-04-08,852.0,521.0032958984375,370.90924072265625,679.8244018554688
2020-04-09,1431.0,628.3564453125,522.9609985351562,705.638671875
2020-04-10,897.0,633.5416259765625,478.8197021484375,762.9925537109375
2020-04-11,918.0,639.9535522460938,524.21044921875,788.89501953125
2020-04-12,654.0,801.3515625,701.4322509765625,946.77685546875
2020-04-13,598.0,821.4378662109375,653.607177734375,969.3798828125
2020-04-14,731.0,847.6077880859375,718.2769775390625,1026.8370361328125
2020-04-15,901.0,897.1594848632812,726.1409301757812,1125.987060546875
2020-04-16,969.0,1021.0494384765625,917.5279541015625,1150.7135009765625
2020-04-17,973.0,1004.3385009765625,811.63525390625,1211.87841796875
2020-04-18,855.0,1034.77978515625,850.168701171875,1276.2994384765625
2020-04-19,556.0,1062.619384765625,957.1801147460938,1206.406982421875
2020-04-20,491.0,968.9630126953125,810.097412109375,1214.2784423828125
2020-04-21,913.0,803.9090576171875,595.2792358398438,1199.1719970703125
2020-04-22,657.0,686.4441528320312,414.214111328125,1131.8121337890625
