,Vermont,forecast,interval_low,interval_high
2020-01-23,0.0,0.04244077205657959,0.000900954008102417,0.2077324390411377
2020-01-24,0.0,-0.017893195152282715,-0.06649774312973022,-0.00021713972091674805
2020-01-25,0.0,0.03593234345316887,0.00030472874641418457,0.14876022934913635
2020-01-26,0.0,-0.0006878495332784951,-0.0017823576927185059,0.0007941126823425293
2020-01-27,0.0,0.00034902693005278707,0.0001755058765411377,0.0005647838115692139
2020-01-28,0.0,0.0024664937518537045,-0.0007825493812561035,0.008396953344345093
2020-01-29,0.0,0.00014976263628341258,-0.001400589942932129,0.002740204334259033
2020-01-30,0.0,0.018825238570570946,-0.003441035747528076,0.09631311893463135
2020-01-31,0.0,-0.0016958415508270264,-0.007194697856903076,0.00023633241653442383
2020-02-01,0.0,-0.0008661568281240761,-0.004073202610015869,0.00041407346725463867
2020-02-02,0.0,0.04601588845252991,7.599592208862305e-05,0.18781903386116028
2020-02-03,0.0,-0.001053541898727417,-0.005190134048461914,0.0023577511310577393
2020-02-04,0.0,-0.0028273940552026033,-0.012897193431854248,0.0004950165748596191
2020-02-05,0.0,-0.0025197863578796387,-0.009304523468017578,0.0002968907356262207
2020-02-06,0.0,-0.0009225785615853965,-0.021094977855682373,0.011455923318862915
2020-02-07,0.0,-1.0198355084867217e-05,-0.0007557868957519531,0.0007103085517883301
2020-02-08,0.0,0.0004116952477488667,-0.003486037254333496,0.0035824477672576904
2020-02-09,0.0,-0.0007638335227966309,-0.002469003200531006,0.0002745091915130615
2020-02-10,0.0,-3.353357169544324e-05,-0.0006747245788574219,0.0006125569343566895
2020-02-11,0.0,0.000634741794783622,-1.0728836059570312e-05,0.001149505376815796
2020-02-12,0.0,-0.0048563601449131966,-0.02971118688583374,0.0038580894470214844
2020-02-13,0.0,-5.347132537281141e-05,-0.004453897476196289,0.005622744560241699
2020-02-14,0.0,-0.00024794338969513774,-0.003248453140258789,0.0014759302139282227
2020-02-15,0.0,0.0007605195278301835,-0.0016868114471435547,0.0046125054359436035
2020-02-16,0.0,0.012846308760344982,0.000644981861114502,0.056691110134124756
2020-02-17,0.0,-0.002234387444332242,-0.00776827335357666,-0.0005390048027038574
2020-02-18,0.0,5.595088077825494e-05,-0.002171933650970459,0.003299921751022339
2020-02-19,0.0,-0.0001306712656514719,-0.0032259225845336914,0.0008170008659362793
2020-02-20,0.0,-0.00031149983988143504,-0.006235480308532715,0.0018079876899719238
2020-02-21,0.0,-0.01638171076774597,-0.05501270294189453,0.007741302251815796
2020-02-22,0.0,-0.001378560089506209,-0.0037224292755126953,0.0003508329391479492
2020-02-23,0.0,0.0006591498968191445,-0.0010309815406799316,0.002135634422302246
2020-02-24,0.0,0.0031250356696546078,-0.0007663965225219727,0.013741642236709595
2020-02-25,0.0,-0.002007424831390381,-0.010850131511688232,0.0006068050861358643
2020-02-26,0.0,-0.0075560687109827995,-0.033470988273620605,0.0004779696464538574
2020-02-27,0.0,0.01735100708901882,-0.0018627643585205078,0.09154373407363892
2020-02-28,0.0,0.000934773706831038,-0.0008434653282165527,0.002447456121444702
2020-02-29,0.0,0.0005358516937121749,-0.0009154677391052246,0.0012229084968566895
2020-03-01,0.0,-0.001355248736217618,-0.007898509502410889,0.001022636890411377
2020-03-02,0.0,-0.0024593770503997803,-0.013158857822418213,0.0008001923561096191
2020-03-03,0.0,-0.0002962946891784668,-0.001416921615600586,0.0009335875511169434
2020-03-04,0.0,-0.0004188239690847695,-0.0007190108299255371,5.7131052017211914e-05
2020-03-05,0.0,0.039146918803453445,-0.0008287429809570312,0.19482532143592834
2020-03-06,0.0,-0.00040787458419799805,-0.0024268627166748047,0.0006131231784820557
2020-03-07,0.0,0.016655225306749344,-0.0012080073356628418,0.08357185125350952
2020-03-08,0.0,-0.0009773612255230546,-0.004353761672973633,0.00025385618209838867
2020-03-09,0.0,0.0007417321321554482,-0.00019371509552001953,0.0017542839050292969
2020-03-10,0.0,0.00024071335792541504,-0.0006669163703918457,0.0012685656547546387
2020-03-11,0.0,-0.0029774189461022615,-0.009952723979949951,9.357929229736328e-05
2020-03-12,0.0,0.001040214323438704,-0.0009682774543762207,0.002971142530441284
2020-03-13,0.0,-0.002868521260097623,-0.0110740065574646,0.0007227063179016113
2020-03-14,0.0,-0.00023900865926407278,-0.002743661403656006,0.001845329999923706
2020-03-15,0.0,-0.00037277938099578023,-0.002307593822479248,0.001436859369277954
2020-03-16,0.0,0.004100435879081488,-0.00018829107284545898,0.018236428499221802
2020-03-17,0.0,0.0049134790897369385,-0.0007808208465576172,0.023556292057037354
2020-03-18,0.0,0.000659686338622123,0.00016745924949645996,0.0012927353382110596
2020-03-19,2.0,1.9973804950714111,1.995202660560608,2.0009846687316895
2020-03-20,0.0,0.34360361099243164,-0.0004411935806274414,1.7162740230560303
2020-03-21,0.0,0.29024213552474976,-0.0002047419548034668,1.3680353164672852
2020-03-22,0.0,-0.0001614093780517578,-0.0012753605842590332,0.0015232264995574951
2020-03-23,3.0,2.9978766441345215,2.996964931488037,2.998704671859741
2020-03-24,2.0,1.8398189544677734,1.1966102123260498,2.0026309490203857
2020-03-25,1.0,1.0569202899932861,0.9978079795837402,1.2417373657226562
2020-03-26,1.0,1.162926435470581,1.0004887580871582,1.8078974485397339
2020-03-27,1.0,0.9052392244338989,0.5218583941459656,1.0025179386138916
2020-03-28,2.0,1.624611496925354,0.13219040632247925,1.9988681077957153
2020-03-29,0.0,0.00015882254228927195,-0.0004950165748596191,0.0011105239391326904
