,Michigan,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
2020-02-03,0.0,819.74560546875,54.277156829833984,1208.48095703125
2020-02-04,0.0,985.6629028320312,54.59425354003906,1496.716064453125
2020-02-05,0.0,1185.7366943359375,136.43328857421875,1818.3968505859375
2020-02-06,0.0,1358.2503662109375,94.92305755615234,2091.425048828125
2020-02-07,0.0,1678.8677978515625,415.334716796875,2422.66064453125
2020-02-08,0.0,1908.82421875,465.13525390625,2780.681640625
2020-02-09,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
2020-02-10,0.0,819.74560546875,54.277156829833984,1208.48095703125
2020-02-11,0.0,985.6629028320312,54.59425354003906,1496.716064453125
2020-02-12,0.0,1185.7366943359375,136.43328857421875,1818.3968505859375
2020-02-13,0.0,1358.2503662109375,94.92305755615234,2091.425048828125
2020-02-14,0.0,1678.8677978515625,415.334716796875,2422.66064453125
2020-02-15,0.0,1908.82421875,465.13525390625,2780.681640625
2020-02-16,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
2020-02-17,0.0,819.74560546875,54.277156829833984,1208.48095703125
2020-02-18,0.0,985.6629028320312,54.59425354003906,1496.716064453125
2020-02-19,0.0,1185.7366943359375,136.43328857421875,1818.3968505859375
2020-02-20,0.0,1358.2503662109375,94.92305755615234,2091.425048828125
2020-02-21,0.0,1678.8677978515625,415.334716796875,2422.66064453125
2020-02-22,0.0,1908.82421875,465.13525390625,2780.681640625
2020-02-23,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
2020-02-24,0.0,819.74560546875,54.277156829833984,1208.48095703125
2020-02-25,0.0,985.6629028320312,54.59425354003906,1496.716064453125
2020-02-26,0.0,1185.7366943359375,136.43328857421875,1818.3968505859375
2020-02-27,0.0,1358.2503662109375,94.92305755615234,2091.425048828125
2020-02-28,0.0,1678.8677978515625,415.334716796875,2422.66064453125
2020-02-29,0.0,1908.82421875,465.13525390625,2780.681640625
2020-03-01,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
2020-03-02,0.0,819.74560546875,54.277156829833984,1208.48095703125
2020-03-03,0.0,985.6629028320312,54.59425354003906,1496.716064453125
2020-03-04,0.0,1185.7366943359375,136.43328857421875,1818.3968505859375
2020-03-05,0.0,1358.2503662109375,94.92305755615234,2091.425048828125
2020-03-06,0.0,1678.8677978515625,415.334716796875,2422.66064453125
2020-03-07,0.0,1908.82421875,465.13525390625,2780.681640625
2020-03-08,0.0,694.6267700195312,23.815189361572266,1142.4661865234375
