,Alaska,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-02-03,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-02-04,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-02-05,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-02-06,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-02-07,0.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-02-08,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-02-09,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-02-10,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-02-11,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-02-12,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-02-13,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-02-14,0.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-02-15,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-02-16,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-02-17,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-02-18,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-02-19,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-02-20,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-02-21,0.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-02-22,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-02-23,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-02-24,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-02-25,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-02-26,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-02-27,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-02-28,0.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-02-29,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-03-01,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-03-02,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-03-03,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-03-04,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-03-05,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-03-06,0.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-03-07,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-03-08,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-03-09,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-03-10,0.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-03-11,0.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-03-12,0.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-03-13,1.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-03-14,0.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-03-15,0.0,0.5170451998710632,0.4416355490684509,0.6445637941360474
2020-03-16,0.0,0.3392620086669922,0.1941496729850769,0.4886959493160248
2020-03-17,2.0,0.5474740862846375,0.2574308216571808,0.7311707735061646
2020-03-18,2.0,1.3258886337280273,1.210410714149475,1.4461073875427246
2020-03-19,3.0,1.5023208856582642,1.168025255203247,1.925864815711975
2020-03-20,3.0,1.7695287466049194,1.6530765295028687,1.8413325548171997
2020-03-21,2.0,1.516912579536438,1.315096378326416,1.8729939460754395
2020-03-22,5.0,1.5381850004196167,1.349921464920044,1.7458879947662354
2020-03-23,12.0,1.0977072715759277,1.0676873922348022,1.141624927520752
2020-03-24,4.0,1.291037917137146,0.8465956449508667,1.5538831949234009
2020-03-25,7.0,1.9881457090377808,1.7906427383422852,2.1013870239257812
2020-03-26,15.0,2.110074758529663,1.7466709613800049,2.4567503929138184
2020-03-27,2.0,2.591301918029785,2.552443265914917,2.6111135482788086
2020-03-28,27.0,2.2779953479766846,2.0571703910827637,2.6497387886047363
2020-03-29,17.0,6.333163738250732,5.819648742675781,6.830993175506592
2020-03-30,12.0,5.459171295166016,5.268776893615723,5.762721061706543
2020-03-31,5.0,5.4403300285339355,4.750544548034668,5.968242645263672
2020-04-01,13.0,6.2250823974609375,5.5190749168396,6.934802532196045
2020-04-02,11.0,6.543962001800537,6.0090179443359375,6.958080291748047
2020-04-03,14.0,7.388073444366455,7.170198440551758,7.732018947601318
2020-04-04,14.0,7.356319427490234,7.138079643249512,7.728137969970703
2020-04-05,14.0,12.446304321289062,11.892105102539062,13.352934837341309
2020-04-06,5.0,13.91437816619873,12.562925338745117,14.949005126953125
2020-04-07,23.0,14.248091697692871,13.293839454650879,15.471660614013672
2020-04-08,13.0,14.926682472229004,14.436336517333984,15.529906272888184
2020-04-09,9.0,14.954132080078125,14.792729377746582,15.050497055053711
2020-04-10,11.0,14.844130516052246,14.059746742248535,16.206745147705078
2020-04-11,11.0,14.76740550994873,13.916804313659668,15.630695343017578
2020-04-12,15.0,14.973856925964355,13.525540351867676,16.139598846435547
