,Pennsylvania,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,4.7376315696670215,4.7376315696670215,4.7376315696670215
2020-01-25,0.0,6.661589197869215,6.661589197869215,6.661589197869215
2020-01-26,0.0,8.400171800727435,8.400171800727435,8.400171800727435
2020-01-27,0.0,9.312962595719,9.312962595719,9.312962595719
2020-01-28,0.0,11.862580602122181,11.862580602122181,11.862580602122181
2020-01-29,0.0,14.027289001439675,14.027289001439675,14.027289001439675
2020-01-30,0.0,14.50529827835322,14.50529827835322,14.50529827835322
2020-01-31,0.0,13.054347181576892,13.054347181576892,13.054347181576892
2020-02-01,0.0,10.925300815041972,10.925300815041972,10.925300815041972
2020-02-02,0.0,9.346270577328381,9.346270577328381,9.346270577328381
2020-02-03,0.0,8.732013056336026,8.732013056336026,8.732013056336026
2020-02-04,0.0,9.004430541470022,9.004430541470022,9.004430541470022
2020-02-05,0.0,9.899222349611389,9.899222349611389,9.899222349611389
2020-02-06,0.0,11.016593650626884,11.016593650626884,11.016593650626884
2020-02-07,0.0,11.829996558103481,11.829996558103481,11.829996558103481
2020-02-08,0.0,11.89957288618697,11.89957288618697,11.89957288618697
2020-02-09,0.0,11.228391231256314,11.228391231256314,11.228391231256314
2020-02-10,0.0,10.273352262016193,10.273352262016193,10.273352262016193
2020-02-11,0.0,9.539679612176757,9.539679612176757,9.539679612176757
2020-02-12,0.0,9.287757627187226,9.287757627187226,9.287757627187226
2020-02-13,0.0,9.52895553033682,9.52895553033682,9.52895553033682
2020-02-14,0.0,10.10585120056282,10.10585120056282,10.10585120056282
2020-02-15,0.0,10.74637677338999,10.74637677338999,10.74637677338999
2020-02-16,0.0,11.13940407482011,11.13940407482011,11.13940407482011
2020-02-17,0.0,11.088362710939142,11.088362710939142,11.088362710939142
2020-02-18,0.0,10.650860132443412,10.650860132443412,10.650860132443412
2020-02-19,0.0,10.092268844817493,10.092268844817493,10.092268844817493
2020-02-20,0.0,9.691062087070563,9.691062087070563,9.691062087070563
2020-02-21,0.0,9.596920268876293,9.596920268876293,9.596920268876293
2020-02-22,0.0,9.808248779689208,9.808248779689208,9.808248779689208
2020-02-23,0.0,10.20479518518297,10.20479518518297,10.20479518518297
2020-02-24,0.0,10.594795139544162,10.594795139544162,10.594795139544162
2020-02-25,0.0,10.789051457404003,10.789051457404003,10.789051457404003
2020-02-26,0.0,10.699243549882075,10.699243549882075,10.699243549882075
2020-02-27,0.0,10.392861104702899,10.392861104702899,10.392861104702899
2020-02-28,0.0,10.042863572308,10.042863572308,10.042863572308
2020-02-29,0.0,9.817032142535824,9.817032142535824,9.817032142535824
2020-03-01,0.0,9.799890470953036,9.799890470953036,9.799890470953036
2020-03-02,0.0,9.975933386582104,9.975933386582104,9.975933386582104
2020-03-03,0.0,10.250100557859502,10.250100557859502,10.250100557859502
2020-03-04,0.0,10.488569468151383,10.488569468151383,10.488569468151383
2020-03-05,0.0,10.57768266799366,10.57768266799366,10.57768266799366
2020-03-06,2.0,12.48279871831914,12.48279871831914,12.48279871831914
2020-03-07,0.0,8.818756136241028,8.818756136241028,8.818756136241028
2020-03-08,4.0,14.426455149584845,14.426455149584845,14.426455149584845
2020-03-09,1.0,8.519422878112877,8.519422878112877,8.519422878112877
2020-03-10,5.0,15.17907391125203,15.17907391125203,15.17907391125203
2020-03-11,4.0,12.211865687588116,12.211865687588116,12.211865687588116
2020-03-12,6.0,15.399960114682402,15.399960114682402,15.399960114682402
2020-03-13,19.0,28.40393407151302,28.40393407151302,28.40393407151302
2020-03-14,6.0,6.199753748303433,6.199753748303433,6.199753748303433
2020-03-15,0.0,12.91566379891951,12.91566379891951,12.91566379891951
2020-03-16,32.0,50.02184238057484,50.02184238057484,50.02184238057484
2020-03-17,33.0,24.847316377798467,24.847316377798467,24.847316377798467
2020-03-18,43.0,41.07412488491654,41.07412488491654,41.07412488491654
2020-03-19,51.0,48.270566921143825,48.270566921143825,48.270566921143825
2020-03-20,105.0,97.80198556123788,97.80198556123788,97.80198556123788
2020-03-21,88.0,51.218138806404525,51.218138806404525,51.218138806404525
2020-03-22,110.0,104.42032598757774,104.42032598757774,104.42032598757774
2020-03-23,189.0,184.15309709654156,184.15309709654156,184.15309709654156
2020-03-24,248.0,194.67753641179047,194.67753641179047,194.67753641179047
2020-03-25,314.0,250.29880398342848,250.29880398342848,250.29880398342848
2020-03-26,535.0,457.53286147779056,457.53286147779056,457.53286147779056
2020-03-27,550.0,346.1046466658609,346.1046466658609,346.1046466658609
2020-03-28,500.0,365.30409132364866,365.30409132364866,365.30409132364866
2020-03-29,587.0,577.9451324487974,577.9451324487974,577.9451324487974
2020-03-30,723.0,695.9593512603525,695.9593512603525,695.9593512603525
2020-03-31,808.0,756.4739063995769,756.4739063995769,756.4739063995769
2020-04-01,1046.0,1008.6303339146036,1008.6303339146036,1008.6303339146036
2020-04-02,1259.0,1075.991805775207,1075.991805775207,1075.991805775207
2020-04-03,1302.0,1003.271878564283,1003.271878564283,1003.271878564283
2020-04-04,1874.0,1643.454022635196,1643.454022635196,1643.454022635196
2020-04-05,1145.0,606.6014828097886,606.6014828097886,606.6014828097886
2020-04-06,1538.0,1761.6555834248065,1761.6555834248065,1761.6555834248065
2020-04-07,1726.0,1797.1440100287944,1797.1440100287944,1797.1440100287944
2020-04-08,1778.0,1730.633644418192,1730.633644418192,1730.633644418192
2020-04-09,1669.0,1780.648965103225,1780.648965103225,1780.648965103225
2020-04-10,1751.0,1853.2496629714676,1853.2496629714676,1853.2496629714676
