,Rhode Island,forecast,interval_low,interval_high
2020-03-30,408.0,17768.17341647525,,
2020-03-31,488.0,17719.47590270261,,
2020-04-01,566.0,17757.201487261176,,
2020-04-02,645.0,17796.388057837776,,
2020-04-03,711.0,17766.48265626949,,
2020-04-04,806.0,17803.23881206041,,
2020-04-05,922.0,17781.046168296227,,
2020-04-06,1082.0,17767.410693680875,,
2020-04-07,1229.0,17731.956510681142,,
2020-04-08,1450.0,17746.665142636288,,
2020-04-09,1727.0,17709.337848946616,,
2020-04-10,1727.0,17645.41627009107,,
2020-04-11,2349.0,17944.90943235424,,
2020-04-12,2665.0,17447.49949455529,,
2020-04-13,2665.0,17544.20923689941,,
2020-04-14,3251.0,18246.237225350076,,
2020-04-15,3251.0,17397.25867464291,,
2020-04-16,3529.0,17933.80935239586,,
2020-04-17,4177.0,17995.380570897374,,
2020-04-18,4491.0,17314.789496637433,,
2020-04-19,4706.0,17843.830661753167,,
2020-04-20,5090.0,17918.486472240875,,
2020-04-21,5500.0,17736.31062406935,,
2020-04-22,5841.0,17612.3803106473,,
2020-04-23,6256.0,17894.165248588975,,
2020-04-24,6699.0,17803.43745337004,,
2020-04-25,7129.0,17651.98953791342,,
2020-04-26,7439.0,17752.835704522833,,
2020-04-27,7708.0,17881.463133995494,,
2020-04-28,7927.0,17915.078288384397,,
2020-04-29,8247.0,17893.161145019676,,
2020-04-30,8621.0,17845.1776373217,,
2020-05-01,8962.0,17739.603052125727,,
2020-05-02,9289.0,17807.420179087097,,
2020-05-03,9477.0,17771.84943876966,,
2020-05-04,9652.0,17884.532792982453,,
2020-05-05,9933.0,17910.890114739414,,
2020-05-06,10205.0,17781.221154887407,,
2020-05-07,10530.0,17807.389437651727,,
2020-05-08,10779.0,17770.992394677778,,
2020-05-09,10989.0,17786.85318112393,,
2020-05-10,11274.0,17841.47222472918,,
2020-05-11,11450.0,17742.798699642164,,
2020-05-12,11614.0,17871.9981259865,,
2020-05-13,11835.0,17906.852138367743,,
2020-05-14,12016.0,17785.388223019676,,
2020-05-15,12219.0,17824.220518320588,,
2020-05-16,12434.0,17814.944063591418,,
2020-05-17,12674.0,17779.421619881887,,
2020-05-18,12795.0,17752.92287201251,,
2020-05-19,12951.0,17857.785348706573,,
2020-05-20,13356.0,17861.42761218332,,
2020-05-21,13571.0,17566.31972255644,,
2020-05-22,13736.0,17784.13772775535,,
2020-05-23,13952.0,17929.048115314086,,
2020-05-24,14065.0,17732.862694352538,,
2020-05-25,14065.0,17872.18679454036,,
2020-05-26,14210.0,18002.298182794406,,
2020-05-27,14353.0,17855.2066745428,,
2020-05-28,14494.0,17741.221153717317,,
2020-05-29,14635.0,17838.275361189557,,
2020-05-30,14819.0,17771.33090744394,,
2020-05-31,14928.0,17731.993828078655,,
2020-06-01,14991.0,17782.492067956748,,
2020-06-02,15112.0,17900.50816955768,,
2020-06-03,15219.0,17782.57190878324,,
2020-06-04,15325.0,17803.889627477758,,
2020-06-05,15441.0,17827.519289806816,,
2020-06-06,15441.0,17792.164815696833,,
2020-06-07,15441.0,17877.58090811067,,
2020-06-08,15642.0,17885.444924545132,,
2020-06-09,15691.0,17667.950779428007,,
2020-06-10,15756.0,17806.523086686455,,
2020-06-11,15862.0,17880.696793964602,,
2020-06-12,15947.0,17705.882684612563,,
2020-06-13,15947.0,17789.49490334602,,
2020-06-14,15947.0,17865.557485134876,,
2020-06-15,16093.0,17898.36171068462,,
2020-06-16,16164.0,17679.321267972107,,
2020-06-17,16213.0,17782.876818228066,,
2020-06-18,16269.0,17860.339431850116,,
2020-06-19,16337.0,17764.98085457892,,
2020-06-20,16337.0,17779.655128814156,,
2020-06-21,16337.0,17843.96746889389,,
2020-06-22,16459.0,17881.901793079986,,
2020-06-23,16533.0,17700.78215491354,,
2020-06-24,16606.0,17763.109551276048,,
2020-06-25,16640.0,17813.50553036059,,
2020-06-26,16661.0,17788.995756389908,,
2020-06-27,16661.0,17826.155523592253,,
2020-06-28,16661.0,17827.293697311845,,
2020-06-29,16764.0,17861.560221651704,,
2020-06-30,16813.0,17727.457267143618,,
2020-07-01,16853.0,17775.930604540303,,
2020-07-02,16941.0,17819.602313739404,,
2020-07-03,16991.0,17724.75280139584,,
2020-07-04,16991.0,17785.714251295994,,
2020-07-05,16991.0,17853.1203008527,,
2020-07-06,16991.0,17847.202838952282,,
2020-07-07,17154.0,17814.710790484063,,
2020-07-08,17204.0,17689.17281177095,,
2020-07-09,17243.0,17771.397270867717,,
2020-07-10,17312.0,17854.85441898434,,
2020-07-11,17312.0,17718.948904575383,,
2020-07-12,17312.0,17848.344527650366,,
2020-07-13,17487.0,17849.47934011151,,
2020-07-14,17588.0,17695.41673111018,,
2020-07-15,17640.0,17720.87014152685,,
2020-07-16,17711.0,17859.272548556874,,
2020-07-17,17793.0,17760.588573523255,,
2020-07-18,17793.0,17770.051813951133,,
2020-07-19,,17861.58776802179,17727.40360015739,17995.771935886187
2020-07-20,,17977.253435389808,17772.293753724938,18182.213117054678
2020-07-21,,18009.862668300182,17754.969387110294,18264.75594949007
2020-07-22,,18089.19101159158,17750.52977020761,18427.852252975554
2020-07-23,,18171.62461175727,17771.78187847813,18571.46734503641
2020-07-24,,18210.24203435988,17744.178229104466,18676.305839615292
2020-07-25,,18280.97527464684,17726.498703867397,18835.451845426283
