,Iowa,forecast,interval_low,interval_high
2020-06-04,506.0,483.0846686265335,,
2020-06-05,348.0,222.16028967392407,,
2020-06-06,324.0,372.03912870966116,,
2020-06-07,234.0,352.929235648074,,
2020-06-08,295.0,470.0744829904948,,
2020-06-09,230.0,427.4837893250722,,
2020-06-10,389.0,563.5386351000382,,
2020-06-11,347.0,423.83548860725557,,
2020-06-12,377.0,440.21587591335026,,
2020-06-13,367.0,335.9751991162428,,
2020-06-14,209.0,320.3222507338953,,
2020-06-15,156.0,458.68004893821444,,
2020-06-16,97.0,554.9510103695783,,
2020-06-17,281.0,646.8273747436067,,
2020-06-18,401.0,466.8570792398289,,
2020-06-19,413.0,336.5271572030493,,
2020-06-20,222.0,268.9089668533197,,
2020-06-21,467.0,406.7453403272872,,
2020-06-22,183.0,139.69923024956688,,
2020-06-23,323.0,469.9119172360526,,
2020-06-24,132.0,426.04346814189626,,
2020-06-25,772.0,714.838553790372,,
2020-06-26,344.0,54.04357292102543,,
2020-06-27,356.0,479.87683887253917,,
2020-06-28,447.0,379.22698158318826,,
2020-06-29,325.0,307.8573236897433,,
2020-06-30,229.0,364.2882244846774,,
2020-07-01,440.0,592.914058696326,,
2020-07-02,745.0,459.7456744008382,,
2020-07-03,204.0,155.81557434004537,,
2020-07-04,598.0,649.2411068443928,,
2020-07-05,456.0,218.11267418261207,,
2020-07-06,241.0,323.85522900941146,,
2020-07-07,395.0,509.33132681773924,,
2020-07-08,471.0,517.8697438105463,,
2020-07-09,630.0,437.4829615783714,,
2020-07-10,918.0,284.47040442431035,,
2020-07-11,486.0,20.847587167460176,,
2020-07-12,752.0,398.8002413809663,,
2020-07-13,221.0,139.59184554109822,,
2020-07-14,235.0,719.8714282750324,,
2020-07-15,670.0,736.6935050719342,,
2020-07-16,814.0,450.5009763554341,,
2020-07-17,553.0,260.6865392953852,,
2020-07-18,410.0,485.45834419010396,,
2020-07-19,,493.41571266446226,273.59194313356073,713.2394821953637
2020-07-20,,352.8943650995753,132.53375201405598,573.2549781850946
2020-07-21,,372.9242484324192,150.97641919154685,594.8720776732915
2020-07-22,,538.5910360212399,314.0111841877962,763.1708878546837
2020-07-23,,652.8077818095364,421.9862706152792,883.6292930037937
2020-07-24,,611.519267139372,378.07330688116804,844.965227397576
2020-07-25,,528.131289504328,280.7809558770074,775.4816231316487
