,Missouri,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.03109110949280632,0.03109110949280632,0.03109110949280632
2020-01-25,0.0,0.04420012984828958,0.04420012984828958,0.04420012984828958
2020-01-26,0.0,0.056338656700063924,0.056338656700063924,0.056338656700063924
2020-01-27,0.0,0.0657921082411908,0.0657921082411908,0.0657921082411908
2020-01-28,0.0,0.08183045243300428,0.08183045243300428,0.08183045243300428
2020-01-29,0.0,0.10389341452723999,0.10389341452723999,0.10389341452723999
2020-01-30,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-01-31,0.0,0.10389341452723998,0.10389341452723998,0.10389341452723998
2020-02-01,0.0,0.10389341452724003,0.10389341452724003,0.10389341452724003
2020-02-02,0.0,0.10389341452724003,0.10389341452724003,0.10389341452724003
2020-02-03,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-04,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-05,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-06,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-07,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-08,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-09,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-10,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-11,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-12,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-13,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-14,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-15,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-16,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-17,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-18,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-19,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-20,0.0,0.10389341452724,0.10389341452724,0.10389341452724
2020-02-21,0.0,0.10389341452724,0.10389341452724,0.10389341452724
