,New Jersey,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.19997852736954874,0.19997852736954874,0.19997852736954874
2020-01-25,0.0,0.2939524129035604,0.2939524129035604,0.2939524129035604
2020-01-26,0.0,0.3805464194382956,0.3805464194382956,0.3805464194382956
2020-01-27,0.0,0.45977239483148785,0.45977239483148785,0.45977239483148785
2020-01-28,0.0,0.5603539719250367,0.5603539719250367,0.5603539719250367
2020-01-29,0.0,0.6815386037493004,0.6815386037493004,0.6815386037493004
2020-01-30,0.0,0.7908159153852934,0.7908159153852934,0.7908159153852934
2020-01-31,0.0,0.8873055230043476,0.8873055230043476,0.8873055230043476
2020-02-01,0.0,0.9709347182729278,0.9709347182729278,0.9709347182729278
2020-02-02,0.0,1.0422577047370547,1.0422577047370547,1.0422577047370547
2020-02-03,0.0,1.1022532764606696,1.1022532764606696,1.1022532764606696
2020-02-04,0.0,1.1521384516130853,1.1521384516130853,1.1521384516130853
2020-02-05,0.0,1.193218528263267,1.193218528263267,1.193218528263267
2020-02-06,0.0,1.226779575974518,1.226779575974518,1.226779575974518
2020-02-07,0.0,1.254020053243057,1.254020053243057,1.254020053243057
2020-02-08,0.0,1.2760138139077999,1.2760138139077999,1.2760138139077999
2020-02-09,0.0,1.2936957915866945,1.2936957915866945,1.2936957915866945
2020-02-10,0.0,1.307862582300284,1.307862582300284,1.307862582300284
2020-02-11,0.0,1.3191818247032094,1.3191818247032094,1.3191818247032094
2020-02-12,0.0,1.328206017592147,1.328206017592147,1.328206017592147
2020-02-13,0.0,1.335387894256496,1.335387894256496,1.335387894256496
2020-02-14,0.0,1.3410955979667203,1.3410955979667203,1.3410955979667203
2020-02-15,0.0,1.3456266927114937,1.3456266927114937,1.3456266927114937
2020-02-16,0.0,1.3492205628328728,1.3492205628328728,1.3492205628328728
2020-02-17,0.0,1.3520690758748377,1.3520690758748377,1.3520690758748377
2020-02-18,0.0,1.3543255665987737,1.3543255665987737,1.3543255665987737
2020-02-19,0.0,1.3561122943023818,1.3561122943023818,1.3561122943023818
2020-02-20,0.0,1.357526564288899,1.357526564288899,1.357526564288899
2020-02-21,0.0,1.3586457105758307,1.3586457105758307,1.3586457105758307
2020-02-22,0.0,1.3595311256028246,1.3595311256028246,1.3595311256028246
2020-02-23,0.0,1.3602315030464596,1.3602315030464596,1.3602315030464596
2020-02-24,0.0,1.3607854373612203,1.3607854373612203,1.3607854373612203
2020-02-25,0.0,1.3612235014072869,1.3612235014072869,1.3612235014072869
2020-02-26,0.0,1.36156990306155,1.36156990306155,1.36156990306155
2020-02-27,0.0,1.3618438037044018,1.3618438037044018,1.3618438037044018
2020-02-28,0.0,1.3620603660841482,1.3620603660841482,1.3620603660841482
2020-02-29,0.0,1.362231586161984,1.362231586161984,1.362231586161984
2020-03-01,0.0,1.3623669528819125,1.3623669528819125,1.3623669528819125
2020-03-02,0.0,1.3624739710935851,1.3624739710935851,1.3624739710935851
2020-03-03,0.0,1.3625585757829939,1.3625585757829939,1.3625585757829939
2020-03-04,0.0,1.36262546005996,1.36262546005996,1.36262546005996
2020-03-05,0.0,1.362678334768852,1.362678334768852,1.362678334768852
2020-03-06,0.0,1.362720133921393,1.362720133921393,1.362720133921393
2020-03-07,0.0,1.362753177222977,1.362753177222977,1.362753177222977
2020-03-08,0.0,1.3627792986320855,1.3627792986320855,1.3627792986320855
2020-03-09,0.0,1.3627999480380242,1.3627999480380242,1.3627999480380242
2020-03-10,1.0,2.3628162716694066,2.3628162716694066,2.3628162716694066
2020-03-11,0.0,0.5165190594539242,0.5165190594539242,0.5165190594539242
2020-03-12,0.0,1.455513006286727,1.455513006286727,1.455513006286727
2020-03-13,0.0,1.417839770687545,1.417839770687545,1.417839770687545
