,Wisconsin,forecast,interval_low,interval_high
2020-03-11,4.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-03-12,8.0,339.4163513183594,64.2666015625,598.8614501953125
2020-03-13,19.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-03-14,27.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-03-15,28.0,100.59432220458984,0.0,273.1902770996094
2020-03-16,48.0,127.84297943115234,0.0,315.1815185546875
2020-03-17,73.0,214.710205078125,0.0,449.6266784667969
2020-03-18,111.0,304.47467041015625,43.792884826660156,548.447509765625
2020-03-19,159.0,339.8574523925781,64.78547668457031,599.231689453125
2020-03-20,219.0,357.7860412597656,71.71668243408203,641.8333740234375
2020-03-21,282.0,450.3020324707031,138.1399383544922,729.3963623046875
2020-03-22,381.0,132.04559326171875,0.0,300.4342041015625
2020-03-23,425.0,163.1021270751953,0.0,345.4925842285156
2020-03-24,481.0,242.6569366455078,22.916391372680664,471.9379577636719
2020-03-25,621.0,335.1725158691406,81.55563354492188,573.587646484375
2020-03-26,728.0,375.2770690917969,107.96498107910156,628.601806640625
2020-03-27,926.0,391.6531677246094,113.2999038696289,669.1865844726562
2020-03-28,1055.0,486.3472900390625,182.49644470214844,759.2218627929688
2020-03-29,1164.0,436.1645812988281,331.8598937988281,563.7228393554688
2020-03-30,1230.0,491.3861389160156,380.1961364746094,627.1185302734375
2020-03-31,1412.0,542.452880859375,387.25164794921875,716.8499755859375
2020-04-01,1556.0,643.738037109375,460.29071044921875,829.8038330078125
2020-04-02,1748.0,710.8051147460938,519.996337890625,907.3401489257812
2020-04-03,2012.0,733.4768676757812,534.167724609375,946.9119873046875
2020-04-04,2030.0,833.030517578125,613.2605590820312,1046.14453125
2020-04-05,2320.0,1294.54052734375,1247.9638671875,1318.831298828125
2020-04-06,2449.0,1399.2314453125,1348.5164794921875,1431.5426025390625
2020-04-07,2578.0,1434.265625,1385.3232421875,1467.782470703125
2020-04-08,2710.0,1532.29150390625,1477.7762451171875,1585.4521484375
2020-04-09,2886.0,1646.279296875,1583.850830078125,1698.42578125
2020-04-10,3068.0,1716.4754638671875,1657.774169921875,1761.5648193359375
2020-04-11,3213.0,1812.11376953125,1748.268798828125,1869.2486572265625
2020-04-12,3341.0,2561.8486328125,2463.553955078125,2735.431640625
2020-04-13,3428.0,2720.871826171875,2607.502197265625,2915.541015625
2020-04-14,3555.0,2772.227294921875,2641.891357421875,2986.08837890625
2020-04-15,3721.0,2857.2431640625,2741.845703125,3074.5361328125
2020-04-16,3875.0,3018.577392578125,2889.71875,3263.91162109375
2020-04-17,4053.0,3167.518310546875,3012.68505859375,3432.60009765625
2020-04-18,4199.0,3253.699462890625,3106.776611328125,3528.21875
2020-04-19,4346.0,3807.865478515625,3636.247802734375,4075.1845703125
2020-04-20,4499.0,3999.384521484375,3808.512939453125,4291.36865234375
2020-04-21,4625.0,4121.150390625,3885.918701171875,4461.9658203125
2020-04-22,4845.0,4177.662109375,3976.6220703125,4534.46044921875
2020-04-23,5052.0,4356.76025390625,4131.43798828125,4754.91162109375
2020-04-24,5356.0,4596.88720703125,4308.02001953125,5028.3759765625
2020-04-25,5687.0,4665.41162109375,4415.50439453125,5117.70849609375
2020-04-26,5912.0,4945.44677734375,4738.5302734375,5256.39599609375
2020-04-27,6081.0,5168.02734375,4940.48095703125,5502.849609375
2020-04-28,6289.0,5319.78857421875,5027.486328125,5724.20458984375
