,Wisconsin,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.125014737497949,0.125014737497949,0.125014737497949
2020-01-26,0.0,0.19471229758849662,0.19471229758849662,0.19471229758849662
2020-01-27,0.0,0.25209919436639605,0.25209919436639605,0.25209919436639605
2020-01-28,0.0,0.3280191652647716,0.3280191652647716,0.3280191652647716
2020-01-29,0.0,0.41428415767251836,0.41428415767251836,0.41428415767251836
2020-01-30,0.0,0.5660503464093791,0.5660503464093791,0.5660503464093791
2020-01-31,0.0,0.8503733525838065,0.8503733525838065,0.8503733525838065
2020-02-01,0.0,1.2036296673617666,1.2036296673617666,1.2036296673617666
2020-02-02,0.0,1.5799129057397359,1.5799129057397359,1.5799129057397359
2020-02-03,0.0,1.9250172736244053,1.9250172736244053,1.9250172736244053
2020-02-04,0.0,2.1912438682971316,2.1912438682971316,2.1912438682971316
2020-02-05,0.0,2.3578933194210925,2.3578933194210925,2.3578933194210925
2020-02-06,0.0,2.435643728864143,2.435643728864143,2.435643728864143
2020-02-07,0.0,2.4527101975672427,2.4527101975672427,2.4527101975672427
2020-02-08,0.0,2.4380126175910126,2.4380126175910126,2.4380126175910126
2020-02-09,0.0,2.4123540681765476,2.4123540681765476,2.4123540681765476
2020-02-10,0.0,2.387383213436859,2.387383213436859,2.387383213436859
2020-02-11,0.0,2.367990576325111,2.367990576325111,2.367990576325111
2020-02-12,0.0,2.35509916371958,2.35509916371958,2.35509916371958
2020-02-13,0.0,2.3477480714563552,2.3477480714563552,2.3477480714563552
2020-02-14,0.0,2.344367827762101,2.344367827762101,2.344367827762101
2020-02-15,0.0,2.3434469816066574,2.3434469816066574,2.3434469816066574
2020-02-16,0.0,2.343808822710942,2.343808822710942,2.343808822710942
2020-02-17,0.0,2.3446657781312767,2.3446657781312767,2.3446657781312767
2020-02-18,0.0,2.3455650666694305,2.3455650666694305,2.3455650666694305
2020-02-19,0.0,2.3462963942133697,2.3462963942133697,2.3462963942133697
2020-02-20,0.0,2.3468010272783584,2.3468010272783584,2.3468010272783584
2020-02-21,0.0,2.3470999292045844,2.3470999292045844,2.3470999292045844
2020-02-22,0.0,2.347245192022883,2.347245192022883,2.347245192022883
2020-02-23,0.0,2.3472919298889803,2.3472919298889803,2.3472919298889803
2020-02-24,0.0,2.347285138937886,2.347285138937886,2.347285138937886
2020-02-25,0.0,2.347255957281102,2.347255957281102,2.347255957281102
2020-02-26,0.0,2.3472228855406074,2.3472228855406074,2.3472228855406074
2020-02-27,0.0,2.347194958560872,2.347194958560872,2.347194958560872
2020-02-28,0.0,2.347175124153491,2.347175124153491,2.347175124153491
2020-02-29,0.0,2.3471630108889743,2.3471630108889743,2.3471630108889743
2020-03-01,0.0,2.3471568486974754,2.3471568486974754,2.3471568486974754
2020-03-02,0.0,2.34715461353872,2.34715461353872,2.34715461353872
2020-03-03,0.0,2.3471545891530434,2.3471545891530434,2.3471545891530434
2020-03-04,0.0,2.3471555528700123,2.3471555528700123,2.3471555528700123
2020-03-05,0.0,2.3471567556359627,2.3471567556359627,2.3471567556359627
2020-03-06,0.0,2.347157814690492,2.347157814690492,2.347157814690492
2020-03-07,0.0,2.3471585897081786,2.3471585897081786,2.3471585897081786
2020-03-08,0.0,2.347159077332068,2.347159077332068,2.347159077332068
2020-03-09,0.0,2.3471593358070275,2.3471593358070275,2.3471593358070275
2020-03-10,3.0,5.34715943866286,5.34715943866286,5.34715943866286
2020-03-11,1.0,0.0,0.0,0.0
2020-03-12,4.0,8.10629204783496,8.10629204783496,8.10629204783496
2020-03-13,11.0,8.185088469193854,8.185088469193854,8.185088469193854
2020-03-14,8.0,0.0,0.0,0.0
2020-03-15,1.0,3.814918343919114,3.814918343919114,3.814918343919114
2020-03-16,20.0,32.48688701133669,32.48688701133669,32.48688701133669
2020-03-17,25.0,1.1169763591368316,1.1169763591368316,1.1169763591368316
2020-03-18,38.0,27.944768409058693,27.944768409058693,27.944768409058693
2020-03-19,48.0,24.500216937968425,24.500216937968425,24.500216937968425
2020-03-20,60.0,39.421433654983005,39.421433654983005,39.421433654983005
2020-03-21,63.0,36.072722286934294,36.072722286934294,36.072722286934294
2020-03-22,99.0,87.3565605528733,87.3565605528733,87.3565605528733
2020-03-23,44.0,0.0,0.0,0.0
2020-03-24,56.0,142.3917655451325,142.3917655451325,142.3917655451325
2020-03-25,140.0,156.25377145941076,156.25377145941076,156.25377145941076
2020-03-26,107.0,10.114491147964245,10.114491147964245,10.114491147964245
2020-03-27,198.0,245.2222627055947,245.2222627055947,245.2222627055947
2020-03-28,129.0,0.0,0.0,0.0
2020-03-29,109.0,197.34467764653374,197.34467764653374,197.34467764653374
2020-03-30,66.0,102.4825458189145,102.4825458189145,102.4825458189145
2020-03-31,182.0,295.71975365810243,295.71975365810243,295.71975365810243
2020-04-01,144.0,38.47950125535408,38.47950125535408,38.47950125535408
2020-04-02,192.0,278.71595593434864,278.71595593434864,278.71595593434864
2020-04-03,264.0,223.72073484218896,223.72073484218896,223.72073484218896
2020-04-04,18.0,0.0,0.0,0.0
2020-04-05,290.0,621.6539253203321,621.6539253203321,621.6539253203321
2020-04-06,129.0,0.0,0.0,0.0
2020-04-07,129.0,365.13539639556166,365.13539639556166,365.13539639556166
2020-04-08,132.0,176.73392028625653,176.73392028625653,176.73392028625653
2020-04-09,176.0,255.0965484178506,255.0965484178506,255.0965484178506
2020-04-10,182.0,151.05597269545427,151.05597269545427,151.05597269545427
