,Mississippi,forecast,interval_low,interval_high
2020-03-09,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-03-10,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-03-11,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-03-12,1.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-03-13,6.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-03-14,6.0,677.5486450195312,613.108154296875,735.7689819335938
2020-03-15,6.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-03-16,12.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-03-17,21.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-03-18,34.0,451.3507385253906,386.2756652832031,487.76513671875
2020-03-19,50.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-03-20,80.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-03-21,140.0,677.5486450195312,613.108154296875,735.7689819335938
2020-03-22,207.0,297.7984924316406,260.5404968261719,321.6382751464844
2020-03-23,249.0,356.3603820800781,308.23126220703125,383.32501220703125
2020-03-24,320.0,417.5203552246094,366.0466613769531,446.44256591796875
2020-03-25,377.0,459.8642578125,394.0628662109375,496.2335510253906
2020-03-26,485.0,545.3269653320312,501.2069396972656,595.9066772460938
2020-03-27,579.0,576.5104370117188,516.0911254882812,643.70166015625
2020-03-28,663.0,684.0792846679688,618.8528442382812,742.268798828125
2020-03-29,759.0,424.5177001953125,375.9293212890625,450.1221618652344
2020-03-30,847.0,489.2273864746094,429.71368408203125,522.5148315429688
2020-03-31,937.0,562.516845703125,498.99652099609375,597.69580078125
2020-04-01,1073.0,626.7230834960938,548.273681640625,669.5128784179688
2020-04-02,1177.0,685.3693237304688,627.7322998046875,734.5196533203125
2020-04-03,1358.0,737.5112915039062,662.9937744140625,803.2403564453125
2020-04-04,1455.0,823.9374389648438,744.6910400390625,881.7354125976562
2020-04-05,1638.0,933.4140625,859.1325073242188,986.61083984375
2020-04-06,1738.0,1011.03173828125,926.9777221679688,1070.1146240234375
2020-04-07,1915.0,1098.6829833984375,1009.2630004882812,1160.428466796875
2020-04-08,2003.0,1184.9658203125,1081.78271484375,1253.2559814453125
2020-04-09,2260.0,1228.078125,1138.9034423828125,1273.472412109375
2020-04-10,2469.0,1312.1107177734375,1206.8531494140625,1374.48388671875
2020-04-11,2642.0,1378.63037109375,1270.8341064453125,1437.5772705078125
2020-04-12,2781.0,1760.3369140625,1651.0845947265625,1850.6729736328125
