,Guam,forecast,interval_low,interval_high
2020-01-23,0.0,-0.0017525255680084229,-0.0167730450630188,0.004074543714523315
2020-01-24,0.0,-0.0013108968269079924,-0.00880587100982666,0.0022554397583007812
2020-01-25,0.0,6.29425048828125e-05,-0.002360820770263672,0.0026154816150665283
2020-01-26,0.0,0.022061169147491455,-0.0021445155143737793,0.10944056510925293
2020-01-27,0.0,0.04107015207409859,-0.002928793430328369,0.21012157201766968
2020-01-28,0.0,-0.008893430233001709,-0.04199641942977905,0.013850152492523193
2020-01-29,0.0,-0.0023700178135186434,-0.0077994465827941895,0.00027754902839660645
2020-01-30,0.0,0.002028054092079401,0.00014531612396240234,0.008142232894897461
2020-01-31,0.0,0.0462598018348217,-0.004304826259613037,0.20098382234573364
2020-02-01,0.0,0.20143036544322968,-0.0011513829231262207,0.9345995783805847
2020-02-02,0.0,0.5842713713645935,-0.001251220703125,2.919403553009033
2020-02-03,0.0,-0.003047376871109009,-0.01892191171646118,0.0038423240184783936
2020-02-04,0.0,-0.002527296543121338,-0.00486302375793457,-1.7881393432617188e-05
2020-02-05,0.0,-0.027438456192612648,-0.14101654291152954,0.004759550094604492
2020-02-06,0.0,0.0008010089513845742,-0.002683877944946289,0.004677236080169678
2020-02-07,0.0,-0.12616410851478577,-0.44551295042037964,0.00185394287109375
2020-02-08,0.0,-0.036741502583026886,-0.17973041534423828,0.0024078190326690674
2020-02-09,0.0,-0.009087741374969482,-0.047599077224731445,0.00847896933555603
2020-02-10,0.0,-0.04358164593577385,-0.18559610843658447,0.0019210875034332275
2020-02-11,0.0,0.0658373087644577,0.000776141881942749,0.2545992434024811
2020-02-12,0.0,0.00020033717737533152,-0.0038145780563354492,0.004570603370666504
2020-02-13,0.0,-0.07407672703266144,-0.3391622304916382,-0.0016657114028930664
2020-02-14,0.0,-0.020349686965346336,-0.10400456190109253,0.0024749338626861572
2020-02-15,0.0,0.0906529650092125,-0.029239177703857422,0.47252440452575684
2020-02-16,0.0,-0.0014853418106213212,-0.0052947998046875,0.0005181431770324707
2020-02-17,0.0,0.04539285972714424,0.00180092453956604,0.20731911063194275
2020-02-18,0.0,-0.011325550265610218,-0.0373225212097168,-0.0003154873847961426
2020-02-19,0.0,-0.0009136319276876748,-0.005074262619018555,0.0019599199295043945
2020-02-20,0.0,0.008579003624618053,0.0007683932781219482,0.014912962913513184
2020-02-21,0.0,-0.0009477675193920732,-0.005155503749847412,0.003444850444793701
2020-02-22,0.0,0.10360588878393173,-0.008510768413543701,0.533118486404419
2020-02-23,0.0,0.003338748123496771,-0.001528918743133545,0.01172533631324768
2020-02-24,0.0,-0.058237217366695404,-0.28625547885894775,0.0005444586277008057
2020-02-25,0.0,-0.04236268252134323,-0.19223201274871826,0.0013024508953094482
2020-02-26,0.0,0.003061330411583185,-0.001777946949005127,0.010038822889328003
2020-02-27,0.0,0.1041288748383522,-0.00574946403503418,0.4328378438949585
2020-02-28,0.0,0.0018132388358935714,-0.0016117691993713379,0.007047802209854126
2020-02-29,0.0,-0.006290835328400135,-0.029216647148132324,0.0011210143566131592
2020-03-01,0.0,0.582777202129364,-0.0019936561584472656,2.9062588214874268
2020-03-02,0.0,0.02002030611038208,-0.000493466854095459,0.09204739332199097
2020-03-03,0.0,-0.007393175270408392,-0.02757096290588379,0.0010264217853546143
2020-03-04,0.0,0.10113148391246796,-0.003122091293334961,0.5065227746963501
2020-03-05,0.0,0.004734164569526911,-0.005315423011779785,0.011228054761886597
2020-03-06,0.0,-0.02717573568224907,-0.10787957906723022,0.003062605857849121
2020-03-07,0.0,0.004298699088394642,-0.012257695198059082,0.015835672616958618
2020-03-08,0.0,-0.0021102367900311947,-0.011171996593475342,0.002173900604248047
2020-03-09,0.0,0.2835756242275238,-0.00306093692779541,1.105600357055664
2020-03-10,0.0,-0.11072786152362823,-0.4042152166366577,0.049551308155059814
2020-03-11,0.0,0.03806029632687569,-0.03401702642440796,0.22171497344970703
2020-03-12,0.0,0.02519025281071663,-0.004705369472503662,0.06315407156944275
2020-03-13,0.0,-0.023554224520921707,-0.11324560642242432,0.0007000267505645752
2020-03-14,0.0,-0.0014427065616473556,-0.01419687271118164,0.011309981346130371
2020-03-15,0.0,2.380798816680908,0.0028235018253326416,11.818955421447754
2020-03-16,3.0,2.8789823055267334,2.4310452938079834,2.9971256256103516
2020-03-17,0.0,0.9839593172073364,0.0044426023960113525,4.864052772521973
2020-03-18,2.0,2.70003604888916,1.996044397354126,5.50956916809082
2020-03-19,7.0,6.9823479652404785,6.969992637634277,6.994500637054443
2020-03-20,2.0,2.2183992862701416,2.0019783973693848,3.06715726852417
2020-03-21,1.0,3.051543712615967,1.0024125576019287,11.218271255493164
2020-03-22,12.0,11.989629745483398,11.981205940246582,11.997577667236328
2020-03-23,2.0,2.014248847961426,1.9899237155914307,2.0915749073028564
2020-03-24,3.0,3.4470622539520264,3.0052740573883057,5.1737236976623535
2020-03-25,5.0,4.999630928039551,4.99099063873291,5.005161285400391
2020-03-26,8.0,7.293904781341553,5.783019542694092,8.000151634216309
2020-03-27,6.0,6.004931449890137,5.9925618171691895,6.016697406768799
2020-03-28,4.0,4.4215087890625,3.9906513690948486,6.117000579833984
2020-03-29,1.0,7.129206657409668,1.002840280532837,12.33700180053711
2020-03-30,2.0,2.0007293224334717,2.000394344329834,2.0015387535095215
2020-03-31,11.0,10.997873306274414,10.994085311889648,10.999396324157715
2020-04-01,8.0,6.498867034912109,3.6960535049438477,7.996502876281738
2020-04-02,5.0,4.8673295974731445,4.357976913452148,5.00152587890625
