,Iowa,forecast,interval_low,interval_high
2020-01-23,0.0,-0.026890361681580544,-0.134052574634552,0.008381098508834839
2020-01-24,0.0,0.05260477215051651,-0.017193496227264404,0.17921006679534912
2020-01-25,0.0,-0.08033953607082367,-0.3942607641220093,0.001122593879699707
2020-01-26,0.0,0.00708162784576416,-0.00134199857711792,0.03546327352523804
2020-01-27,0.0,0.0022299110423773527,-0.0026307106018066406,0.004961133003234863
2020-01-28,0.0,-0.03624298423528671,-0.1624075174331665,-0.0013576149940490723
2020-01-29,0.0,-0.036243803799152374,-0.21615886688232422,0.03230729699134827
2020-01-30,0.0,0.08123677223920822,-0.0018595457077026367,0.23204252123832703
2020-01-31,0.0,0.193673238158226,0.00035580992698669434,0.7479792833328247
2020-02-01,0.0,0.00392875075340271,0.00028643012046813965,0.008249521255493164
2020-02-02,0.0,0.00034242868423461914,-0.001130521297454834,0.0008966922760009766
2020-02-03,0.0,0.0015666068065911531,-0.0012388825416564941,0.0038419365882873535
2020-02-04,0.0,-0.04447443410754204,-0.21208858489990234,0.0007493495941162109
2020-02-05,0.0,-0.007673293352127075,-0.022711992263793945,0.005590170621871948
2020-02-06,0.0,0.004535960964858532,-0.016728699207305908,0.039349526166915894
2020-02-07,0.0,-0.0040562390349805355,-0.012346088886260986,0.004019737243652344
2020-02-08,0.0,0.0031721950508654118,-0.0030278563499450684,0.007614731788635254
2020-02-09,0.0,-0.030436385422945023,-0.1243317723274231,-0.00024902820587158203
2020-02-10,0.0,-0.0052648307755589485,-0.03764110803604126,0.010500907897949219
2020-02-11,0.0,0.00562973041087389,0.00029093027114868164,0.011567443609237671
2020-02-12,0.0,0.0014701306354254484,-0.005449831485748291,0.01080465316772461
2020-02-13,0.0,-0.006469917483627796,-0.02230614423751831,0.0031591057777404785
2020-02-14,0.0,-0.002358859870582819,-0.009818971157073975,0.012410074472427368
2020-02-15,0.0,0.01940593123435974,0.0028105080127716064,0.059335678815841675
2020-02-16,0.0,-0.0012281059753149748,-0.013355255126953125,0.009423673152923584
2020-02-17,0.0,-0.010822427459061146,-0.033020198345184326,0.003931283950805664
2020-02-18,0.0,-0.00013710260100197047,-0.017034530639648438,0.011896073818206787
2020-02-19,0.0,0.009142154827713966,0.0013214051723480225,0.01907360553741455
2020-02-20,0.0,0.004759937524795532,-0.003988981246948242,0.024293482303619385
2020-02-21,0.0,-0.011192411184310913,-0.046800315380096436,0.005249053239822388
2020-02-22,0.0,0.0012327730655670166,-0.0033202171325683594,0.005179345607757568
2020-02-23,0.0,0.08635914325714111,-0.0019354820251464844,0.2541978359222412
2020-02-24,0.0,0.00038129687891341746,-0.00282210111618042,0.004795640707015991
2020-02-25,0.0,-0.03699619323015213,-0.14906257390975952,0.005021780729293823
2020-02-26,0.0,-0.0036814152263104916,-0.010306954383850098,0.0010426342487335205
2020-02-27,0.0,-0.009177553467452526,-0.043447673320770264,0.00201416015625
2020-02-28,0.0,-0.0003184974193572998,-0.0037254691123962402,0.0035903453826904297
2020-02-29,0.0,-0.0010779083240777254,-0.002708256244659424,0.0014609098434448242
2020-03-01,0.0,-0.00040307044400833547,-0.0012698173522949219,0.00025030970573425293
2020-03-02,0.0,-0.24981427192687988,-1.127571940422058,0.14167413115501404
2020-03-03,0.0,-0.006783568765968084,-0.016823530197143555,-0.0003528594970703125
2020-03-04,0.0,-0.04430951923131943,-0.2833007574081421,0.07670122385025024
2020-03-05,0.0,0.011686861515045166,0.0017886757850646973,0.03076404333114624
2020-03-06,0.0,0.0003834724484477192,-0.010324656963348389,0.011787444353103638
2020-03-07,0.0,0.0017413378227502108,-0.007740139961242676,0.022598832845687866
2020-03-08,0.0,-0.016755079850554466,-0.06766271591186523,0.0029763877391815186
2020-03-09,0.0,0.009262323379516602,-0.050176143646240234,0.07539477944374084
2020-03-10,0.0,-0.026640892028808594,-0.11083859205245972,0.0018429160118103027
2020-03-11,0.0,0.00043857694254256785,-0.011436760425567627,0.01822686195373535
2020-03-12,0.0,0.0036101459991186857,-0.005857944488525391,0.013732045888900757
2020-03-13,0.0,-0.012048715725541115,-0.033013224601745605,0.009343057870864868
2020-03-14,0.0,0.003197741461917758,-0.006166815757751465,0.010815173387527466
2020-03-15,0.0,0.00214805593714118,0.0004677772521972656,0.0036199092864990234
2020-03-16,0.0,0.002336955163627863,-0.0054495930671691895,0.013014674186706543
2020-03-17,0.0,-0.03293367475271225,-0.18220216035842896,0.011903077363967896
2020-03-18,0.0,0.18817999958992004,-0.0030671358108520508,0.9079331159591675
2020-03-19,0.0,-0.024614691734313965,-0.0966346263885498,0.021231353282928467
2020-03-20,0.0,0.0005752563592977822,-0.011443376541137695,0.007243901491165161
2020-03-21,0.0,0.021149497479200363,-0.010403692722320557,0.08826562762260437
2020-03-22,0.0,-0.002909105969592929,-0.006519019603729248,0.001529783010482788
2020-03-23,0.0,-0.008430165238678455,-0.045578718185424805,0.004460275173187256
2020-03-24,0.0,0.39002081751823425,0.0006542503833770752,1.026543378829956
2020-03-25,1.0,0.5601378679275513,-0.1630704402923584,0.9809956550598145
2020-03-26,0.0,0.015370547771453857,0.0035834312438964844,0.03396111726760864
2020-03-27,2.0,1.593589186668396,0.0018819868564605713,2.0072903633117676
2020-03-28,0.0,0.18155907094478607,0.0005969405174255371,0.8924009203910828
2020-03-29,1.0,0.9240720868110657,0.4213506579399109,1.2032185792922974
2020-03-30,2.0,1.7919225692749023,0.955398678779602,2.0020594596862793
2020-03-31,1.0,0.9991151094436646,0.9976685047149658,1.0009315013885498
