,Oklahoma,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,24144.57969410285,,
2020-01-25,0.0,24141.94445155512,,
2020-01-26,0.0,24143.88584485989,,
2020-01-27,0.0,24145.95781634006,,
2020-01-28,0.0,24149.934107715995,,
2020-01-29,0.0,24157.42046473581,,
2020-01-30,0.0,24164.718813492123,,
2020-01-31,0.0,24162.676744247314,,
2020-02-01,0.0,24155.440405219553,,
2020-02-02,0.0,24152.250790700968,,
2020-02-03,0.0,24152.93262564587,,
2020-02-04,0.0,24155.438741997263,,
2020-02-05,0.0,24157.30208351413,,
2020-02-06,0.0,24156.50641684591,,
2020-02-07,0.0,24154.357308173116,,
2020-02-08,0.0,24153.29035293658,,
2020-02-09,0.0,24153.807464808047,,
2020-02-10,0.0,24155.061044966074,,
2020-02-11,0.0,24155.758509399944,,
2020-02-12,0.0,24155.24556669524,,
2020-02-13,0.0,24154.267538656914,,
2020-02-14,0.0,24153.859125402305,,
2020-02-15,0.0,24154.229699723277,,
2020-02-16,0.0,24154.87644965241,,
2020-02-17,0.0,24155.133906435956,,
2020-02-18,0.0,24154.807533203388,,
2020-02-19,0.0,24154.33183180458,,
2020-02-20,0.0,24154.187334780938,,
2020-02-21,0.0,24154.4300180594,,
2020-02-22,0.0,24154.756071804888,,
2020-02-23,0.0,24154.83771637686,,
2020-02-24,0.0,24154.639350501337,,
2020-02-25,0.0,24154.408175407847,,
2020-02-26,0.0,24154.36882227985,,
2020-02-27,0.0,24154.517015742716,,
2020-02-28,0.0,24154.676051345716,,
2020-02-29,0.0,24154.691634453135,,
2020-03-01,0.0,24154.57608357178,,
2020-03-02,0.0,24154.466209198457,,
2020-03-03,0.0,24154.464548277512,,
2020-03-04,0.0,24154.550411659973,,
2020-03-05,0.0,24154.625199991526,,
2020-03-06,0.0,24154.619631403413,,
2020-03-07,1.0,24154.554745143432,,
2020-03-08,1.0,24153.84694122187,,
2020-03-09,1.0,24154.44294715091,,
2020-03-10,2.0,24154.94466950807,,
2020-03-11,2.0,24154.10628536779,,
2020-03-12,3.0,24154.287148854855,,
2020-03-13,3.0,24154.47569171964,,
2020-03-14,4.0,24154.9783324079,,
2020-03-15,4.0,24154.17512490351,,
2020-03-16,10.0,24154.697847203428,,
2020-03-17,17.0,24150.89062474737,,
2020-03-18,17.0,24149.97287299563,,
2020-03-19,44.0,24156.45503855229,,
2020-03-20,49.0,24140.76115095295,,
2020-03-21,53.0,24149.341813500716,,
2020-03-22,67.0,24161.470054298465,,
2020-03-23,81.0,24154.887097257786,,
2020-03-24,106.0,24143.81784570058,,
2020-03-25,164.0,24147.50985006759,,
2020-03-26,248.0,24129.50069797023,,
2020-03-27,322.0,24108.197111145146,,
2020-03-28,377.0,24123.992460770132,,
2020-03-29,429.0,24152.180761601365,,
