,Kentucky,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,1.2245460748672485,1.2245460748672485,1.2245460748672485
2020-01-31,0.0,1.148856282234192,1.0731664896011353,1.2245460748672485
2020-02-01,0.0,1.1693105300267537,1.0731664896011353,1.2245460748672485
2020-02-02,0.0,1.04409721493721,0.6684572696685791,1.2245460748672485
2020-02-03,0.0,1.0330170154571534,0.6684572696685791,1.2245460748672485
2020-02-04,0.0,1.0131649176279705,0.6684572696685791,1.2245460748672485
2020-02-05,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-06,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-07,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-08,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-09,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-10,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-11,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-12,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-13,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-14,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-15,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-16,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-17,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-18,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-19,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-20,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-21,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-22,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-23,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-24,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-25,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-26,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-27,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-28,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-02-29,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-01,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-02,0.0,1.0416123185838972,0.6684572696685791,1.2245460748672485
2020-03-03,0.0,1.0416122078895569,0.668456494808197,1.2245460748672485
2020-03-04,0.0,1.0416120886802673,0.668456494808197,1.2245460748672485
2020-03-05,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-06,0.0,1.0416123185838972,0.6684572696685791,1.2245460748672485
2020-03-07,0.0,1.0416123185838972,0.6684572696685791,1.2245460748672485
2020-03-08,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-09,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-10,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-11,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-12,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-13,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-14,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-15,0.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-16,1.0,1.0416121993746077,0.6684572696685791,1.2245460748672485
2020-03-17,0.0,1.0498019456863403,0.6684572696685791,1.2818742990493774
2020-03-18,0.0,1.0628985166549683,0.6684572696685791,1.3043662309646606
2020-03-19,1.0,1.0697725330080305,0.6684572696685791,1.321309208869934
2020-03-20,0.0,1.1017497096742903,0.7647440433502197,1.3895727396011353
2020-03-21,1.0,1.1330884439604623,0.7839609980583191,1.41721773147583
2020-03-22,0.0,1.1677874411855425,0.7863773703575134,1.4920625686645508
2020-03-23,1.0,1.2190112556729997,0.8801440000534058,1.5215615034103394
2020-03-24,0.0,1.2444089140210832,0.8937419652938843,1.4918228387832642
2020-03-25,1.0,1.2864766887256078,0.9842166304588318,1.525412678718567
2020-03-26,0.0,1.3146533455167497,0.9917603731155396,1.6016037464141846
2020-03-27,2.0,1.3485574466841561,0.9924218058586121,1.525685429573059
2020-03-28,2.0,1.37328497001103,1.0015169382095337,1.659422755241394
2020-03-29,0.0,1.4168427331107003,1.0846675634384155,1.7214139699935913
2020-03-30,2.0,1.4450608832495553,1.0015169382095337,1.802300214767456
2020-03-31,0.0,1.4978368452617101,1.1807072162628174,1.8645473718643188
2020-04-01,7.0,1.5794528382165092,1.2251269817352295,1.938532829284668
2020-04-02,13.0,1.6674791404179163,1.339897632598877,2.2813546657562256
2020-04-03,3.0,1.9409280504499162,1.431555986404419,3.22115159034729
2020-04-04,6.0,2.1838760546275546,1.4469177722930908,3.6081461906433105
2020-04-05,5.0,2.502483640398298,1.613874077796936,4.121950626373291
2020-04-06,0.0,3.018965108054025,1.6469504833221436,4.8059983253479
2020-04-07,20.0,3.5005251339503696,1.968287706375122,4.915036678314209
2020-04-08,0.0,4.188487189156668,2.2755868434906006,6.330526828765869
2020-04-09,8.0,4.775302989142282,3.2170090675354004,6.464715003967285
