,Delaware,forecast,interval_low,interval_high
2020-01-23,0.0,-0.5858711004257202,-2.074220895767212,-0.07194876670837402
2020-01-24,0.0,0.7397319674491882,-0.0496554970741272,3.7219958305358887
2020-01-25,0.0,0.0748075470328331,-0.09147804975509644,0.4671013355255127
2020-01-26,0.0,-0.0530279166996479,-0.5687086582183838,0.10408899188041687
2020-01-27,0.0,-0.017549460753798485,-0.048927366733551025,0.008705884218215942
2020-01-28,0.0,2.203657865524292,0.0041137635707855225,10.835634231567383
2020-01-29,0.0,-0.037081897258758545,-0.0614854097366333,-0.0037508606910705566
2020-01-30,0.0,0.9154361486434937,-0.026500940322875977,4.592985153198242
2020-01-31,0.0,-0.05540314316749573,-0.28225189447402954,0.0245550274848938
2020-02-01,0.0,0.2150169312953949,-0.11776310205459595,1.1090056896209717
2020-02-02,0.0,-0.025492047891020775,-0.08286243677139282,0.021212399005889893
2020-02-03,0.0,0.000788915145676583,-0.08699637651443481,0.13104045391082764
2020-02-04,0.0,0.2128233015537262,-0.7627131938934326,1.5648829936981201
2020-02-05,0.0,-0.00023465752019546926,-0.12895244359970093,0.2040797472000122
2020-02-06,0.0,0.02365248277783394,-0.05392599105834961,0.06167134642601013
2020-02-07,0.0,-0.06076910346746445,-0.21078747510910034,0.08978939056396484
2020-02-08,0.0,0.18964780867099762,-0.05702131986618042,0.7564138174057007
2020-02-09,0.0,-0.12210182100534439,-0.6363329887390137,0.04857155680656433
2020-02-10,0.0,-0.13412685692310333,-0.43029576539993286,0.03152593970298767
2020-02-11,0.0,0.006532085128128529,-0.11089283227920532,0.06105262041091919
2020-02-12,0.0,-0.1943425089120865,-0.7681983709335327,0.06251773238182068
2020-02-13,0.0,-0.005957490298897028,-0.07816922664642334,0.08674558997154236
2020-02-14,0.0,0.05025256425142288,-0.061244428157806396,0.08758771419525146
2020-02-15,0.0,-0.139698326587677,-0.6685837507247925,0.09995552897453308
2020-02-16,0.0,-0.024652760475873947,-0.1408347487449646,0.0761476457118988
2020-02-17,0.0,0.050773508846759796,-0.0006174445152282715,0.1367805302143097
2020-02-18,0.0,0.016195494681596756,-0.056182920932769775,0.17183640599250793
2020-02-19,0.0,0.30649757385253906,-0.055264055728912354,1.2018529176712036
2020-02-20,0.0,0.07903595268726349,-0.32480382919311523,0.7253835797309875
2020-02-21,0.0,-0.002812546445056796,-0.10963040590286255,0.063038170337677
2020-02-22,0.0,-0.01258096657693386,-0.06891286373138428,0.02354714274406433
2020-02-23,0.0,-0.9882494807243347,-5.047051429748535,0.16732019186019897
2020-02-24,0.0,0.2469986379146576,-0.011554479598999023,0.7439888119697571
2020-02-25,0.0,0.09047652035951614,0.0036362111568450928,0.19597288966178894
2020-02-26,0.0,-0.4185253083705902,-1.8105425834655762,0.08451318740844727
2020-02-27,0.0,0.018056780099868774,-0.04707658290863037,0.06428837776184082
2020-02-28,0.0,-7.713436934864148e-05,-0.44175463914871216,0.4562285244464874
2020-02-29,0.0,0.077639639377594,0.0019443929195404053,0.18332123756408691
2020-03-01,0.0,0.28066712617874146,-0.008680462837219238,1.254166841506958
2020-03-02,0.0,-0.2751620411872864,-1.3170487880706787,0.025046855211257935
2020-03-03,0.0,0.06065048649907112,-0.1573781967163086,0.44034162163734436
2020-03-04,0.0,0.6626803278923035,0.0508042573928833,1.9040563106536865
2020-03-05,0.0,-0.5442158579826355,-1.5114076137542725,-0.02584749460220337
2020-03-06,0.0,-0.0032746612560003996,-0.10094994306564331,0.07291510701179504
2020-03-07,0.0,0.24552473425865173,0.10307037830352783,0.46690693497657776
2020-03-08,0.0,-0.16383998095989227,-0.9119338989257812,0.06281664967536926
2020-03-09,0.0,-0.10995795577764511,-0.36950141191482544,-0.023564159870147705
2020-03-10,0.0,0.08873120695352554,-0.01833963394165039,0.2956337332725525
2020-03-11,1.0,0.7646968960762024,-0.17646533250808716,1.1071228981018066
2020-03-12,0.0,0.8451570272445679,0.0340246856212616,2.7452471256256104
2020-03-13,3.0,1.8909698724746704,-0.00046646595001220703,2.99775767326355
2020-03-14,2.0,0.9138099551200867,-1.0437791347503662,2.100369930267334
2020-03-15,0.0,0.13534656167030334,-0.15819311141967773,1.1149461269378662
2020-03-16,2.0,4.094246864318848,0.9806268215179443,7.981381893157959
2020-03-17,8.0,6.9692511558532715,2.8579955101013184,8.038381576538086
2020-03-18,3.0,4.451985836029053,3.0035717487335205,10.010669708251953
2020-03-19,11.0,10.461676597595215,8.665987968444824,11.03594970703125
2020-03-20,9.0,8.496529579162598,6.244460105895996,9.15307331085205
2020-03-21,6.0,7.251290798187256,6.086728572845459,11.773530960083008
2020-03-22,11.0,10.486587524414062,8.574827194213867,10.984935760498047
2020-03-23,12.0,16.14621925354004,11.953581809997559,32.684486389160156
2020-03-24,36.0,35.80094528198242,35.71059036254883,35.84275817871094
2020-03-25,15.0,15.168705940246582,15.053540229797363,15.32900619506836
2020-03-26,11.0,10.996556282043457,10.835219383239746,11.10948657989502
2020-03-27,33.0,38.73480987548828,32.90886688232422,50.56519317626953
2020-03-28,51.0,50.96635437011719,50.90180587768555,51.036800384521484
2020-03-29,18.0,26.96249008178711,18.003677368164062,45.05486297607422
2020-03-30,32.0,32.01014709472656,31.961591720581055,32.037017822265625
2020-03-31,55.0,51.410301208496094,37.12932586669922,55.0186767578125
2020-04-01,49.0,40.617244720458984,27.408348083496094,49.05805587768555
2020-04-02,25.0,25.040969848632812,24.96253776550293,25.202585220336914
2020-04-03,57.0,105.8154067993164,57.04193878173828,140.99484252929688
