,Virgin Islands,forecast,interval_low,interval_high
2020-03-07,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-03-08,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-03-09,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-03-10,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-03-11,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-03-12,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-03-13,0.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-03-14,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-03-15,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-03-16,1.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-03-17,2.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-03-18,2.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-03-19,3.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-03-20,3.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-03-21,6.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-03-22,6.0,2.586761474609375,1.8643741607666016,3.1514930725097656
2020-03-23,7.0,3.001784324645996,1.8744497299194336,4.007693290710449
2020-03-24,17.0,3.6436164379119873,2.832811117172241,4.263336658477783
2020-03-25,17.0,4.9617462158203125,3.990192174911499,5.680438041687012
2020-03-26,17.0,5.235270023345947,4.41275691986084,5.965518951416016
2020-03-27,19.0,6.319267749786377,6.065037727355957,6.670017242431641
2020-03-28,22.0,6.5765838623046875,5.728795528411865,7.136132717132568
2020-03-29,23.0,7.393435955047607,6.70979642868042,8.040098190307617
2020-03-30,30.0,9.483866691589355,8.88958740234375,9.891683578491211
2020-03-31,30.0,9.81227970123291,8.96671199798584,10.500194549560547
2020-04-01,30.0,9.76625919342041,8.928571701049805,10.463027954101562
2020-04-02,30.0,10.920077323913574,10.008750915527344,11.777753829956055
2020-04-03,37.0,11.254454612731934,9.895509719848633,12.414326667785645
2020-04-04,40.0,12.390361785888672,11.088212966918945,13.25583553314209
2020-04-05,42.0,21.984853744506836,19.56096649169922,24.407880783081055
2020-04-06,43.0,25.04955291748047,22.04537582397461,27.58957290649414
2020-04-07,43.0,24.565481185913086,21.780868530273438,27.138427734375
2020-04-08,45.0,23.240060806274414,20.26068115234375,26.063034057617188
2020-04-09,45.0,24.649085998535156,21.580469131469727,27.54967498779297
2020-04-10,50.0,23.70471954345703,20.918865203857422,26.371854782104492
2020-04-11,51.0,25.192235946655273,22.035737991333008,27.958772659301758
2020-04-12,51.0,37.74729919433594,33.98293685913086,41.4896240234375
2020-04-13,51.0,40.88206481933594,36.0789680480957,44.92917251586914
2020-04-14,51.0,39.967529296875,35.75324630737305,43.84226608276367
2020-04-15,51.0,38.39406204223633,33.82993698120117,42.685020446777344
2020-04-16,51.0,39.81572341918945,35.107643127441406,44.149715423583984
2020-04-17,51.0,38.32229232788086,34.419673919677734,42.05192565917969
2020-04-18,53.0,39.885345458984375,35.318477630615234,43.93631362915039
2020-04-19,53.0,48.896514892578125,46.16571807861328,51.26668930053711
2020-04-20,53.0,50.3935432434082,46.52001190185547,53.120845794677734
