,Alaska,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,1734.3349722676585,,
2020-01-25,0.0,1734.4563942177551,,
2020-01-26,0.0,1734.588000449143,,
2020-01-27,0.0,1734.6566871171945,,
2020-01-28,0.0,1734.6328879297678,,
2020-01-29,0.0,1734.8136042904346,,
2020-01-30,0.0,1734.9292792931426,,
2020-01-31,0.0,1734.996421707574,,
2020-02-01,0.0,1735.0331999861182,,
2020-02-02,0.0,1735.0527084110604,,
2020-02-03,0.0,1735.0628800366487,,
2020-02-04,0.0,1735.0681359903158,,
2020-02-05,0.0,1735.0708392604854,,
2020-02-06,0.0,1735.0722262896595,,
2020-02-07,0.0,1735.0729370888057,,
2020-02-08,0.0,1735.0733011161694,,
2020-02-09,0.0,1735.073487488197,,
2020-02-10,0.0,1735.0735828897677,,
2020-02-11,0.0,1735.0736317205312,,
2020-02-12,0.0,1735.0736567132014,,
2020-02-13,0.0,1735.0736695047217,,
2020-02-14,0.0,1735.0736760514865,,
2020-02-15,0.0,1735.073679402134,,
2020-02-16,0.0,1735.0736811169975,,
2020-02-17,0.0,1735.0736819946642,,
2020-02-18,0.0,1735.0736824438534,,
2020-02-19,0.0,1735.0736826737482,,
2020-02-20,0.0,1735.0736827914081,,
2020-02-21,0.0,1735.0736828516262,,
2020-02-22,0.0,1735.0736828824458,,
2020-02-23,0.0,1735.0736828982194,,
2020-02-24,0.0,1735.073682906292,,
2020-02-25,0.0,1735.073682910424,,
2020-02-26,0.0,1735.0736829125385,,
2020-02-27,0.0,1735.0736829136206,,
2020-02-28,0.0,1735.0736829141745,,
2020-02-29,0.0,1735.073682914458,,
2020-03-01,0.0,1735.073682914603,,
2020-03-02,0.0,1735.0736829146774,,
2020-03-03,0.0,1735.0736829147154,,
2020-03-04,0.0,1735.0736829147347,,
2020-03-05,0.0,1735.0736829147447,,
2020-03-06,0.0,1735.07368291475,,
2020-03-07,0.0,1735.0736829147525,,
2020-03-08,0.0,1735.0736829147538,,
2020-03-09,0.0,1735.0736829147545,,
2020-03-10,0.0,1735.073682914755,,
2020-03-11,0.0,1735.073682914755,,
2020-03-12,0.0,1735.0736829147552,,
2020-03-13,1.0,1735.0736829147552,,
2020-03-14,1.0,1734.5330898255602,,
2020-03-15,1.0,1735.2059811487002,,
2020-03-16,1.0,1735.2311142889073,,
2020-03-17,3.0,1735.1357581513591,,
2020-03-18,5.0,1733.782547118619,,
2020-03-19,8.0,1734.4517574455424,,
2020-03-20,11.0,1734.1309918185032,,
2020-03-21,13.0,1734.3388015655796,,
2020-03-22,18.0,1734.592033424527,,
2020-03-23,30.0,1733.2766192419988,,
2020-03-24,34.0,1729.7147187143603,,
2020-03-25,41.0,1735.6690769856975,,
2020-03-26,56.0,1734.6372210266375,,
