,Nevada,forecast,interval_low,interval_high
2020-01-23,0.0,0.9594891667366028,-0.000927269458770752,4.313137054443359
2020-01-24,0.0,-0.03995847702026367,-0.10277342796325684,-0.0011794567108154297
2020-01-25,0.0,0.002416461706161499,-0.005890846252441406,0.011181533336639404
2020-01-26,0.0,0.02667195163667202,-0.007768452167510986,0.1392621397972107
2020-01-27,0.0,-0.15488097071647644,-0.7114075422286987,-0.00014507770538330078
2020-01-28,0.0,0.1284455955028534,-0.0012796521186828613,0.547522783279419
2020-01-29,0.0,-0.0004260301648173481,-0.005461394786834717,0.002156555652618408
2020-01-30,0.0,0.0011942863930016756,-0.002084672451019287,0.006055265665054321
2020-01-31,0.0,0.7223513126373291,-0.0014188885688781738,3.614025354385376
2020-02-01,0.0,-0.09829844534397125,-0.46664249897003174,-5.918741226196289e-05
2020-02-02,0.0,-0.00826447643339634,-0.0439799427986145,0.0025441348552703857
2020-02-03,0.0,0.0010132252937182784,-0.001938164234161377,0.008593201637268066
2020-02-04,0.0,-0.00042138100252486765,-0.007138550281524658,0.005412459373474121
2020-02-05,0.0,0.004321462009102106,-0.00261080265045166,0.02177014946937561
2020-02-06,0.0,-0.02226320467889309,-0.0771411657333374,0.00314408540725708
2020-02-07,0.0,0.009346241131424904,0.0001780390739440918,0.021319806575775146
2020-02-08,0.0,-0.005608403589576483,-0.016564249992370605,-0.0004024505615234375
2020-02-09,0.0,0.21769437193870544,-0.5334703922271729,1.6096277236938477
2020-02-10,0.0,-0.05199507623910904,-0.1271517276763916,-0.0009344220161437988
2020-02-11,0.0,0.09204147756099701,-0.006820559501647949,0.4404623806476593
2020-02-12,0.0,0.003388345241546631,-0.0036613941192626953,0.017253965139389038
2020-02-13,0.0,-0.007834529504179955,-0.022891581058502197,0.018586337566375732
2020-02-14,0.0,-0.0038683773018419743,-0.014006555080413818,0.01039588451385498
2020-02-15,0.0,0.005402791313827038,-0.011928677558898926,0.018861591815948486
2020-02-16,0.0,-0.02325296401977539,-0.10014671087265015,-0.0004214644432067871
2020-02-17,0.0,0.011049014516174793,0.0019037723541259766,0.026511281728744507
2020-02-18,0.0,-0.02301109954714775,-0.12171006202697754,0.011085212230682373
2020-02-19,0.0,-0.016775429248809814,-0.03556114435195923,-0.0008033514022827148
2020-02-20,0.0,0.018354374915361404,0.006773054599761963,0.03175532817840576
2020-02-21,0.0,-0.05801359936594963,-0.25444144010543823,0.0016425848007202148
2020-02-22,0.0,-0.017143558710813522,-0.06396102905273438,-0.00036275386810302734
2020-02-23,0.0,0.006592678837478161,-0.0028130412101745605,0.021064400672912598
2020-02-24,0.0,-0.00359571585431695,-0.008027076721191406,0.0020671188831329346
2020-02-25,0.0,-0.025043457746505737,-0.11172616481781006,0.00395086407661438
2020-02-26,0.0,0.043472450226545334,-0.0008409023284912109,0.17762184143066406
2020-02-27,0.0,0.001201885985210538,-0.06320631504058838,0.08632713556289673
2020-02-28,0.0,-0.04893599823117256,-0.2251969575881958,-0.003650069236755371
2020-02-29,0.0,-0.0002188801736338064,-0.003367125988006592,0.003597050905227661
2020-03-01,0.0,-0.12136240303516388,-0.47423428297042847,0.002875775098800659
2020-03-02,0.0,-5.8096647990169004e-05,-0.003072977066040039,0.006944060325622559
2020-03-03,0.0,0.004312419798225164,0.0009328722953796387,0.006871163845062256
2020-03-04,0.0,-0.02109476365149021,-0.07955509424209595,-0.0004857182502746582
2020-03-05,0.0,-0.0007496178150177002,-0.004402875900268555,0.006325840950012207
2020-03-06,0.0,-0.000357896089553833,-0.003220975399017334,0.005067616701126099
2020-03-07,0.0,0.020248955115675926,-0.016855180263519287,0.10508692264556885
2020-03-08,0.0,-0.03524079918861389,-0.17076867818832397,0.0033545196056365967
2020-03-09,0.0,0.13516303896903992,-0.0020891427993774414,0.3671180009841919
2020-03-10,0.0,-0.002989995526149869,-0.015493929386138916,0.006497204303741455
2020-03-11,0.0,0.007067781873047352,-0.004306793212890625,0.023143380880355835
2020-03-12,0.0,0.007230669260025024,-0.005470693111419678,0.025796860456466675
2020-03-13,0.0,-0.0038867772091180086,-0.011141538619995117,0.0010208189487457275
2020-03-14,0.0,0.000278836494544521,-0.1969473958015442,0.2182234227657318
2020-03-15,0.0,0.00032361745252273977,-0.008442163467407227,0.01819145679473877
2020-03-16,1.0,0.9855368733406067,0.9684050679206848,0.9962568879127502
2020-03-17,0.0,0.15952512621879578,0.004036217927932739,0.7089313864707947
2020-03-18,0.0,0.07027765363454819,-0.009122371673583984,0.3454505205154419
2020-03-19,0.0,0.17156563699245453,-0.01128619909286499,0.8618305325508118
2020-03-20,1.0,0.9971203804016113,0.9956293106079102,0.9984301328659058
2020-03-21,0.0,0.009227198548614979,-0.001571059226989746,0.041941821575164795
2020-03-22,0.0,-0.002294826554134488,-0.013134479522705078,0.0063225626945495605
2020-03-23,2.0,1.8484351634979248,1.2349152565002441,2.007066249847412
2020-03-24,0.0,0.24988889694213867,-0.008901655673980713,1.228058099746704
2020-03-25,2.0,2.136280059814453,0.8014802932739258,3.877453088760376
2020-03-26,4.0,3.2044243812561035,0.1152985692024231,3.9890239238739014
2020-03-27,0.0,0.002353757619857788,-0.015502572059631348,0.011837035417556763
2020-03-28,0.0,0.95001220703125,0.003159433603286743,4.7267746925354
2020-03-29,5.0,4.998427391052246,4.993861675262451,5.0043559074401855
2020-03-30,0.0,0.4183012545108795,-0.0067282915115356445,2.096494674682617
2020-03-31,11.0,9.840147972106934,5.193294525146484,11.006656646728516
2020-04-01,5.0,5.370209693908691,4.873255252838135,6.977671146392822
