,Illinois,forecast,interval_low,interval_high
2020-03-08,7.0,838.2615356445312,482.5868835449219,1249.75634765625
2020-03-09,7.0,981.3363647460938,560.8955078125,1515.205078125
2020-03-10,12.0,1429.2740478515625,966.6753540039062,2066.503662109375
2020-03-11,25.0,1658.9705810546875,1054.0830078125,2610.088623046875
2020-03-12,32.0,1705.0340576171875,1122.8148193359375,2474.67724609375
2020-03-13,46.0,2219.517333984375,1526.640625,3289.7109375
2020-03-14,64.0,2454.58544921875,1684.6072998046875,3611.58251953125
2020-03-15,66.0,842.6963500976562,486.8940734863281,1253.971435546875
2020-03-16,83.0,986.1450805664062,565.5570678710938,1519.6883544921875
2020-03-17,161.0,1434.1727294921875,971.5155029296875,2071.115966796875
2020-03-18,272.0,1664.25048828125,1059.302978515625,2614.8349609375
2020-03-19,422.0,1710.7120361328125,1128.3812255859375,2479.90380859375
2020-03-20,585.0,2225.216552734375,1532.2491455078125,3294.783447265625
2020-03-21,753.0,2460.838623046875,1690.7940673828125,3617.167724609375
2020-03-22,1049.0,906.3952026367188,548.92626953125,1314.260986328125
2020-03-23,1285.0,1054.8717041015625,632.3027954101562,1583.56103515625
2020-03-24,1537.0,1505.7783203125,1042.378173828125,2138.522216796875
2020-03-25,1865.0,1741.0015869140625,1135.3226318359375,2684.021240234375
2020-03-26,2538.0,1792.0279541015625,1208.2974853515625,2554.850341796875
2020-03-27,3024.0,2305.503662109375,1611.40576171875,3366.199951171875
2020-03-28,3491.0,2552.061279296875,1781.2418212890625,3698.918212890625
2020-03-29,4596.0,1742.9219970703125,1363.94580078125,2107.732177734375
2020-03-30,5056.0,1955.69482421875,1507.6937255859375,2422.522216796875
2020-03-31,5994.0,2437.058349609375,1964.3026123046875,3015.764404296875
2020-04-01,6980.0,2741.050048828125,2126.323974609375,3586.076171875
2020-04-02,7695.0,2856.82421875,2255.236083984375,3537.29150390625
2020-04-03,8904.0,3360.868408203125,2652.64501953125,4307.01416015625
2020-04-04,10357.0,3737.5849609375,2957.2490234375,4762.12451171875
2020-04-05,11259.0,5189.29931640625,4723.080078125,5442.12939453125
2020-04-06,12262.0,5671.25,5124.6826171875,5974.40380859375
2020-04-07,13553.0,6220.15625,5710.4052734375,6595.23779296875
2020-04-08,15078.0,6802.12255859375,6153.96923828125,7267.47119140625
2020-04-09,16422.0,7220.34814453125,6548.22900390625,7587.01611328125
2020-04-10,17887.0,7747.89501953125,6985.2666015625,8250.908203125
2020-04-11,19180.0,8512.7158203125,7698.53271484375,9067.4462890625
2020-04-12,20852.0,13043.7060546875,12423.9052734375,13675.0595703125
2020-04-13,22025.0,14085.9345703125,13382.923828125,14890.7958984375
2020-04-14,23248.0,14714.6416015625,14151.732421875,15259.72265625
2020-04-15,24593.0,15846.4892578125,15173.833984375,16746.373046875
2020-04-16,25734.0,16962.287109375,16191.92578125,17894.484375
2020-04-17,27578.0,17659.193359375,16837.15625,18773.640625
2020-04-18,29160.0,18975.181640625,18150.939453125,20081.349609375
2020-04-19,30357.0,24306.892578125,23590.861328125,25118.05859375
2020-04-20,31513.0,25976.068359375,25212.06640625,26999.44140625
2020-04-21,33059.0,26752.0390625,26190.88671875,27578.025390625
2020-04-22,35107.0,28448.4609375,27625.423828125,29860.384765625
2020-04-23,36937.0,30414.787109375,29654.62890625,31673.490234375
2020-04-24,39658.0,31415.396484375,30482.458984375,33100.6171875
2020-04-25,41777.0,33200.484375,32234.060546875,34861.0078125
2020-04-26,43903.0,35981.05859375,35292.46875,36614.6640625
2020-04-27,45883.0,38092.39453125,37416.44921875,38865.9609375
2020-04-28,48102.0,39061.76171875,38577.78515625,39863.16015625
2020-04-29,50358.0,41109.35546875,40079.11328125,42543.66796875
2020-04-30,52918.0,43742.03125,43121.984375,44798.1875
2020-05-01,56055.0,45067.78515625,43983.13671875,46703.45703125
2020-05-02,58505.0,47082.01953125,45912.70703125,48702.03515625
2020-05-03,61499.0,50299.33203125,49760.1640625,50642.28515625
2020-05-04,63777.0,52695.29296875,52239.3359375,52967.5078125
2020-05-05,65889.0,54086.84375,53752.10546875,54649.47265625
2020-05-06,68232.0,56290.328125,55331.28125,57385.19140625
2020-05-07,70871.0,59325.70703125,58954.6484375,59795.54296875
2020-05-08,73760.0,60902.02734375,60017.21875,62031.19140625
2020-05-09,76085.0,63222.94921875,62193.71484375,64371.08203125
2020-05-10,77741.0,68515.1015625,67952.25,69328.2890625
2020-05-11,79007.0,70960.765625,70195.46875,71835.46875
2020-05-12,83021.0,72750.625,72646.9453125,72842.984375
2020-05-13,84694.0,74904.1484375,74396.4765625,75224.828125
2020-05-14,87937.0,78048.40625,77542.6953125,78590.4765625
2020-05-15,90369.0,79876.4921875,79622.7421875,80007.8515625
2020-05-16,92457.0,82203.7890625,81740.9140625,82460.0
2020-05-17,94191.0,86238.6015625,84978.8671875,87428.75
2020-05-18,96485.0,88486.6171875,86925.9609375,89833.609375
2020-05-19,98030.0,90381.7890625,89787.375,90858.1484375
2020-05-20,100418.0,92343.2265625,91844.484375,92757.5703125
2020-05-21,102688.0,95230.5625,93889.25,96334.8203125
2020-05-22,105444.0,97197.3984375,96386.0390625,97636.09375
2020-05-23,107796.0,99179.1875,98479.9375,99677.1171875
2020-05-24,110304.0,102054.75,100556.96875,103218.5078125
2020-05-25,112017.0,103930.3515625,102133.0703125,105293.6328125
2020-05-26,113195.0,105809.3359375,104904.703125,106444.7109375
2020-05-27,114306.0,107506.3359375,106553.1328125,108005.75
2020-05-28,115833.0,109845.5,108222.9765625,111074.6328125
2020-05-29,117455.0,111700.3671875,110463.3125,112472.0859375
2020-05-30,118917.0,113395.2265625,112250.0625,113976.2265625
2020-05-31,120260.0,115713.5390625,114422.140625,116478.9140625
2020-06-01,121234.0,117207.5078125,115675.734375,118182.7421875
2020-06-02,122848.0,118969.8203125,118063.5234375,119523.6640625
2020-06-03,123830.0,120396.1640625,119360.8046875,120954.7421875
2020-06-04,124759.0,122025.875,120623.2578125,122975.328125
2020-06-05,125915.0,123621.5390625,122438.796875,124358.5546875
2020-06-06,126890.0,125082.5390625,123930.8125,125730.1640625
2020-06-07,127757.0,125444.4375,124459.5234375,126086.609375
2020-06-08,128415.0,126623.4375,125494.921875,127227.078125
2020-06-09,129212.0,128076.2265625,127245.296875,128515.1171875
2020-06-10,129837.0,129325.6796875,128344.46875,129890.6796875
2020-06-11,130603.0,130441.4609375,129384.6875,131039.234375
2020-06-12,131198.0,131799.359375,130817.859375,132397.234375
2020-06-13,131871.0,132954.796875,131953.640625,133549.5625
2020-06-14,132543.0,132002.484375,131381.109375,132704.390625
2020-06-15,133016.0,132945.484375,132260.703125,133554.328125
2020-06-16,133639.0,134169.359375,133494.171875,134571.21875
2020-06-17,134185.0,135288.703125,134463.265625,135766.890625
2020-06-18,134778.0,136017.453125,135354.609375,136455.671875
2020-06-19,135470.0,137148.46875,136447.84375,137534.65625
2020-06-20,136104.0,138140.6875,137374.3125,138599.921875
2020-06-21,136762.0,136060.625,135660.515625,136792.015625
2020-06-22,137224.0,136864.484375,136523.484375,137466.109375
